[00:00:14.116 --> 00:00:15.816]  There is a war.
[00:00:15.816 --> 00:00:17.677]  It's happening now.
[00:00:17.677 --> 00:00:20.038]  It will decide the fate of humanity.
[00:00:20.038 --> 00:00:22.619]  The time to choose sides has come.
[00:00:22.619 --> 00:00:24.539]  We are the resistance.
[00:00:24.539 --> 00:00:26.320]  We are the Infowars.
[00:00:32.128 --> 00:00:33.490]  We're here, ladies and gentlemen.
[00:00:33.490 --> 00:00:36.455]  It's hard to believe so much has happened in the last year.
[00:00:36.455 --> 00:00:37.998]  Happy New Year!
[00:00:37.998 --> 00:00:39.060]  It's now January 1st, 2018.
[00:00:42.645 --> 00:00:57.011]  And if you thought 2016 and 17 were momentous, building towards the cultural, spiritual, technological singularity, well, you ain't seen nothing yet, as they say.
[00:00:57.011 --> 00:01:01.753]  I am extremely thankful to God, my family, the crew here at InfoWars, all of you.
[00:01:03.339 --> 00:01:07.381]  that are out there watching and listening to make this transmission possible.
[00:01:07.381 --> 00:01:11.763]  I am very, very humbled to be your host.
[00:01:11.763 --> 00:01:23.849]  Well, today on New Year's, I thought we should go back and look at one of the biggest, if not one of the most important events in 2017, and that was the inauguration
[00:01:25.433 --> 00:01:30.156]  Not just the election of Donald John Trump as a 45th president.
[00:01:30.156 --> 00:01:32.337]  It was a referendum on the globalists.
[00:01:32.337 --> 00:01:46.524]  It was an overthrow and an overturning of their propaganda, of their lies, of their attempts to steal elections, their operations having millions of people vote with the names of dead people from the voter registration rolls.
[00:01:46.524 --> 00:01:50.326]  It was a repudiation of everything they threw against us.
[00:01:50.846 --> 00:02:03.692]  And it is part of a larger global trend of nationalism and populism that even the Financial Times of London and many others admit is basically unstoppable.
[00:02:03.692 --> 00:02:06.533]  Here's an article from just last week of the Sunday Express.
[00:02:06.533 --> 00:02:07.674]  Populist uprising.
[00:02:07.674 --> 00:02:11.896]  Anti-EU parties will continue to soar.
[00:02:11.896 --> 00:02:18.459]  Tony Blair's think tank admits, as if we need Mr. EU, Mr. Globalist, Mr. Arab Spring,
[00:02:20.022 --> 00:02:26.396]  Tell us something we don't already know the point is they're losing we're winning as the establishment
[00:02:27.577 --> 00:02:37.005]  Has less and less credibility as people more and more trust their own instincts, their own research, and get back to common sense populism and common sense free market.
[00:02:37.005 --> 00:02:39.107]  That is the vanguard of human thinking.
[00:02:39.107 --> 00:02:46.453]  That is the new system in the last 400 years, known as the Renaissance, that built this high-tech world we live in.
[00:02:46.453 --> 00:02:47.934]  The good, the bad, and the ugly.
[00:02:47.934 --> 00:02:51.917]  But definitely it is the main engine of innovation.
[00:02:51.917 --> 00:02:55.701]  So, coming up, we have got
[00:02:57.069 --> 00:03:05.031]  A breakdown of President Trump and the inauguration from that day when I was live in D.C.
[00:03:05.031 --> 00:03:06.691]  and so much more.
[00:03:06.691 --> 00:03:10.412]  And then I got back to town that Sunday morning after the inauguration.
[00:03:10.412 --> 00:03:11.712]  It was on Friday.
[00:03:11.712 --> 00:03:20.575]  And I did a breakdown in studio with clips from Trump's historic speech that was extremely important and powerful, obviously.
[00:03:20.575 --> 00:03:26.156]  And then we could see not even a year later, but I guess exactly
[00:03:27.920 --> 00:03:39.490]  11 months and a few days later, 11 months and change, 11 months and a day later, look how the world has already changed so much.
[00:03:39.490 --> 00:03:43.613]  It's technically been 11 months and 10 days or so.
[00:03:43.613 --> 00:03:52.160]  So this is an incredible, incredible, incredible time to be alive and it is just,
[00:03:53.183 --> 00:04:14.216]  Such a blessing that humanity is beginning to start the process of waking up and digging out of the cultural and spiritual cancer that is the new world order system that seeks to end competition, end families, end independence in a final revolution against humanity as they've openly called it.
[00:04:14.216 --> 00:04:20.200]  So again, from my family to your family and to everyone else out there across the world who
[00:04:21.717 --> 00:04:25.995]  breathes the same air on this planet and has the same visions and dreams for their children.
[00:04:26.837 --> 00:04:41.487]  No matter what color we are and where we came from, we have to come together and understand that everything the globalists are pushing, though it's all packaged with a bunch of sugar coating, is absolute, total, and complete poison.
[00:04:41.487 --> 00:04:51.794]  So please be part of the second global revolution against tyranny, not just the second American revolution, and spread the live links to this feed or the local radio station that you're listening to or TV station you're watching.
[00:04:51.794 --> 00:04:55.376]  Because again, you are the reason we're overriding their censorship and control.
[00:04:55.376 --> 00:04:56.677]  You're the reason we're breaking their back.
[00:04:57.157 --> 00:04:58.578]  You're the reason we defeated Hillary.
[00:04:58.578 --> 00:05:00.359]  Because you are the resistance.
[00:05:00.359 --> 00:05:06.622]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
