[00:00:00.029 --> 00:00:00.789]  This is everything.
[00:00:01.250 --> 00:00:09.473]  And that's what Tucker's speech was so important at the Heritage Foundation on Friday, where he said, this is not an argument or debate.
[00:00:09.533 --> 00:00:14.275]  This is not some real discussion about civilization and how to have a better civilization.
[00:00:14.595 --> 00:00:17.457]  These are people that want to destroy civilization and love death and destruction.
[00:00:17.677 --> 00:00:19.317]  This is good versus evil and we should pray.
[00:00:19.337 --> 00:00:26.981]  And I have confirmed they were planning to get rid of Carlson and not probably redo his contract that was up in less than a year.
[00:00:29.141 --> 00:00:33.184]  But they accelerated it with just how he was getting more and more hardcore in what he was doing.
[00:00:33.204 --> 00:00:34.885]  And he obviously knew what he was doing, pushing him into it.
[00:00:35.245 --> 00:00:40.529]  And the last straw was, the executives were watching, and Rupert Murdoch was watching that heritage speech.
[00:00:41.290 --> 00:00:55.040]  And when he said, it's good versus evil, we gotta get God, we gotta repent, Rupert Murdoch broke up with his fiancee over a meeting with her and Tucker Carlson at his house in Bel Air just a month ago.
[00:00:55.100 --> 00:00:56.401]  So this goes deep, folks.
[00:01:01.241 --> 00:01:05.662]  Rallying patriots worldwide in defense of human liberty.
[00:01:05.742 --> 00:01:07.742]  It's Alex Jones.
[00:01:07.742 --> 00:01:21.742]   And it's time for humanity to stand up in the info war and say,
[00:01:21.742 --> 00:01:24.742]   "I don't know what's going to happen at the end of this, but you want to fight?"
[00:01:25.228 --> 00:01:27.309]  You better believe you've got one!
[00:01:29.316 --> 00:01:34.916]   From the front lines of the information war, it's Alex Jones.
[00:01:58.917 --> 00:02:02.435]  The world conspiracy is in inept hands right now.
[00:02:03.313 --> 00:02:08.916]  Whereas prior to the first half of the 20th century, it was in very expert hands.
[00:02:09.116 --> 00:02:10.217]  The old guard died off.
[00:02:10.237 --> 00:02:14.339]  You don't have your Cecil Rhodes anymore, and you don't have your Lord Kitcheners anymore, you know?
[00:02:14.899 --> 00:02:22.043]  So the new brats that came in to rule the system in the place of their fathers are fucking cuckoo, and they're inept at running the machine.
[00:02:22.943 --> 00:02:25.585]  But the one thing that they still maintain is fear.
[00:02:26.960 --> 00:02:27.160]  Right?
[00:02:27.560 --> 00:02:32.162]  So our modern age is an age of anxiety and also fear because fear is the mind killer.
[00:02:32.902 --> 00:02:40.585]  And so they manufacture all sorts of Dr. Strangelove Frankensteinian stories about the world to come and you just go, well, that's it.
[00:02:40.805 --> 00:02:46.747]  We'll be immobilized out of a band and over my cell phone and they'll know where I am and I won't be able to move and I won't be able to do it.
[00:02:47.107 --> 00:02:48.547]  And all of this is potentially true.
[00:02:49.288 --> 00:02:53.369]  But there's an equal case for the impossibility of bringing those things to bear.
[00:02:54.577 --> 00:03:10.319]   As much as there is the theory that they can be put in place, anyone who studied the Brotherhood for five minutes properly and sincerely knows that it is through the fear that they generate within me that they not only feed off, But control us all.
[00:03:10.699 --> 00:03:11.679]  It's an invisible enemy.
[00:03:12.159 --> 00:03:19.723]  The other stuff at least, you know, maybe I can do something about that or move to the country or, you know, so the human race might rise up and might, might, might, might, might.
[00:03:20.403 --> 00:03:24.064]  But while I'm waiting for that, I'm drowning in psychological terror.
[00:03:25.325 --> 00:03:27.146]  That is the control mechanism.
[00:03:28.086 --> 00:03:29.707]  That is the control mechanism.
[00:03:30.747 --> 00:03:31.908]  The fear is the mind killer.
[00:03:32.799 --> 00:03:38.303]  The main character in Frank Herbert's Dune uses a mantra to overcome his fears.
[00:03:38.863 --> 00:03:40.144]  Fear is the mind killer.
[00:03:40.564 --> 00:03:43.646]  Fear is the little death that brings total obliteration.
[00:03:44.066 --> 00:03:45.267]  I will face my fear.
[00:03:45.647 --> 00:03:48.309]  I will permit it to pass over me and through me.
[00:03:48.729 --> 00:03:51.911]  And when it has gone past me, I will turn to see fear's path.
[00:03:52.331 --> 00:03:54.513]  Where the fear has gone, there will be nothing.
[00:03:54.933 --> 00:03:55.994]  Only I will remain.
[00:03:57.977 --> 00:04:02.695]   And from the book of Psalms, "Even though I walk through the valley of the shadow of death,
[00:04:02.695 --> 00:04:08.697]   I will fear no evil, for you are with me, your rod and your staff, they comfort me."
[00:04:08.697 --> 00:04:14.217]  Fear is natural, but to dwell there only breeds despair.
[00:04:14.437 --> 00:04:21.882]  The power of our free will is most pertinent in the mind, where we have sway over our thoughts, focus, and decisions.
[00:04:22.443 --> 00:04:26.025]  Staying positive isn't just for restorative retreats on the beach.
[00:04:26.506 --> 00:04:28.787]  It's the solution to every problem we face.
[00:04:29.708 --> 00:04:35.596]  Even under the highest stress, the military is trained to maintain esprit de corps at all levels.
[00:04:36.216 --> 00:04:42.344]  A common spirit of a group, inspiring enthusiasm, devotion, and honor for that group.
[00:04:43.065 --> 00:04:46.870]  Positive feelings prevail in every endeavor, including battle.
[00:04:47.592 --> 00:04:50.614]  Artificial intelligence seems to understand this as well.
[00:04:51.354 --> 00:05:12.265]  In Cliff High's recent Shadow Wars, AI program ChatGPT was prompted to help develop a story about a world that has been ruled for thousands of years by a non-human species that hides in the shadows and uses media, government, and education to brainwash the masses and control them with fear.
[00:05:12.945 --> 00:05:20.667]  ChatGPT was asked, what strategies and tactics could the awake humans employ to defeat the enemy and awaken humanity?
[00:05:21.447 --> 00:05:34.729]  The AI program said that ultimately, the key to unlocking the trapped minds of the normal humans will be to appeal to their innate desires for freedom, autonomy, truth, and transparency.
[00:05:35.269 --> 00:05:46.426]   It recommended that the awake humans should expose the truth Mobilize the masses and build alternative institutions that serve these values of individual freedom.
[00:05:47.288 --> 00:05:51.288]  Reporting for InfoWars, this is Greg Reese.
[00:05:51.288 --> 00:06:04.288]  [Music]
[00:06:04.288 --> 00:06:10.288]  [Sound Effects]
[00:06:10.288 --> 00:06:19.288]   There's a lot of incredibly important news and developments on every front that we're going to be going over today.
[00:06:20.187 --> 00:06:21.849]  We have a really special guest.
[00:06:22.984 --> 00:06:27.688]  We had Dr. Rima Labo, who's one of the biggest medical whistleblowers ever, on last week.
[00:06:28.328 --> 00:06:35.494]  I had her on, like, many times until about a decade ago, and then a decade went by, like, ten seconds, and I'm like, she's still out doing shows?
[00:06:35.534 --> 00:06:36.915]  She's still speaking out?
[00:06:36.955 --> 00:06:37.656]  Let's get her on.
[00:06:37.676 --> 00:06:38.236]  It was amazing.
[00:06:38.256 --> 00:06:38.917]  It was informative.
[00:06:38.937 --> 00:06:39.457]  It was riveting.
[00:06:39.958 --> 00:06:40.618]  It was enlightening.
[00:06:41.399 --> 00:06:46.503]  I thought, who else is out there that's really iconic and interesting and was ahead of the curve?
[00:06:48.257 --> 00:06:49.337]  That we haven't had on in years.
[00:06:50.458 --> 00:06:52.518]  And I guess that was in my subconscious mind.
[00:06:52.658 --> 00:07:03.801]  And then a few weeks ago, I had a dream with Ted Gunderson, Red Beckman, and Bob Fletcher sitting around like a breakfast table.
[00:07:03.861 --> 00:07:04.682]  It wasn't at my house.
[00:07:05.502 --> 00:07:07.542]  And I was just talking about the current state of the New World Order.
[00:07:08.723 --> 00:07:13.104]  Well, Red Beckman's not with us.
[00:07:14.807 --> 00:07:18.190]  Neither is Ted Gunderson, but Robert Fletcher is.
[00:07:18.230 --> 00:07:19.612]  He has so much incredible research.
[00:07:20.072 --> 00:07:27.879]  He'll be joining us in the third hour, and we'll be going into the fourth hour that I'll be hosting as well.
[00:07:28.620 --> 00:07:39.946]   Roger Stone joins us in about 25 minutes to talk about Tucker Carlson, Biden's re-election announcement yesterday, and so much more.
[00:07:39.986 --> 00:07:45.250]  So you don't want to miss any of today's four-hour broadcast that I'll be hosting all four hours of.
[00:07:46.070 --> 00:07:46.451]  Okay.
[00:07:48.672 --> 00:07:50.654]  The Tucker thing's a lot bigger than Tucker Carlson.
[00:07:50.674 --> 00:07:51.574]  I think everybody knows that.
[00:07:51.614 --> 00:07:53.396]  It's the top story, really, in the world.
[00:07:54.301 --> 00:07:57.424]  Tucker did not have three and a half million viewers a night, sometimes as high as six.
[00:07:58.484 --> 00:08:00.606]  The Nielsen, all those systems are completely rigged.
[00:08:00.646 --> 00:08:05.730]  That's whoever is signed up with their internet box to track that they're watching it.
[00:08:07.252 --> 00:08:09.373]  Most of the leftists I know watch Fox News.
[00:08:10.534 --> 00:08:12.356]  You go into bars, restaurants, it's Fox News.
[00:08:13.096 --> 00:08:17.120]  Fox News has tens of millions of viewers at any one time.
