[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[00:00:02.439 --> 00:00:12.400]  It's Thursday, December 21st, 2023.
[00:00:12.088 --> 00:00:13.048]  Strap yourselves in.
[00:00:13.409 --> 00:00:14.869]  Tucker Carlson's coming up.
[00:00:17.891 --> 00:00:23.355]  InfoWars, the most banned network in the world.
[00:00:26.637 --> 00:00:34.241]  It really is incredible that this year has sped past us so quickly and that Christmas is just a few days away.
[00:00:35.510 --> 00:00:37.653]  It's Thursday, December 21st, 2023.
[00:00:38.814 --> 00:00:46.164]  We have a lot of news and information and important topics that affect the future destiny of humanity coming up today.
[00:00:46.765 --> 00:01:06.378]   But the first thing I want to do, because a lot of people have asked me why I haven't done this, is air in its entirety The Tucker Carlson interview that dropped a few weeks ago and that precipitated Elon Musk, bring me back on X and then that was the final straw for the totalitarian EU and they're now moving to basically shut down X. It's just
[00:01:08.291 --> 00:01:14.633]  Bizarre and surreal to so many times be right at the center of all these big controversies.
[00:01:14.673 --> 00:01:26.856]  But the supporters and listeners of this broadcast are right at the center of the controversies because we're the ones exposing the real power, the real dimensions of the power structure and the real paradigm.
[00:01:27.616 --> 00:01:29.017]  The power paradigm, I would call it.
[00:01:30.137 --> 00:01:32.318]  And so Tucker Carlson interview coming up.
[00:01:33.297 --> 00:01:34.918]  And then so much more today.
[00:01:35.759 --> 00:01:39.921]  Charlie Kirk, this is going to be a powerful Thursday transmission.
[00:01:39.961 --> 00:01:40.542]  Please stay with us.
[00:01:43.344 --> 00:01:44.204]  You can feel it.
[00:01:45.645 --> 00:01:46.586]  Something is off.
[00:01:48.287 --> 00:01:50.308]  Things are getting stranger by the day.
[00:01:51.009 --> 00:01:55.892]  Just a coincidence, or is something more sinister happening right under our noses?
[00:01:56.672 --> 00:01:59.314]  We want to warn you now, this next story is disturbing.
[00:02:01.474 --> 00:02:11.678]  Namely, in earlier times, it was easier to control a million people, literally, than physically to kill a million people.
[00:02:11.758 --> 00:02:19.080]  Today, it is infinitely easier to kill a million people than to control a million people.
[00:02:19.180 --> 00:02:21.181]  It is easier to kill than to control.
[00:02:21.781 --> 00:02:27.765]  I would like to reduce the number of people on the planet because there's too many of us.
[00:02:28.505 --> 00:02:32.047]  It's a planet of finite resources and we're using them up.
[00:02:34.609 --> 00:02:36.090]  First we've got population.
[00:02:36.590 --> 00:02:38.171]  That's headed up to about 9 billion.
[00:02:38.811 --> 00:02:47.337]  Now if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:02:48.837 --> 00:02:51.440]  The true ruling elite are a death cult.
[00:02:52.080 --> 00:02:52.841]  Pure evil.
[00:02:53.562 --> 00:02:55.544]  The elite are extremely wealthy.
[00:02:56.044 --> 00:02:58.186]  They have more money than you can think of.
[00:02:59.107 --> 00:03:02.851]  So why would they want even more money, even more control?
[00:03:04.955 --> 00:03:09.057]  It's because they use their wealth and power to execute their agenda.
[00:03:09.658 --> 00:03:10.898]  To live out their evil.
[00:03:11.619 --> 00:03:15.261]  If you think this is just conspiracy theory, think again.
[00:03:15.881 --> 00:03:16.762]  Look around you.
[00:03:17.642 --> 00:03:20.704]  Everything benefits them, and not humanity.
[00:03:21.064 --> 00:03:22.865]  The globalists have a religion.
[00:03:23.465 --> 00:03:27.508]  To the public it's sold as climate change or the global crisis.
[00:03:28.448 --> 00:03:30.889]  What is the basis of the climate change agenda?
[00:03:31.590 --> 00:03:33.130]  It's population control.
[00:03:33.831 --> 00:03:35.071]  It's depopulation.
[00:03:35.771 --> 00:03:39.933]  The elite look at us as parasites that need to be controlled and killed.
[00:03:41.334 --> 00:03:45.136]  There is an unelected network that controls what the public sees.
[00:03:46.296 --> 00:03:48.617]  Plausible deniability is their cover.
[00:03:49.098 --> 00:03:51.899]  They are playing dumb on every level to gaslight us.
[00:03:53.533 --> 00:03:58.136]  The same agendas throughout history are presented differently with the same goals.
