[00:00:09.497 --> 00:00:17.821]  Across the Northern Hemisphere in 2013 and early 2014, we have seen record low temperatures.
[00:00:18.321 --> 00:00:25.925]  Some of them the coldest temperatures ever recorded in the last 300 years since thermometers were invented.
[00:00:26.365 --> 00:00:29.006]  The Great Lakes entirely froze over.
[00:00:29.607 --> 00:00:35.890]  The Arctic and Antarctic, in their respective winters, saw record growth in the ice.
[00:00:36.610 --> 00:00:42.274]  But what does Al Gore and CNN and MSNBC and the UN and the BBC do?
[00:00:42.854 --> 00:00:58.626]  They show you weather satellites from the poles during the summers and show the ice shrinking as it's always done for thousands of years with the northern and southern passages that were even documented in the time of the Vikings.
[00:00:59.505 --> 00:01:18.058]  They lie to people and say that penguins cannot swim in the Antarctic and that in the Arctic polar bears are dying even though National Geographic has to admit polar bear numbers are up five-fold since the 1950s and are now invading areas not previously known to be in their range.
[00:01:18.478 --> 00:01:19.419]  But that doesn't matter.
[00:01:19.699 --> 00:01:21.300]  Obama said you could keep your doctor.
[00:01:21.620 --> 00:01:23.562]  Then he said he never said you could keep your doctor.
[00:01:24.122 --> 00:01:29.026]  If you've got health care already, then you can keep your plan if you are satisfied with it.
[00:01:29.146 --> 00:01:30.987]  If you like the plan you have, you can keep it.
[00:01:31.368 --> 00:01:32.769]  I intend to keep this promise.
[00:01:32.949 --> 00:01:36.472]  If you like your health care plan, you'll be able to keep your health care plan.
[00:01:36.492 --> 00:01:39.314]  If you like your plan and your doctor, you can keep them.
[00:01:39.707 --> 00:01:41.948]  He said it wouldn't raise your premium, even though it did.
[00:01:42.208 --> 00:01:45.029]  So why not tell you that polar bears can't swim?
[00:01:45.650 --> 00:01:52.152]  Why not tell school kids they're all going to die if we don't pay Al Gore and the UN trillions of dollars in carbon taxes?
[00:01:52.673 --> 00:02:04.438]  Well, now because they're losing the debate, and it's been shown in the UN's own numbers that since the mid-90s the Earth's temperature has actually dropped slightly, that there are natural cycles, they can't deal with those facts.
[00:02:04.818 --> 00:02:09.220]  So, all over British and European news, but also here in the US,
[00:02:09.580 --> 00:02:18.664]  We've seen professors and others come out and call for the arrest of people that question anthropogenic or man-made global warming.
[00:02:19.244 --> 00:02:21.125]  And the latest is in the Times of London.
[00:02:21.665 --> 00:02:28.348]  With a straight face, one of the biggest papers in England, talks about ministers and the committee
[00:02:29.432 --> 00:02:42.280]  In Parliament, calling for people to not be allowed, including members of government, to question the consensus that man-made global warming is not man-made.
[00:02:42.860 --> 00:02:45.182]  Well, there is no consensus.
[00:02:45.322 --> 00:02:49.184]  In fact, the facade of the consensus is collapsing.
[00:02:49.605 --> 00:02:55.126]  The consensus is forming that the only thing that's steady is change itself.
[00:02:55.606 --> 00:03:00.307]  If you want to see the article, the headline is, Crackdown Ordered on Climate Change Skeptics.
[00:03:00.747 --> 00:03:03.528]  That sounds like something out of the old Soviet Union.
[00:03:04.128 --> 00:03:13.350]  Then we segue into Al Gore and his new move to produce an Inconvenient Truth Part 2 with new lies for old.
[00:03:13.810 --> 00:03:14.570]  Bottom line,
[00:03:15.441 --> 00:03:28.351]  We have an authoritarian movement on the so-called left that is seeking to not just tax every form of human activity and track it, but to also silence anyone that would dare challenge it.
[00:03:28.711 --> 00:03:29.852]  These people are not liberals.
[00:03:29.892 --> 00:03:32.494]  They are out-of-control authoritarians.
[00:03:32.914 --> 00:03:41.080]  But I wanted to reach out to some of the mainline supporters of this who really mean well, and I want to discuss some of the real environmental threats to this planet.
[00:03:41.681 --> 00:03:43.362]  Open-air genetic engineering,
[00:03:44.301 --> 00:03:56.962]  of plants for pharmacological crops where viruses and bacteria are mixed into the genetic code of mainline staple food crops that then infect the entire family of say corn or canola
[00:03:57.597 --> 00:04:05.143]  has been proven in major studies to cross the genetic line into animals and humans that eat it, damaging our DNA.
[00:04:05.863 --> 00:04:08.245]  We know that toxic waste dumping is a serious problem.
[00:04:08.485 --> 00:04:11.447]  We know that overfishing in many areas is a serious issue.
[00:04:11.908 --> 00:04:21.215]  We know that the development of superbugs because of the overuse of antibiotics is threatening not just human life but much of animal life on this planet.
[00:04:21.775 --> 00:04:35.105]  But when you enter into the equation, Earth changes and giant asteroids, a two mile across nickel asteroid would be estimated to be the equivalent of thousands of Hiroshima's or Nagasaki's.
[00:04:35.405 --> 00:04:38.367]  And that's something that humans don't have control over.
[00:04:38.687 --> 00:04:42.570]  That's something that paying a tax to Al Gore will not fix.
[00:04:43.230 --> 00:04:46.072]  Then you enter volcanic and seismic activity.
[00:04:46.412 --> 00:04:55.118]  Huge earthquakes from Chile to off the coast of Japan in the last few weeks, as well as California, as the Pacific Rim heats up.
[00:04:55.518 --> 00:05:05.104]  But government scientists tell us, don't worry, in the geological record, big events like this only happen every few hundred thousand years and we don't think we're due.
[00:05:06.291 --> 00:05:11.652]  They have no idea on the real geological line how often these events really happen.
[00:05:11.672 --> 00:05:16.114]  But what we know is many civilizations have been destroyed or damaged by them.
