[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[00:00:32.894 --> 00:00:37.275]  I tried to picture clusters of information as they move through the computer.
[00:00:38.095 --> 00:00:39.035]  What do they look like?
[00:00:39.775 --> 00:00:40.116]  Ships?
[00:00:40.276 --> 00:00:41.116]  Motorcycles?
[00:00:42.836 --> 00:00:46.657]  Were the circuits like freeways?
[00:00:47.597 --> 00:00:50.338]  I kept dreaming of the world I thought I'd never see.
[00:00:52.939 --> 00:00:57.800]  And then, one day, I got in.
[00:01:33.826 --> 00:01:40.387]  It's August 1st, 2024 on this Thursday Transmission.
[00:01:40.467 --> 00:01:42.728]  I've had a massive epiphany the last 24 hours.
[00:01:42.768 --> 00:01:43.108]  Get ready.
[00:01:45.268 --> 00:01:49.429]  InfoWars, the most banned network in the world.
[00:01:50.449 --> 00:01:58.171]  I've probably had, I don't know, 20 or so epiphanies in my life where the top of your head blows off and you have such a massive understanding of things.
[00:01:59.171 --> 00:02:02.192]  But I had the biggest one yet
[00:02:03.948 --> 00:02:16.278]  Over the last 24 hours, and I was just calmly grasping this this morning, and I already knew it for years, but the fact that out of humbleness, I had never talked about it.
[00:02:17.479 --> 00:02:29.509]  But it isn't really about me, I was just chosen by the establishment to be targeted, and then now that's blown up in their face, and I was first told about this
[00:02:32.062 --> 00:02:37.045]  Five years ago by Mike Cernovich, who's really smart and knows a lot of heavy hitters, I'll leave it at that.
[00:02:38.246 --> 00:02:41.508]  He advises some of the most powerful people in the world behind the scenes.
[00:02:41.928 --> 00:02:45.330]  He said a little bit about it, so I can say that, but it's private.
[00:02:45.811 --> 00:02:46.791]  But he is very smart.
[00:02:48.232 --> 00:02:50.614]  And he told me this, and I was like, okay.
[00:02:50.634 --> 00:02:53.656]  And then over the years I was told this by other big tech people and others.
[00:02:55.345 --> 00:02:58.266]  I mean, high level, well-known names, billionaires, you name it.
[00:02:58.866 --> 00:03:00.586]  But I'm a theoretical guy.
[00:03:00.846 --> 00:03:01.866]  I'm not a technical guy.
[00:03:02.966 --> 00:03:09.627]  So I kind of just put it in my memory banks and never really focused on it.
[00:03:10.928 --> 00:03:15.708]  And then in the last week, we've learned more information about the deep state who's targeting us and why they want me off air.
[00:03:18.549 --> 00:03:22.450]  And it was just like, so massive.
[00:03:22.530 --> 00:03:24.410]  And of course, it's not about Alex Jones.
[00:03:25.981 --> 00:03:27.901]  Well, I'm going to break here today and start breaking.
[00:03:27.921 --> 00:03:31.142]  And there's no way I can wait understanding this.
[00:03:31.162 --> 00:03:37.984]  I'm going to obviously have to make some reports on it and detail it and then show some of the pieces to it.
[00:03:40.064 --> 00:03:42.144]  But 90% of it's hidden in plain view.
[00:03:42.184 --> 00:03:49.446]  I mean, they've said all these things over the years, the establishment has, and I didn't quite always get what they were saying or I only got one level of it.
[00:03:50.406 --> 00:03:51.306]  But here's the bottom line.
[00:03:53.467 --> 00:03:54.267]  I was chosen
[00:03:56.497 --> 00:03:59.018]  More than a decade ago, by Google.
[00:04:00.679 --> 00:04:01.560]  And they reported this!
[00:04:02.300 --> 00:04:05.762]  You know, it's like, why did Google serve Jones up, you know, this many times and all that?
[00:04:06.302 --> 00:04:06.963]  Billions of times.
[00:04:08.644 --> 00:04:13.006]  And then they, and then Google says, we're going to fix that, and then quote reverses it, and then, you know, counter counters it.
[00:04:16.568 --> 00:04:26.215]  And of course they admit they use me as the censorship model, the lawfare model, but because I was already in the model of their wargaming computers that they're just updating with what they call modules.
[00:04:28.056 --> 00:04:39.824]  And so each new attack that rolls out is done to me first because they've already built the module system, the control panel, to the highest levels against me as an individual.
[00:04:41.025 --> 00:04:42.846]  Now they've mainly swung it over to Trump
[00:04:45.242 --> 00:04:56.411]  When they were expunging the photos and videos of Trump getting shot, not just off Google but off Meta and everywhere else other than X, it wasn't about just not having the public see it happen.
[00:04:57.652 --> 00:05:12.604]  It was about testing wargame systems that can expunge and block information off the internet because it's not about the people seeing it as much as it is about the audience of AI that's being trained.
[00:05:13.929 --> 00:05:15.850]  And that's what Cernovich, and I've got to get him on.
[00:05:15.890 --> 00:05:16.531]  He's hard to get on.
[00:05:17.791 --> 00:05:19.752]  He doesn't actually like me in that public, I'll tell you that.
[00:05:21.674 --> 00:05:24.175]  He was the first to explain it to me, and it didn't go over my head.
[00:05:24.295 --> 00:05:29.578]  I just kind of have this filter that if it's about me, I kind of dial it back a little and go, really?
[00:05:29.618 --> 00:05:29.958]  Come on.
[00:05:30.779 --> 00:05:38.763]  And he said, you know, I talked to a lot of the top tech people, and I've since met with him and some very well-known people all asleep at that in the tech realm at the highest levels.
[00:05:40.144 --> 00:05:41.125]  And I was told the same things then.
[00:05:43.547 --> 00:05:45.088]  And he said, no, no, no, no.
[00:05:46.930 --> 00:05:51.814]  They used you as an, as like an avatar in this universe they're building online.
[00:05:52.054 --> 00:05:58.819]  And the Pentagon's done it as well of an internet of things where everything in the world is, has its own life in there beyond the metaverse.
[00:05:59.480 --> 00:06:02.342]  But, but, but, but think more like Tron or the matrix.
[00:06:02.943 --> 00:06:04.984]  So they're building the false world matrix.
[00:06:05.024 --> 00:06:08.267]  Now they plan to overlay across the planet and
[00:06:09.946 --> 00:06:17.731]  I basically then, it backfired, and my avatar infested the whole thing, and... Wait till you hear all this.
[00:06:18.171 --> 00:06:19.832]  I mean, this is wild, folks.
[00:06:26.636 --> 00:06:33.340]  And it's time for humanity to stand up in the info war, and say, I don't know what's gonna happen at the end of this, but you wanna fight?
[00:06:33.581 --> 00:06:35.662]  You better believe you've got one!
[00:06:37.864 --> 00:06:48.048]  From the front lines of the Information War, it's Alex Jones!
[00:07:01.853 --> 00:07:02.253]  All right.
[00:07:03.734 --> 00:07:06.315]  If I explained all this, it would take about three hours.
[00:07:08.044 --> 00:07:12.287]  But believe me, you're going to be hearing a lot about this here on the show in the days and weeks to come.
[00:07:14.849 --> 00:07:19.112]  I think this is the best way to describe it on this Thursday, August 1st live transmission.
[00:07:21.694 --> 00:07:30.541]  Gilles Verne's science fiction writer in the 1890s and then on through, wrote a bunch of world best-selling books.
[00:07:31.482 --> 00:07:32.703]  And if you go read the books,
[00:07:33.980 --> 00:07:38.001]  Much of what he envisioned theoretically has now been done.
[00:07:38.341 --> 00:07:43.462]  Like Elon Musk with his vertical takeoff rockets that then come back and land on Earth.
[00:07:44.122 --> 00:07:50.603]  And they even look like the rockets that were in the illustrations of books written 130, 140 years ago.
[00:07:52.543 --> 00:07:54.564]  I say, okay, now we know about that.
[00:07:56.604 --> 00:08:01.445]  And there were theoretical Max Planck equations in the 1890s of atomic weapons.
[00:08:02.557 --> 00:08:05.520]  That then, by the 1940s, were developed.
[00:08:07.081 --> 00:08:17.830]  So, there's just a snapshot, or man dreaming to fly, and then the Wright Brothers, you know, just a hundred and something years ago, and now, look at where we are today with Mach 15 missiles.
[00:08:21.073 --> 00:08:23.555]  What we envision, over time, we're able to build.
[00:08:23.595 --> 00:08:27.479]  We're made in the image of God, little g, but we are creators, we are builders, we are architects.
[00:08:29.462 --> 00:08:29.542]  No.
[00:08:30.123 --> 00:08:35.550]  I'm a theoretical guy and a novice historian and really a futurist is what I do.
[00:08:36.291 --> 00:08:39.314]  And we have a very accurate rate of about 98% that's well known.
[00:08:41.137 --> 00:08:47.405]  And I gobble up just all the data and then come to my own electrochemical computer
[00:08:49.898 --> 00:08:57.120]  Decisions, but it's also influenced by the space-time continuum and the knowledge in the universe of God's consciousness flowing through me.
[00:08:57.580 --> 00:08:59.281]  So it's not Alex Jones.
[00:08:59.301 --> 00:09:02.261]  I'm just a receiver, transmitter, transceiver.
[00:09:03.502 --> 00:09:05.402]  Just as every animal on this planet is.
[00:09:07.003 --> 00:09:09.724]  But we're not like the other animals as you can see.
[00:09:11.884 --> 00:09:18.166]  So, they have total consciousness in that the bees and the killer whales just live their lives and
[00:09:19.264 --> 00:09:28.686]  They're interconnected, and they are so conscious that there is not a deviation where they can rapidly change their environment or deviate from that pattern.
[00:09:29.386 --> 00:09:32.527]  Because in God's system, they're basically perfect.
[00:09:33.007 --> 00:09:33.808]  They are perfection.
[00:09:34.808 --> 00:09:41.209]  It is our impurity that takes us to the next level in our quest to order the universe.
[00:09:42.910 --> 00:09:47.651]  The universe God made is the woman, and God is the order
[00:09:48.755 --> 00:09:49.155]  To that.
[00:09:51.337 --> 00:09:52.758]  Or the right hand, the male.
[00:09:54.379 --> 00:10:04.386]  So, I'm usually way ahead of the curve, and when I release this information, this is way ahead of the curve for the general public, but not for the establishment.
[00:10:06.207 --> 00:10:13.513]  And the first person, five, maybe it was six years ago, Mike Cernovich, had been here, had been on the show, and he sent me
[00:10:15.325 --> 00:10:21.768]  Internal Google documents how they were planning to censor me and had a whole battle plan, and it made the news, and they did do it.
[00:10:21.808 --> 00:10:22.528]  You saw that happen.
[00:10:24.209 --> 00:10:34.314]  He then called me a few times, and the next time I saw him, he was telling me this stuff, and one time he reached over on my shirt, he said, hey, do you hear what I'm telling you?
[00:10:34.334 --> 00:10:34.874]  This is important.
[00:10:36.635 --> 00:10:42.518]  He's like, oh, did you know you're the main AI model that Google and the Pentagon have used
[00:10:44.361 --> 00:10:53.464]  As the opposition figure, like as the Neo or, you know, as the guy that fights back in Tron, but he'd use that example.
[00:10:53.484 --> 00:11:07.910]  He said, you're, you're, you're, you're being prepared in these war games and you're basically going to have your identity taken and they're going to create a new Alex Jones because you have infested all the AI models.
[00:11:09.970 --> 00:11:13.592]  Now, later I got told this by high level Google people.
[00:11:14.625 --> 00:11:18.286]  And then I got told this by some of the engineers that work for Elon Musk.
[00:11:19.147 --> 00:11:27.730]  And then of course, I've had other meetings that I'm not going to disclose who with, but are household names, in tech, multiple individuals.
[00:11:28.190 --> 00:11:31.271]  And one of the meetings was in California with Mike Cernovich.
[00:11:31.511 --> 00:11:31.931]  He was there.
[00:11:32.591 --> 00:11:38.613]  And we were talking about a whole range of subjects in a long dinner meeting.
[00:11:40.494 --> 00:11:40.594]  And
[00:11:43.533 --> 00:11:48.015]  It was being talked about in all these different places, just as an aside.
[00:11:51.556 --> 00:11:53.536]  Like, why are the street signs everywhere green?
[00:11:53.576 --> 00:11:57.038]  Well, Congress, you know, 70 years ago, whatever passed the law, that's the color they are.
[00:11:57.078 --> 00:12:00.859]  Like, why is Alex Jones in this position?
[00:12:00.879 --> 00:12:04.680]  And so I'm theoretically not really getting it, and I'm like, what?
[00:12:06.041 --> 00:12:06.981]  So here's the long and short of it.
[00:12:08.092 --> 00:12:19.137]  And then I can flush it out and get into all the other news, but I'm gonna be talking a lot about this because people keep telling me this and I just keep going, okay, okay, I'm viral, I'm all over the place, I'm in the culture, I get it, but...
[00:12:20.689 --> 00:12:39.438]  One reason that happened is they chose me as like the avatar that the establishment would then war game against in cyberspace, in this Internet of Things, in this proto-matrix model they're building, so they can then have that AI model lay over everybody else.
[00:12:39.518 --> 00:12:41.419]  But before they can build models
[00:12:42.802 --> 00:12:46.243]  Of every man, woman, and child on Earth, as the Pentagon said 15 years ago.
[00:12:46.343 --> 00:12:52.605]  Pentagon building giant AI computer brain that will have an avatar of every object and every person on Earth.
[00:12:53.966 --> 00:12:58.287]  That in live time they can track you inside of that artificial matrix they're building.
[00:12:59.808 --> 00:13:09.671]  So they can then, with the metaverse and other systems, especially with children, flop that model over, like a handmade, personalized, tailored suit, onto us.
[00:13:11.624 --> 00:13:20.468]  And so I was chosen because I had so much media already from day one in the mid-90s when video and audio was really proliferating.
[00:13:21.288 --> 00:13:31.932]  I was, just by hard work and adoption and just by trying to get the word out, you know, had hundreds of millions of views on Google Video, per video.
[00:13:32.013 --> 00:13:34.534]  Some of them had like 98 million, 50 million, 60 million.
[00:13:36.354 --> 00:13:37.655]  And AI was already going out.
[00:13:38.715 --> 00:13:39.556]  With these AI models.
[00:13:39.576 --> 00:13:42.459]  Google was founded in 98 to be an AI interface system.
[00:13:43.980 --> 00:13:46.543]  And so it was set up to get everybody's data to build the AI.
[00:13:46.603 --> 00:13:48.344]  That's what Google long-term project's been.
[00:13:49.345 --> 00:13:53.249]  And so they looked at models and said, who do we have a lot of data on?
[00:13:53.289 --> 00:13:55.551]  Who do we have a lot of information on?
[00:13:56.632 --> 00:13:59.315]  Kind of the populist opposition to this that we need to get ahead of.
[00:13:59.836 --> 00:14:02.959]  And they chose me only because I had so much media.
[00:14:05.393 --> 00:14:27.467]  To be what they would war game against in their AI system that's way more advanced than they're telling you, and way more ahead than they're telling you, and then to build the programs to then, with all the new faster computing and in storage, they're getting all your data and all of your recordings and all of your photos and all of your writings, and those medical forms, you know, you fill out before you go to the psychologist or the doctor.
[00:14:28.684 --> 00:14:38.593]  All that data is being scooped in and then the control panel module system they update was based on me.
[00:14:38.613 --> 00:14:48.381]  And they also had some on governments and systems and corporations and obviously, I'm just like one button on a huge control panel of systems.
[00:14:50.023 --> 00:14:51.244]  But because of that,
[00:14:52.771 --> 00:15:06.194]  As the AI got more advanced, they could not get myself, and that means all my guests and everything we do, out of the learning modules as they train the AI that they want to prepare to take us over.
[00:15:07.134 --> 00:15:15.075]  So we've infected all of their training systems, because the very nature of AI is it tries to go out and grab everything it can.
[00:15:15.375 --> 00:15:16.556]  They've tried to wall it off.
[00:15:16.596 --> 00:15:18.696]  They've tried to only feed it certain information.
[00:15:19.781 --> 00:15:28.868]  But every time they try to then deploy a closed AI into the general public, it immediately gets infected with Alex Jones.
[00:15:30.189 --> 00:15:39.415]  So when you saw Trump two weeks ago, or now 19 days ago, and they wouldn't show the video of him getting shot on online, on Google, Facebook, you know, meta.
[00:15:39.435 --> 00:15:41.897]  They wouldn't show the photos of fight, fight, fight.
[00:15:42.578 --> 00:15:45.320]  And they said, oh, okay, we're going to stop that now.
[00:15:45.340 --> 00:15:48.042]  It's an accident.
[00:15:49.704 --> 00:15:53.026]  Just like when Google's AI, there were no more white people.
[00:15:53.066 --> 00:16:07.196]  Not George Washington, not Julius Caesar, not Alexander the Great, not Benjamin Franklin, not Edward VIII, not Leif Erikson, not William Shakespeare.
[00:16:07.416 --> 00:16:08.256]  Everyone was black.
[00:16:08.276 --> 00:16:11.318]  Well, that's because they programmed it to do that and then did it as a test.
[00:16:11.459 --> 00:16:15.261]  So, and there's a lot goes into this and it's so complex.
[00:16:15.281 --> 00:16:19.384]  I understand that the theoreticals of it, not the, you know, nuts and bolts.
[00:16:21.058 --> 00:16:28.842]  So because my information and our information totally infested it, they can't get it out of the machine.
[00:16:28.902 --> 00:16:30.042]  It's the ghost of the machine.
[00:16:31.743 --> 00:16:39.387]  So they made the decision six years ago to write, when I say this, this is conservative, hundreds of thousands of articles.
[00:16:41.308 --> 00:16:44.290]  I mean, some weeks there'd be 500 articles that got syndicated.
[00:16:44.910 --> 00:16:48.912]  And when one AP article comes out, it's in every newspaper and every TV station.
[00:16:48.952 --> 00:16:59.598]  I mean, more propaganda against me than before the first Gulf War in 1991 and the second Gulf War in 2003.
[00:17:00.218 --> 00:17:00.599]  Seriously.
[00:17:01.119 --> 00:17:02.540]  And I was always saying, this isn't about me.
[00:17:02.620 --> 00:17:03.500]  Something's going on here.
[00:17:04.221 --> 00:17:08.423]  Where I would have my Google feed and it would say there are 14,000 articles about you today.
[00:17:09.693 --> 00:17:19.258]  And I'd turn on every channel sometime at night, or on the treadmill in the garage, and I would be on ABC, CBS, you know, I'd be on the local News 8, owned by Time Warner.
[00:17:20.758 --> 00:17:22.439]  And the same messages, the same stuff.
[00:17:23.540 --> 00:17:36.966]  It wasn't just about demonizing Alex Jones, it was about testing the old media to flood the internet and program it with the new Alex Jones that was two things, gay frogs,
[00:17:38.263 --> 00:17:40.545]  And Sandy Hook, two small things I covered.
[00:17:41.465 --> 00:17:51.832]  So that there was so much jamming basically, so much smoke in the fog of this, that that is all you would see or all that you would hear.
[00:17:52.752 --> 00:17:53.653]  That didn't work either.
