# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[00:00:35.119 --> 00:00:45.679]  Well, the top of the Democrat Party mouthpiece, the Drudge Report, has the headline, Make America Great Again, Divorce.
[00:00:46.320 --> 00:00:58.000]  And when you click on it, it takes you to Infowars.com, and there is the representation that I've divorced Trump, and he's divorced me.
[00:00:59.280 --> 00:01:03.600]  And that's how the media is spinning it.
[00:01:04.079 --> 00:01:06.799]  That is not what's happening here.
[00:01:07.439 --> 00:01:12.640]  I overall support Trump, but you can't do a 180 on the Epstein files.
[00:01:12.799 --> 00:01:20.320]  Yes, we know the Democrats have been in control of the files over the years, and obviously whatever they left in them is what they want in them.
[00:01:21.960 --> 00:01:28.540]  But Trump coming out and saying, anybody that talks about Epstein, he doesn't want their support anymore.
[00:01:34.560 --> 00:01:43.200]  Just reeks of childlish, childlike behavior.
[00:01:46.240 --> 00:01:49.280]  Let these weaklings continue forward and do the Democrats' work.
[00:01:49.600 --> 00:02:00.000]  Don't even think about taking of our incredible and unprecedented success because I don't want their support anymore.
[00:02:00.320 --> 00:02:03.040]  Thank you for your attention to this matter and make America great again.
[00:02:04.880 --> 00:02:27.759]  So Trump has to know that this behavior that started last Monday, now nine days ago, is very self-destructive and is making the Democrats make this their main issue.
[00:02:28.080 --> 00:02:30.000]  And that's what I said at the time.
[00:02:30.640 --> 00:02:36.319]  I said, this is a Streisand effect of Streisand effects.
[00:02:37.280 --> 00:02:39.840]  And Trump is behind this.
[00:02:40.080 --> 00:02:41.599]  People said, no, no, it's Pam Bondi.
[00:02:41.680 --> 00:02:42.159]  No, no, no.
[00:02:42.240 --> 00:02:43.439]  And of course, he came out a day later.
[00:02:43.599 --> 00:02:44.960]  Yeah, I'm behind it.
[00:02:45.280 --> 00:02:47.280]  And now he's been 100% clear about that.
[00:02:47.599 --> 00:02:52.240]  So this is Trump's issue.
[00:02:53.120 --> 00:02:55.120]  It is not going to go away.
[00:02:56.640 --> 00:03:10.640]  I am still going to cover it some, but there's so many other issues to hit and so many other things to get into that I'm not going to have this one issue suck all the oxygen out of the room for what we do.
[00:03:10.960 --> 00:03:16.879]  Obviously, when I talk about it, people watch it, they listen to it, they're interested because people feel like I do.
[00:03:17.200 --> 00:03:24.159]  I'd say nine out of 10 Trump supporters that I know are really upset about this and bewildered.
[00:03:24.719 --> 00:03:26.960]  And it looks very incriminating.
[00:03:28.480 --> 00:03:32.879]  But at the same time, Trump is right that the Democrats did have these files.
[00:03:33.120 --> 00:03:37.200]  So whatever they left in it makes some people close to him look bad or something.
[00:03:37.520 --> 00:03:38.159]  I don't think it's Trump.
[00:03:38.319 --> 00:03:39.200]  Never seen evidence of that.
