# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.160 --> 00:00:01.600]  It's a three-part test.
[00:00:02.160 --> 00:00:12.720]  And it's a critical thing because you've got to understand that we are what Pam Bonney said was literally inexcusable in my mind.
[00:00:12.960 --> 00:00:15.359]  Pam Bondi represents the most magnet administration.
[00:00:15.519 --> 00:00:17.039]  I mean, Trump came up with MANGA.
[00:00:17.600 --> 00:00:19.600]  Free speech is the reason he's elected.
[00:00:19.839 --> 00:00:21.920]  Free speech is the reason he's here.
[00:00:22.240 --> 00:00:24.960]  I don't care that she says that she missed vote.
[00:00:25.120 --> 00:00:29.839]  She's the Attorney General of the United States of America in the most mag administration in history.
[00:00:30.160 --> 00:00:33.600]  She's not arresting anybody that's done anything real.
[00:00:33.920 --> 00:00:42.079]  She's allowing people, I mean, Brianna, you yourself, have dealt with all sorts of nonsense because of the way people talk about you.
[00:00:42.399 --> 00:00:44.399]  And no one's even looking at that.
[00:00:44.640 --> 00:00:45.920]  No one's even considering that.
[00:00:46.079 --> 00:00:49.039]  Nobody cares about anybody unless it's the politicians.
[00:00:49.120 --> 00:00:54.719]  Now, the politicians, the untouchable class, these people who think that they're Jesus offender, now we're talking about that.
[00:00:54.800 --> 00:00:56.240]  We're talking about violence against them.
[00:00:56.480 --> 00:00:57.840]  Here's the deal.
[00:00:58.480 --> 00:01:12.320]  Unless, in the United States, unless a statement specifically is designed to elicit a law of misbehavior is protected by free speech.
[00:01:13.280 --> 00:01:21.519]  So the laws that she cited were very narrow and they're very hard to the election or who were J6 supporters.
[00:01:22.000 --> 00:01:23.359]  They were all terrorists.
[00:01:23.680 --> 00:01:30.000]  Unless we want to go back to that the next time we have a Democrat president, we'd better be fighting pretty darn hard to protect this First Amendment.
[00:01:30.159 --> 00:01:31.760]  This is a terrifying move.
[00:01:32.079 --> 00:01:33.359]  It wasn't just a misstep.
[00:01:33.519 --> 00:01:38.079]  It was absolute inconfidence on a level that I think is unforgivable.
[00:01:38.400 --> 00:01:38.960]  Yeah, yeah.
[00:01:39.120 --> 00:01:43.280]  Tom, I mean, the fact that she said that, and now I mean, she's trying to correct herself, right?
[00:01:43.359 --> 00:01:48.960]  But the reality of it is it just depends on who the administration is in the White House who's going to define what hate speech is.
[00:01:49.040 --> 00:01:53.439]  And Charlie Kirk would have never wanted that, but he would have the tweets to prove that he would never want that.
[00:01:53.680 --> 00:01:57.280]  Tom Renz, thank you for all the incredible work you're doing and joining us this morning.
[00:01:57.600 --> 00:01:58.719]  Give him a follow-on asked.
[00:01:58.879 --> 00:02:00.719]  You actually post one of those are the most important.
[00:02:01.200 --> 00:02:02.159]  Absolutely, folks.
[00:02:03.359 --> 00:02:04.960]  Those radio talking points you put out.
[00:02:05.600 --> 00:02:06.159]  That's the faction.
[00:02:06.320 --> 00:02:10.080]  That's why we've got to keep the administration on the straight and narrow, hold their feet to the fire.
[00:02:10.159 --> 00:02:11.039]  We're not a panicking.
[00:02:11.199 --> 00:02:12.800]  We're holding their feet into the firing.
[00:02:13.199 --> 00:02:14.640]  Follow me on the next Relox Jones.
[00:02:15.280 --> 00:02:16.400]  And watch the American Journal.
