[00:00:00.830 --> 00:00:03.652]  Coast to Coast, direct from Austin.
[00:00:04.413 --> 00:00:07.635]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.512 --> 00:00:19.673]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.333 --> 00:00:21.134]  You want answers?
[00:00:21.914 --> 00:00:22.794]  Well, so does he.
[00:00:23.454 --> 00:00:27.075]  He's Alex Jones on the GCN Radio Network.
[00:00:27.655 --> 00:00:31.737]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.667 --> 00:00:41.387]  It's Friday, October 3rd.
[00:00:41.607 --> 00:00:42.788]  It's the Alex Jones Show.
[00:00:42.808 --> 00:00:45.688]  I'm your host again, filling in for Alex today.
[00:00:45.808 --> 00:00:49.249]  Paul Joseph Watson with you for the full three hours.
[00:00:49.309 --> 00:00:52.829]  We've got David Knight back in studio, coming up in the last hour.
[00:00:53.430 --> 00:00:58.351]  In the second hour, we're going to go to an interview with Syrian Girl, who's going to talk about ISIS.
[00:00:58.431 --> 00:01:04.232]  The airstrikes questioning, are they actually having an effect on killing ISIS members?
[00:01:04.272 --> 00:01:05.852]  It appears that the opposite is the case.
[00:01:06.392 --> 00:01:07.833]  ISIS is advancing.
[00:01:07.853 --> 00:01:25.887]  We're also going to talk about Gamergate, which is this basically huge open conspiracy within the video games industry where social engineers and feminists have infiltrated video game making companies and the video game media to implant messages of social engineering.
[00:01:25.927 --> 00:01:28.729]  It's kind of a topic that's bubbled under the surface a little bit.
[00:01:29.565 --> 00:01:31.186]  Over the past month, but we're going to get into it.
[00:01:32.027 --> 00:01:38.130]  With Syrian Girl, we've also got a tribute to Stan Monteith coming up at the bottom of the hour, so be sure to stay tuned for that.
[00:01:38.691 --> 00:01:46.135]  The latest news surrounding Ebola, of course, the CDC's response goes from concerning to downright alarming.
[00:01:46.175 --> 00:01:49.117]  We've got a top story on InfoWars.com right now.
[00:01:49.477 --> 00:01:52.379]  Ebola patient's family under armed quarantine.
[00:01:52.799 --> 00:01:57.042]  This just came out around about 30 minutes ago out of the Associated Press originally.
[00:01:57.662 --> 00:02:09.051]  Basically the family of the Ebola patient in Dallas tried to escape the apartment in which they're being quarantined, obviously because of their exposure, potential exposure to the Ebola virus.
[00:02:09.491 --> 00:02:11.492]  So we've got that story up on InfoWars.com
[00:02:12.472 --> 00:02:18.434]  Coming up now after the break we're going to play this clip from Anderson Cooper and this is just again astounding.
[00:02:19.035 --> 00:02:32.220]  He interviews the partner of the Ebola victim who's still obviously holed up there in the apartment in Dallas and she basically tells him the CDC gave them no advice, no information whatsoever on how to deal with the
[00:02:32.720 --> 00:02:43.585]  Vomit, diarrhea, sweat-stained Ebola bed sheets of this Ebola victim who had been staying in that apartment, of course, for days after he had contracted the virus.
[00:02:43.645 --> 00:02:45.045]  So we've got that clip coming up.
[00:02:45.546 --> 00:02:49.107]  Again, absolute incompetence on behalf of the CDC.
[00:02:49.147 --> 00:02:50.508]  It goes from bad to worse.
[00:02:50.668 --> 00:02:51.708]  There's a CNN story.
[00:02:51.728 --> 00:02:56.571]  Frustrated woman quarantined with sheets, towels soiled by Ebola patient.
[00:02:56.611 --> 00:02:59.692]  We've got that clip coming up after the break from CNN.
[00:02:59.712 --> 00:03:00.472]  You've got to see this.
[00:03:01.093 --> 00:03:01.393]  Also,
[00:03:02.501 --> 00:03:05.043]  Out of Breitbart today, co-workers of U.S.
[00:03:05.103 --> 00:03:09.727]  Ebola patient, he knew he had Ebola, he was desperate to survive.
[00:03:10.108 --> 00:03:16.073]  Now a couple of days ago, I made the comment that this guy could have been an Ebola tourist.
[00:03:16.173 --> 00:03:17.494]  He could have been coming to the U.S.
[00:03:17.534 --> 00:03:26.722]  specifically to get treatment, in the knowledge that he wouldn't get such treatment in Africa, of course, where they're completely overwhelmed with the spread of Ebola well over
[00:03:27.903 --> 00:03:30.184]  3,000 people dead now as a result of this outbreak.
[00:03:30.484 --> 00:03:32.866]  The hospitals cannot take any more patients.
[00:03:32.906 --> 00:03:35.728]  We've seen videos of people dying on the street.
[00:03:36.148 --> 00:03:43.993]  So now the boss of this Ebola victim who came into Dallas is basically saying, quote, if he were in Liberia he was going to surely die.
[00:03:44.433 --> 00:03:48.376]  Saying he was glad that Duncan was in a country with adequate medical resources.
[00:03:48.416 --> 00:03:50.017]  So he's basically making the point that
[00:03:50.908 --> 00:04:01.936]  In a quote, desperate attempt to survive, the Ebola victim, Thomas Eric Duncan, came into Dallas deliberately to get treatment that he knew he wouldn't get back in Liberia.
[00:04:02.616 --> 00:04:06.118]  Also, shocking story that I put out last night.
[00:04:06.479 --> 00:04:10.862]  Shock image shows unprotected workers cleaning up Ebola vomit in Dallas.
[00:04:11.542 --> 00:04:27.646]  Now this is a shot, an image out of a HD Chopper 8 crew from WFAA and this shows the workers cleaning up the sidewalk outside the apartment where the Ebola victim stayed, where he vomited on the sidewalk.
[00:04:27.706 --> 00:04:38.288]  Now it's not clear whether they're actually cleaning up the Ebola vomit, but they're in the area, they're cleaning the sidewalk where this patient stumbled and fell before he got into the ambulance.
[00:04:39.284 --> 00:04:41.405]  And was taken to the Texas Presbyterian Hospital.
[00:04:41.425 --> 00:04:44.006]  So, obviously, no protection whatsoever.
[00:04:44.607 --> 00:04:47.868]  And we're going to delve more into that, more into CDC incompetence.
[00:04:48.549 --> 00:04:54.792]  With this Ebola situation, after the break, the news is all circulating around this apartment where the family members are currently quarantined.
[00:04:55.492 --> 00:04:57.093]  Syrian Girl coming up, second hour.
[00:04:57.493 --> 00:04:58.874]  David Knight, third hour.
[00:04:58.934 --> 00:05:02.996]  We've also got news on the economy, the 5.9% unemployment rate.
[00:05:03.036 --> 00:05:04.276]  Well, they're not telling you about that.
[00:05:04.656 --> 00:05:05.937]  It's the Alex Jones Show Live.
[00:05:06.097 --> 00:05:07.698]  Stay tuned, InfoWars.com.
[00:05:09.718 --> 00:05:13.220]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:13.380 --> 00:05:17.342]  At the same time, they're restricting civilians' rights to own and purchase firearms.
