[00:00:19.830 --> 00:00:21.751]  Welcome to the Infowars Nightly News.
[00:00:21.831 --> 00:00:23.032]  I'm your host, Jakari Jackson.
[00:00:23.433 --> 00:00:24.033]  It is January 14, 2015.
[00:00:24.313 --> 00:00:27.035]  Let's get straight into our news tonight.
[00:00:27.596 --> 00:00:32.259]  Last year, ISIS gave us a map detailing their plans for essentially world domination.
[00:00:32.739 --> 00:00:35.201]  They're far from that, but they do continue with their attacks.
[00:00:35.561 --> 00:00:39.724]  Now we have this ISIS sympathizer arrested for allegedly plotting a U.S.
[00:00:39.764 --> 00:00:40.465]  Capitol attack.
[00:00:41.105 --> 00:00:42.486]  All right, some news out of Ohio.
[00:00:42.546 --> 00:00:50.449]  Fox News confirmed the Department of Justice arresting an ISIS sympathizer in Ohio, charging the man with plotting a jihad attack on the U.S.
[00:00:50.469 --> 00:00:51.610]  Capitol in Washington.
[00:00:52.510 --> 00:00:58.873]  And the article reads, Christopher Lee Cornell, age 20, of Green Township, considered members of Congress to be his enemies.
[00:00:59.293 --> 00:01:01.074]  So we'll bring you more as this story develops.
[00:01:01.434 --> 00:01:03.195]  But this isn't the only place where we see threats.
[00:01:03.515 --> 00:01:05.096]  In Portland, we have a Portland teen.
[00:01:05.416 --> 00:01:08.538]  He's accused of threatening to blow up a deli in the name of Allah.
[00:01:09.278 --> 00:01:18.344]  A 19-year-old is accused of threatening workers repeatedly at a Northeast Portland deli when he wasn't able to buy cigarettes and said he would blow up the store in the name of Allah.
[00:01:18.964 --> 00:01:27.249]  Court reports say Abdallah Mohammed is accused of making disparaging remarks about Jews and Israel in July, according to an arrest warrant affidavit.
[00:01:27.590 --> 00:01:28.430]  So let's be very clear.
[00:01:28.490 --> 00:01:34.274]  Yes, we do talk about these stories because we do take terror threats seriously, but it's not to say that these people represent
[00:01:34.694 --> 00:01:35.174]  All Muslims.
[00:01:56.149 --> 00:02:07.313]  In a remote Nigerian town of Baga and detonated a bomb, the Telegraph estimated the terror group now controls approximately 20,000 miles of territory in an area the size of Belgium.
[00:02:07.834 --> 00:02:19.958]  The British newspaper characterizes the group as the Afghan version of the Islamic State, a caliphate that has supposedly achieved mastery over 11 local government areas with a total population exceeding 1.7 million people.
[00:02:22.299 --> 00:02:41.853]  Omitted from the discussion and from the established media reports on Boko Haram is the fact the terror group, not unlike the Islamic State in Syria and Iraq, and according to the BBC, now in Afghanistan, is supported and funded by Saudi Arabia and has also received assistance from Libyan mercenaries linked to Al Qaeda.
[00:02:42.153 --> 00:02:47.316]  The same Al Qaeda that we fund and train and we drop air grenades to them and all that good stuff.
[00:02:47.657 --> 00:02:49.318]  So this is the thing that's going on.
[00:02:49.818 --> 00:02:51.640]  Not just in our country, but all around our world.
[00:02:51.680 --> 00:02:58.446]  Because you understand, as the troops do, and we're going to talk about that in just one second, that we don't want to fund al Qaeda and we definitely don't want to fight them.
[00:02:58.806 --> 00:03:02.990]  Because what happens is we fund them on Monday and then we fight them on Friday.
[00:03:03.270 --> 00:03:08.875]  And I'm not saying that we shouldn't go out there and fight the terrorists, I'm not saying that one bit, but why are we fighting the terrorists that we fund?
[00:03:09.135 --> 00:03:12.659]  So you can see this full article on InfoWars.com by Kurt Nemo.
[00:03:12.979 --> 00:03:14.941]  And talking about this, the things I just spoke of.
[00:03:15.521 --> 00:03:16.641]  Now everybody's upset.
[00:03:16.741 --> 00:03:20.082]  The military is being asked, what do you think about President Obama, really?
[00:03:20.402 --> 00:03:25.044]  And they say all too much that we definitely disapprove of the actions of our Commander-in-Chief.
[00:03:25.084 --> 00:03:26.844]  This is from the Military Times.
[00:03:27.404 --> 00:03:32.806]  It says, do you approve or disapprove of the way this President is handling his job as Commander-in-Chief?
[00:03:33.406 --> 00:03:38.868]  And the graph on Military Times shows you definitely that they do not support the actions of President Obama.
[00:03:39.904 --> 00:03:40.865]  And you know, why is this?
[00:03:40.905 --> 00:03:42.286]  You know, everybody wants to talk about this.
[00:03:42.667 --> 00:03:44.588]  Why don't people support President Obama?
[00:03:44.608 --> 00:03:46.550]  They always try to make it some type of racial issue.
[00:03:47.011 --> 00:03:49.893]  And you know, when we talk about Obama, there's things Bush did that I don't like.
[00:03:50.173 --> 00:03:51.695]  There's things Clinton did that I don't like.
[00:03:52.055 --> 00:04:01.003]  And talking about Bush, you know, you send guys over there to Iraq, you know, Afghanistan, you have a million plus dead Iraqis, many of them non-combatants, people caught in the crossfire.
[00:04:01.043 --> 00:04:03.185]  Then you talk about what the Democrats do.
[00:04:03.245 --> 00:04:04.927]  You have bombing campaigns
[00:04:05.367 --> 00:04:08.209]  In Syria, you have bombing campaigns in Pakistan.
[00:04:08.889 --> 00:04:10.890]  Many innocent people are caught up in these attacks.
[00:04:11.190 --> 00:04:17.113]  The Pakistan Interior Minister said 80% of the people targeted or killed by the drone attacks were non-combatants.
[00:04:17.514 --> 00:04:19.195]  And you may say, well, they conflate their numbers.
[00:04:19.215 --> 00:04:20.175]  Well, I'm pretty sure the U.S.
[00:04:20.555 --> 00:04:21.616]  downplays their numbers.
[00:04:21.656 --> 00:04:25.898]  So maybe it's not 80%, but it's not the 10% or whatever President Obama wants you to believe.
[00:04:26.218 --> 00:04:26.959]  But it's not just that.
[00:04:27.219 --> 00:04:29.180]  Let's talk about the troops out there doing torture.
[00:04:29.500 --> 00:04:32.142]  We see Staff Sergeant Joe Biggs, he came back from combat.
[00:04:32.162 --> 00:04:34.663]  He said, yeah, I delivered people over there to be tortured.
[00:04:35.003 --> 00:04:35.283]  I think?
[00:04:55.725 --> 00:04:59.708]  When they said we have to shut down this, we have to shut down that, we have to stop White House tours.
[00:05:00.029 --> 00:05:01.750]  They even threatened not to pay the military.
[00:05:01.970 --> 00:05:07.395]  But don't worry, they still had enough money, the President and his family, to go on a very lavish vacation soon after that.
[00:05:07.695 --> 00:05:09.897]  So you can find that full report on the Military Times.
[00:05:10.458 --> 00:05:11.799]  And we'll move on to the next article.
[00:05:12.339 --> 00:05:16.141]  FBI says John Boehner's Westchester bartender planned to poison him.
[00:05:16.501 --> 00:05:17.542]  Sorry, I actually laughed there.
[00:05:18.082 --> 00:05:27.707]  Michael Robert Hoyt, age 44, was indicted January 7th on charges of threatening to murder the congressman in a plot police said included poisoning his drink at a country club.
[00:05:27.807 --> 00:05:31.589]  And he went on to say, Mr. Hoyt, that he thought Boehner was the devil.
[00:05:33.050 --> 00:05:35.032]  I mean, I'm not going to go as far as call the man the devil.
[00:05:35.092 --> 00:05:40.437]  He's not one of my favorite characters up there in Washington capital here, wherever he may be.
[00:05:40.938 --> 00:05:43.840]  But I don't think you go out and poison the guy.
[00:05:43.860 --> 00:05:46.803]  You vote him out of office because I know a lot of the Republicans are celebrating.
[00:05:47.083 --> 00:05:50.186]  Yeah, you know, after the midterm elections, yeah, we got more seats here.
[00:05:50.226 --> 00:05:51.147]  We got more seats there.
[00:05:51.468 --> 00:05:53.049]  They really haven't done too much different.
[00:05:53.429 --> 00:05:56.652]  You know, you have Republicans, Democrats, they may differ on things like a
[00:05:57.193 --> 00:06:00.534]  Abortion or gun issues, things such as that.
[00:06:00.834 --> 00:06:07.937]  But when it comes down to the brass tacks, you know, we talk about wars, you talk about torture, you talk about economic crisis.
[00:06:08.257 --> 00:06:09.898]  These guys really don't do too much different.
[00:06:09.938 --> 00:06:11.699]  Obama's like, we all hated the bank bailouts.
[00:06:11.719 --> 00:06:13.540]  I'm like, why are you bailing them out?
[00:06:13.880 --> 00:06:17.381]  That's just one issue with the very unpopular John Boehner.
[00:06:17.701 --> 00:06:20.682]  And we'll end tonight with this before we go on to more special reports.
[00:06:21.083 --> 00:06:24.064]  Lawmakers reintroduced the CISPA cybersecurity bill.
[00:06:24.744 --> 00:06:35.274]  The Cyber Intelligence Sharing and Protection Act, which encourages Internet companies to share your private data with the government under the guise of cybersecurity, was reintroduced by Congress Rep.
[00:06:35.334 --> 00:06:37.476]  Dutch Ruppersberger of Maryland.
[00:06:37.976 --> 00:06:50.067]  A leaked draft of the bill, which isn't publicly available yet on Congress.gov, is practically a carbon copy of its 2013 incarnation and is exactly what President Obama wants in a proposal he made Tuesday.
[00:06:50.748 --> 00:06:52.249]  But why would companies want to do this?
[00:06:52.709 --> 00:06:58.333]  Because under CISPA, they'll have legal immunity, both civil and criminal, for sharing your data.
[00:06:58.873 --> 00:07:03.636]  So there's no incentive for them to strip any of your personal details they send to the government.
[00:07:04.056 --> 00:07:04.877]  So yeah, why not?
[00:07:04.917 --> 00:07:10.120]  We saw Twitter, was it last year, a year before, they got in a big fight because they didn't want to release their tweets.
[00:07:10.560 --> 00:07:15.163]  And now you see companies, you know, under the guise of CISPA, which they're always going to repackage and send back out there.
[00:07:15.443 --> 00:07:20.226]  And this is the thing, we've been talking about CISPA, SOPA, all these bills for a while now, for several years now.
[00:07:20.506 --> 00:07:20.726]  I think?
[00:07:50.626 --> 00:07:51.947]  The history of the CIA.
[00:07:52.167 --> 00:07:52.647]  Stay tuned.
[00:08:12.515 --> 00:08:14.477]  Worthy answers that synergistically worked.
[00:08:14.738 --> 00:08:21.245]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[00:08:21.586 --> 00:08:27.493]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[00:08:27.973 --> 00:08:35.699]  Oxygen-Based Cleanser Oxy Powder, The Secret 12 Bioavailable Vitamin B12, and your choice of Super Female or Super Male Vitality.
