[00:00:00.110 --> 00:00:00.413]  Yeah.
[00:00:14.932 --> 00:00:15.572]  Big Brother.
[00:00:16.232 --> 00:00:17.253]  Mainstream media.
[00:00:17.993 --> 00:00:19.093]  Government cover-ups.
[00:00:19.753 --> 00:00:20.573]  You want answers?
[00:00:21.333 --> 00:00:22.214]  Well, so does he.
[00:00:22.894 --> 00:00:26.494]  He's Alex Jones on the GCN Radio Network.
[00:00:27.075 --> 00:00:31.175]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.076 --> 00:00:37.877]  Ladies and gentlemen, you're entering the most critical time in human history.
[00:00:39.153 --> 00:00:40.737]  The wheat is being divided from the chaff.
[00:00:41.418 --> 00:00:41.959]  We're live.
[00:00:41.999 --> 00:00:43.463]  It's Friday, the 18th day of December, 2015.
[00:00:46.052 --> 00:00:47.753]  I wouldn't call this a working vacation.
[00:00:47.873 --> 00:01:14.249]  I'm on air, but I've got so much technically to do with launching the TV network on more UHF, VHF and cable stations next year, and so much to do in preparation for sending out our investigative reporters on big stories, that what I do is around the Christmas holidays, I'll take a few days off next week and a few days, maybe the week after that, and basically stay here at the office and work.
[00:01:15.259 --> 00:01:16.000]  That's what I'm doing.
[00:01:36.655 --> 00:01:41.459]  So in the holidays, I just get home at 4 or 5 to see my children.
[00:01:42.220 --> 00:01:45.843]  So for me, that's a vacation just working till 4 o'clock.
[00:01:46.603 --> 00:01:50.446]  So excuse me for my vacation time, but I am here for my vacation right now.
[00:01:51.167 --> 00:01:53.468]  Seriously though, wild horses couldn't drag me away.
[00:01:54.369 --> 00:01:57.692]  Legendary, epic, those are the words for what's going on on every front.
[00:01:58.412 --> 00:02:10.741]  Incredible technological developments, incredible discoveries every day of Earth-like planets very close to us and bionic eyes that see almost as good as a human eye, giving sight to the blind, just fabulous good stuff happening.
[00:02:12.062 --> 00:02:26.458]  While criminals in the criminal psycho class who enjoy dominating and screwing people over, who are in competition against competition and against a level playing field, they are waging war against the free market.
[00:02:26.498 --> 00:02:32.665]  They are looting our countries to the ground to consolidate power and hoard it all for themselves.
[00:02:33.407 --> 00:02:35.808]  They can't stand that there's competition in media.
[00:02:36.008 --> 00:02:37.829]  They can't stand there's competition in ideas.
[00:02:38.129 --> 00:02:40.690]  Because they lose on that playing field.
[00:02:41.030 --> 00:02:42.871]  They are sore loser failures.
[00:02:43.151 --> 00:02:44.651]  They are monopoly men and women.
