[00:00.000 --> 00:01.720]  This is InfoWars, right?
[00:01.720 --> 00:04.480]  So you got some InfoWarriors on both sides of you
[00:04.480 --> 00:05.560]  and you fought for us.
[00:05.560 --> 00:07.640]  You've been fighting this battle for a long time, Alex.
[00:07.640 --> 00:09.840]  And we just got to salute you as a Christian
[00:09.840 --> 00:12.360]  and as American because you paved the way
[00:12.360 --> 00:14.360]  to make braver soldiers like us today.
[00:14.360 --> 00:17.360]  It's like Terminator part 10 happening right now.
[00:17.360 --> 00:29.680]  Free shipping is back at InfoWarsStore.com.
[00:29.680 --> 00:33.000]  Free shipping is back at InfoWarsStore.com
[00:33.000 --> 00:34.920]  on orders of $50 or more.
[00:34.920 --> 00:38.040]  And the other orders, you've seen the prices on that slash
[00:38.040 --> 00:38.720]  as well.
[00:38.720 --> 00:40.640]  Check out InfoWarsStore.com today.
[00:40.640 --> 01:01.000]  InfoWars, the most banned network in the world.
[01:01.000 --> 01:03.320]  It's Thursday, December 1st, 2022.
[01:03.320 --> 01:04.760]  I'm your host, Alex Jones.
[01:04.760 --> 01:08.320]  And in studio, yay, is our guest.
[01:08.320 --> 01:10.520]  He's gonna be here, he says for the next three hours or so.
[01:10.520 --> 01:13.240]  And also, America first leader.
[01:13.240 --> 01:16.400]  And that is Nick Fuentes, Ollie Alexander, Owen Schreuer,
[01:16.400 --> 01:19.640]  and many others are also gonna be coming through here today.
[01:19.640 --> 01:26.000]  And yay has arrived in a new ensemble here with us.
[01:26.000 --> 01:27.720]  But I'll assure you it is yay.
[01:27.720 --> 01:30.720]  Yay, thank you so much for coming to Austin.
[01:30.720 --> 01:31.120]  Thank you.
[01:31.120 --> 01:32.840]  Thank you for having me.
[01:32.840 --> 01:34.000]  Well, where would you like to start?
[01:34.000 --> 01:38.040]  This first little five minute segment is just kind of a prelude
[01:38.040 --> 01:38.640]  to what's coming up.
[01:38.640 --> 01:42.200]  What do you want to cover here today?
[01:42.200 --> 01:47.240]  Just God runs the world, and Jesus is the way and the life.
[01:47.240 --> 01:51.760]  And it's time to put Jesus first in the way
[01:51.760 --> 01:56.280]  that we run our businesses, the way we run our families,
[01:56.280 --> 01:59.440]  our businesses, and the way we run our country.
[01:59.440 --> 02:02.240]  You're radio listeners, we're on over 400 radio stations.
[02:02.240 --> 02:04.680]  They can't see you right now.
[02:04.680 --> 02:06.560]  This is a new look for you.
[02:06.560 --> 02:09.120]  Oh, no, I've been wearing a mask for a while.
[02:09.120 --> 02:10.320]  Ah, yeah.
[02:10.320 --> 02:12.680]  This is an archetypal example of the mask is off.
[02:12.680 --> 02:15.280]  If I put the mask on.
[02:15.280 --> 02:18.120]  People could take it how they want to take it.
[02:18.120 --> 02:22.400]  It's just, you know, it's interesting if you look at a Michael
[02:22.400 --> 02:24.560]  Jordan or something, you would load up all these pictures
[02:24.560 --> 02:26.680]  and he's smiling and he's holding a basketball.
[02:26.680 --> 02:28.320]  He's jumping from the free throw line.
[02:28.320 --> 02:33.080]  And then you look at Phil Knight and you barely
[02:33.080 --> 02:35.360]  can see a picture of him and he's got his face covered.
[02:35.360 --> 02:37.640]  So I don't have to show my face.
[02:37.640 --> 02:39.840]  It's me.
[02:39.840 --> 02:41.920]  That's my that's my right.
[02:41.920 --> 02:42.520]  Absolutely.
[02:42.520 --> 02:46.520]  Well, that's that's that's what Hollywood wants to do, though,
[02:46.520 --> 02:48.760]  is to control everybody through images.
[02:48.760 --> 02:49.320]  Exactly.
[02:49.320 --> 02:51.520]  So I'm in control of my image now.
[02:51.520 --> 02:53.960]  It's no longer the people that froze my account.
[02:53.960 --> 02:55.920]  It's no longer the people that threaten me.
[02:55.920 --> 02:57.680]  We've got past the threats.
[02:57.680 --> 03:00.480]  They tried to throw me in jail for the truth.
[03:00.480 --> 03:04.280]  And, you know, people believe me.
[03:04.280 --> 03:09.080]  And people see that I wasn't crazy on what I was talking about.
[03:09.080 --> 03:12.040]  And they tried to write it off and they keep trying to write it off.
[03:12.040 --> 03:16.240]  But the truth is the more and more I'm faithful to Christ,
[03:16.240 --> 03:20.800]  the more and more he's going to keep unlocking the blessings.
[03:20.800 --> 03:22.960]  You know, he said it on my heart to build communities,
[03:22.960 --> 03:27.160]  to build farms, to build schools, to build the choir.
[03:27.160 --> 03:31.000]  And but when you do that, you have to be really obedient.
[03:31.000 --> 03:32.520]  Hey, guys, could you not talk in the back?
[03:32.520 --> 03:34.560]  I'm like really hypersensitive to sound.
[03:34.560 --> 03:37.880]  If you guys want to talk, just go into the room, please.
[03:37.880 --> 03:41.960]  But we have to be really obedient, you know, like one of the big topics
[03:41.960 --> 03:46.080]  right now is all of the pedophilia advertisement.
[03:46.480 --> 03:51.040]  And my take on that is, you know, there's there's one place in the Bible
[03:51.320 --> 03:53.920]  where it says God sees sin differently.
[03:54.160 --> 03:55.960]  And there's another place where it says,
[03:57.520 --> 03:59.040]  you know, let me get out my phone.
[03:59.040 --> 04:01.960]  I can like really pull up the exact thing it says in the Bible.
[04:01.960 --> 04:04.600]  The general gist and we'll get back to it after the five minute break
[04:04.600 --> 04:10.600]  is that you have to stay strict to everything and remove
[04:10.600 --> 04:13.520]  as much sin as possible in order to serve God.
[04:14.040 --> 04:20.480]  And when people look at pornography, when a grown man is looking at a grown woman,
[04:20.760 --> 04:24.760]  have sex on camera, you're still looking at someone's daughter.
[04:24.760 --> 04:31.880]  And you're looking at a lot of times someone that is the product of pedophilia.
[04:31.880 --> 04:36.640]  So people will engage in going to strip clubs or looking at pornography.
[04:36.840 --> 04:43.280]  But then they the moral compass is like, oh, my God, look at the pedophiles.
[04:43.560 --> 04:49.400]  But in a way, anybody who looks at pornography is a form of a of a pedophile.
[04:49.400 --> 04:52.160]  Also, let's let's bank it all in.
[04:52.360 --> 04:53.560]  It's very simple.
[04:53.560 --> 04:56.600]  We're not going to be talking about all this moral code and these standards
[04:56.600 --> 05:00.360]  right here is either Christ said so or Christ said no.
[05:00.360 --> 05:01.680]  Yeah, powerful information.
[05:01.680 --> 05:02.520]  I totally agree with you.
[05:02.520 --> 05:06.560]  Back in 60 seconds, join over 400 radio stations, Nick Foyntes and studio.
[05:06.760 --> 05:10.360]  Everybody tell everybody, you know, tune in now in full wars.com forward slash show.
[05:10.560 --> 05:11.840]  Let's break the internet today.
[05:11.840 --> 05:12.360]  Stay with us.
[05:13.480 --> 05:17.560]  Well, make no mistake this Thursday, December 1st, 2022 broadcast is beyond the
[05:17.560 --> 05:21.360]  twilight zone because truth is stranger than fiction.
[05:21.360 --> 05:25.840]  Yeah, maybe more controversial than Alex Jones or Donald Trump now.
[05:26.040 --> 05:28.960]  I mean, there's about the most controversial people in the world.
[05:29.160 --> 05:30.960]  And obviously the most attacked and demonized.
[05:30.960 --> 05:33.360]  He's here. Nick Foyntes is here as well.
[05:33.360 --> 05:34.160]  America first.
[05:34.160 --> 05:36.360]  We're going to have Ali Alexander on Owen Shroyer.
[05:36.560 --> 05:39.600]  This thing's going to go for the next three plus hours as long as long as
[05:39.600 --> 05:40.760]  he wants to go.
[05:40.760 --> 05:45.000]  Some stations don't carry the first five, but you just dropped some bombs that
[05:45.000 --> 05:46.560]  I totally agree that are huge.
[05:46.560 --> 05:48.800]  Yeah, so recap that and continue on, sir.
[05:48.800 --> 05:51.200]  OK, so I look this up. It's about sin.
[05:51.400 --> 05:56.400]  That's what we're going to talk about sin today and how we need to do everything
[05:56.600 --> 06:03.000]  that we can. We're imperfect, but to flee to free ourselves of sin and repent
[06:03.200 --> 06:07.800]  for sin throughout the day at night and in the morning.
[06:07.800 --> 06:12.600]  So right here, the Bible says right here, I know I'm going to do a Corinthians
[06:12.800 --> 06:16.600]  to like Trump, you know, new, new Christian kind of reading of this.
[06:16.600 --> 06:23.600]  So bear with me. I love Jesus, but I'm not the most experienced Christian.
[06:23.800 --> 06:29.600]  And it says the book of Proverbs 6, 16 dash 19.
[06:29.800 --> 06:31.000]  I'm sure that's the wrong way to read it.
[06:31.200 --> 06:32.400]  It's OK. You got the floor.
[06:32.600 --> 06:37.600]  OK, identify seven things that God hates, although there are not any
[06:37.800 --> 06:39.400]  punishments prescribed for those.
[06:39.600 --> 06:45.000]  Scripture clearly indicates that God does view sin differently and that he
[06:45.000 --> 06:51.800]  prescribed he he proscribed he proscribed a different punishment for sin,
[06:52.000 --> 06:54.800]  depending upon its severity. Now, watch this one.
[06:55.000 --> 07:01.000]  It says where the phrase all sins are equal in the eyes of God comes from.
[07:01.200 --> 07:05.400]  As far as I can tell, the most common argument for the belief that all sins
[07:05.600 --> 07:10.000]  are created equal comes from the book of James 2, 10.
[07:10.000 --> 07:16.000]  It states for whoever keeps the whole law and yet stumbles at just one point
[07:16.200 --> 07:19.400]  is guilty of breaking all of it.
[07:19.600 --> 07:24.400]  Now, I'm a big fan of Steve Jobs, even though he did create Apple.
[07:24.600 --> 07:29.000]  And if you notice, the logo of Apple is actually the fall of men, the forbidden
[07:29.200 --> 07:31.400]  fruit, the Bitten Apple, right?
[07:31.600 --> 07:36.800]  So we can get into, you know, what what social media has done to families and all
[07:36.800 --> 07:39.800]  that we can we got three hours, right?
[07:40.000 --> 07:47.400]  But I like the way our our incredible American inventors like Disney and Hughes
[07:47.600 --> 07:52.400]  and Steve Jobs, the way they ran their companies and invented things that changed
[07:52.600 --> 08:00.400]  the world and the way Steve ran his company was his version of a sinless office.
[08:00.600 --> 08:05.800]  Everyone had to be so meticulous to be able to take what was 10 things at one
[08:05.800 --> 08:08.200]  time and make and put it in the palm of our hand.
[08:08.400 --> 08:09.600]  Think about an iPhone.
[08:09.800 --> 08:11.000]  It's your fax.
[08:11.200 --> 08:13.000]  It's your email.
[08:13.200 --> 08:13.800]  It's your phone.
[08:14.000 --> 08:15.000]  And now it's a thousand things.
[08:15.200 --> 08:16.400]  Yeah, it's your camera.
[08:16.600 --> 08:18.800]  It's your your flashlight.
[08:19.000 --> 08:20.400]  Yeah, it's like a thousand things in it.
[08:20.600 --> 08:25.200]  But he had to have his army go in with a sinless approach.
[08:25.400 --> 08:29.600]  And right now, you know, Gideon called God called Gideon to make an army.
[08:29.800 --> 08:33.400]  The three hundred, the real three hundred, not the movie version that we're all
[08:33.400 --> 08:38.000]  focused on serving this mission at the time.
[08:38.200 --> 08:43.200]  So we have a mission right now to save our families from social media,
[08:43.400 --> 08:48.400]  from Zionist control and bring Jesus Christ back to the forefront.
[08:48.600 --> 08:50.400]  And we're protected.
[08:50.600 --> 08:51.800]  You know, I don't have security.
[08:52.000 --> 08:53.600]  My security is the angels.
[08:53.800 --> 08:58.000]  My security is the fact that I didn't load up pornography last night.
[08:58.200 --> 09:01.200]  And I said this addiction is going to have to flee from me.
[09:01.200 --> 09:05.000]  You know, this addiction, since I was five years old, that is destroyed.
[09:05.200 --> 09:08.600]  My my mom and my dad's family that destroyed my family.
[09:08.800 --> 09:13.400]  Like when I take full accountability for the destruction, like of my marriage,
[09:13.600 --> 09:17.600]  when I point at the liberals and say, you took my wife from me, you know,
[09:17.600 --> 09:18.800]  it took my wife from me.
[09:18.800 --> 09:21.200]  The fact that I was married to this beautiful person.
[09:21.400 --> 09:23.000]  But I felt like it wasn't enough.
[09:23.200 --> 09:26.200]  I felt like I still needed to look at pornography in some way.
[09:26.200 --> 09:29.600]  I'd say to her, we'll stop making these images, stop breaking the Internet.
[09:29.600 --> 09:34.400]  You know, that original term comes from my ex-wife actually having a nude photo
[09:34.600 --> 09:38.400]  that I didn't know about that someone used her and put it on a magazine.
[09:38.600 --> 09:41.600]  But there's somewhere where she's like, well, if my husband is looking at this,
[09:41.800 --> 09:44.800]  I still want to be like the girls that are doing this.
[09:45.000 --> 09:48.800]  And this becomes people reliving the traumas, pushing the addiction.
[09:49.000 --> 09:51.800]  The pornography industry is not even a big industry.
[09:52.000 --> 09:54.600]  It's like less than ten billion dollars, right?
[09:54.800 --> 09:57.200]  So that means that it's not used for prosperity.
[09:57.400 --> 09:58.600]  It's used for disparity.
[09:58.600 --> 10:02.800]  By the way, George Arwell wrote 1984 and he'd been the number two guy in PsyOps
[10:03.000 --> 10:06.200]  for OSS and ran propaganda for the British government.
[10:06.400 --> 10:09.200]  But he found out that he didn't like Hitler, but he found out that they were
[10:09.200 --> 10:10.800]  actually manipulated and created him.
[10:11.000 --> 10:12.000]  He didn't like the communists.
[10:12.000 --> 10:12.800]  He'd been one of them.
[10:12.800 --> 10:16.400]  He found out the British intelligence had had actually created that and done that.
[10:16.600 --> 10:20.400]  And he explained in 1984 that pornography is something to destroy families,
[10:20.600 --> 10:23.200]  destroy our souls and get us to commit.
[10:23.400 --> 10:26.200]  He wasn't even a big Christian, but but get us to debase ourselves
[10:26.400 --> 10:27.600]  so that they can control us.
[10:27.600 --> 10:31.800]  Absolutely. You got alcohol and pornography are these legal drugs.
[10:32.000 --> 10:33.200]  Alcohol is a spirit.
[10:33.400 --> 10:36.800]  I'm going to we're going to go into the spirit of Al Koolay.
[10:37.000 --> 10:39.600]  Well, let's just go to the facts today.
[10:39.800 --> 10:43.000]  Let's not just even do opinions and I love how you brought that in because now
[10:43.200 --> 10:46.800]  you got God's warriors coming together right now.
[10:47.000 --> 10:50.400]  OK, Nick Fuentes doesn't have a Twitter account.
[10:50.600 --> 10:52.200]  Alex Jones doesn't have a Twitter account.
[10:52.400 --> 10:56.600]  But hey, guess what, Elon, I got a Twitter and today I'm going to have Nick
[10:56.600 --> 11:00.000]  and Alex tweet from my account.
[11:00.200 --> 11:03.000]  You like that aria, Manuel?
[11:05.000 --> 11:06.400]  I'm all about free speech.
[11:06.600 --> 11:08.600]  And the greatest threat is those that want to silence us.
[11:08.600 --> 11:10.000]  Why comes First Amendment?
[11:10.200 --> 11:13.000]  Anybody trying to take your speech is the enemy.
[11:13.200 --> 11:14.600]  Absolutely.
[11:14.800 --> 11:20.000]  Well, and it's I do find it a little bit hypocritical that Elon Musk said
[11:20.200 --> 11:23.400]  that he was purchasing Twitter to create a free speech environment.
[11:23.400 --> 11:27.400]  He says that free speech is the thing that's going to save the West and our
[11:27.600 --> 11:33.000]  civilization, but yet he has taken exception to you, Alex, for some
[11:33.200 --> 11:37.600]  seemingly specific reason, maybe personal to him, but definitely not principled.
[11:37.800 --> 11:42.000]  So I think it's time that the people finally demand a real victory here.
[11:42.200 --> 11:46.600]  We've been at war essentially since Trump came down the golden escalator seven
[11:46.800 --> 11:50.800]  years ago to put America first, to put Christ first, to free the Internet
[11:51.000 --> 11:52.600]  and do these kinds of things.
[11:52.600 --> 11:54.200]  And here we are all this time later.
[11:54.200 --> 11:58.200]  And it seems like we've stagnated or in some ways maybe even taken a step back.
[11:58.400 --> 12:00.200]  So it's time that people demand.
[12:00.400 --> 12:01.400]  We want Christ first.
[12:01.600 --> 12:02.800]  We want America first.
[12:03.000 --> 12:05.000]  We want Alex Jones back on Twitter.
[12:05.200 --> 12:07.400]  These are just and reasonable demands.
[12:07.600 --> 12:09.400]  I see it like this and I want you to be able to elaborate on this.
[12:09.400 --> 12:12.400]  But I don't want you to get his run because he's got so much to say.
[12:12.400 --> 12:13.200]  And he always gets cut off.
[12:13.200 --> 12:16.200]  But I'm going to try to shut up as much, but he we can go four or five hours
[12:16.200 --> 12:18.200]  if you want the main shows actually four hours long.
[12:18.200 --> 12:19.200]  I was just hoping for three.
