[00:00:00.362 --> 00:00:06.709]  November 22nd, 2019.
[00:00:06.709 --> 00:00:07.430]  Get ready.
[00:00:22.332 --> 00:00:24.553]  America is alive and fighting back!
[00:00:24.553 --> 00:00:27.034]  America will never back down!
[00:00:27.034 --> 00:00:28.835]  The answer to 1984 is 1776!
[00:00:28.835 --> 00:00:35.017]  If the Irish live, then if the Irish is fighting back, the answer to 1984 is 1776!
[00:00:53.999 --> 00:00:56.278]  Yeah.
[00:01:03.887 --> 00:01:08.951]  Hillary Clinton is openly calling for censorship of all patriots and nationalists!
[00:01:08.951 --> 00:01:11.213]  Hillary Clinton is a criminal!
[00:01:11.213 --> 00:01:16.077]  We failed to sail our nation out to the Cyclones!
[00:01:16.077 --> 00:01:19.100]  Hillary Clinton is a criminal!
[00:01:19.100 --> 00:01:24.064]  Hillary Clinton will never silence the American people!
[00:01:24.064 --> 00:01:26.366]  America is awake!
[00:01:26.366 --> 00:01:29.528]  America knows what's happening!
[00:01:29.528 --> 00:01:32.050]  And Infowars.com is exposing it!
[00:01:35.014 --> 00:01:35.414]  America is back!
[00:01:35.414 --> 00:01:35.894]  America is back!
[00:01:35.894 --> 00:01:36.294]  America is back!
[00:01:36.294 --> 00:01:36.794]  America is back!
[00:01:36.794 --> 00:01:37.254]  America is back!
[00:01:37.254 --> 00:01:37.595]  America is back!
[00:01:37.595 --> 00:01:38.075]  America is back!
[00:01:38.075 --> 00:01:38.575]  America is back!
[00:01:38.575 --> 00:01:39.055]  America is back!
[00:01:39.055 --> 00:01:39.455]  America is back!
[00:01:39.455 --> 00:01:39.795]  America is back!
[00:01:39.795 --> 00:01:40.175]  America is back!
[00:01:40.175 --> 00:01:40.615]  America is back!
[00:01:40.615 --> 00:01:41.115]  America is back!
[00:01:41.115 --> 00:01:41.515]  America is back!
[00:01:41.515 --> 00:01:41.896]  America is back!
[00:01:41.896 --> 00:01:42.216]  America is back!
[00:01:42.216 --> 00:01:42.576]  America is back!
[00:01:42.576 --> 00:01:43.056]  America is back!
[00:01:43.056 --> 00:01:43.576]  America is back!
[00:01:43.576 --> 00:01:43.916]  America is back!
[00:01:43.916 --> 00:01:44.336]  America is back!
[00:01:44.336 --> 00:01:44.696]  America is back!
[00:01:44.696 --> 00:01:45.056]  America is back!
[00:01:45.056 --> 00:01:45.376]  America is back!
[00:01:45.376 --> 00:01:45.736]  America is back!
[00:01:45.736 --> 00:01:46.056]  America is back!
[00:01:46.056 --> 00:01:46.477]  America is back!
[00:01:46.477 --> 00:01:46.797]  America is back!
[00:01:46.797 --> 00:01:47.117]  America is back!
[00:01:47.117 --> 00:01:47.537]  America is back!
[00:01:47.537 --> 00:01:47.957]  America is back!
[00:01:47.957 --> 00:01:48.357]  America is back!
[00:01:48.357 --> 00:01:48.757]  America is back!
[00:01:48.757 --> 00:01:49.197]  America is back!
[00:01:49.197 --> 00:01:49.717]  America is back!
[00:01:49.717 --> 00:01:50.077]  America is back!
[00:01:50.077 --> 00:01:50.477]  America is back!
[00:01:50.477 --> 00:01:50.917]  America is back!
[00:01:50.917 --> 00:01:51.378]  America is back!
[00:01:51.378 --> 00:01:51.738]  America is back!
[00:01:51.738 --> 00:01:52.078]  America is back!
[00:01:52.078 --> 00:01:52.578]  America is back!
[00:01:52.578 --> 00:01:52.978]  America is back!
[00:01:52.978 --> 00:01:53.378]  America is back!
[00:01:53.378 --> 00:01:53.698]  America is back!
[00:01:53.698 --> 00:01:54.138]  America is back!
[00:01:54.138 --> 00:01:54.558]  America is back!
[00:01:54.558 --> 00:01:54.958]  America is back!
[00:01:54.958 --> 00:01:55.398]  America is back!
[00:01:55.398 --> 00:01:55.739]  America is back!
[00:01:55.739 --> 00:01:56.139]  America is back!
[00:01:56.139 --> 00:01:56.499]  America is back!
[00:01:56.499 --> 00:01:56.839]  America is back!
[00:01:56.839 --> 00:01:57.199]  America is back!
[00:01:57.199 --> 00:01:57.599]  America is back!
[00:02:05.570 --> 00:02:14.358]  George Giles Hillary Clinton is a war criminal and is involved in child sex trafficking on a daily basis.
[00:02:15.743 --> 00:02:19.704]  Hillary Clinton is involved with Jeffrey Epstein.
[00:02:19.704 --> 00:02:23.505]  Hillary Clinton flew on Jeffrey Epstein's pedophile aircraft.
[00:02:23.505 --> 00:02:33.367]  Democrats are authoritarian, anti-American criminals that have failed to silence our speech.
[00:02:33.367 --> 00:02:39.649]  Big Tech and the Chai Kams and Hillary have failed to silence America's speech.
[00:02:44.207 --> 00:02:45.067]  America is back!
[00:02:45.067 --> 00:02:45.828]  America is back!
[00:02:45.828 --> 00:02:47.028]  America is back!
[00:02:47.028 --> 00:02:48.289]  America is back!
[00:02:48.289 --> 00:02:50.890]  Hillary Clinton worked with the child molester Jeffrey Epstein!
[00:02:50.890 --> 00:02:52.731]  Hillary Clinton wants to sexualize our children!
[00:02:52.731 --> 00:02:53.211]  Hillary Clinton!
[00:03:03.892 --> 00:03:09.576]  Hillary Clinton, who can't even walk, are going down.
[00:03:09.576 --> 00:03:11.598]  Hillary Clinton is a failure.
[00:03:11.598 --> 00:03:14.000]  Your Democratic Party is collapsing.
[00:03:14.000 --> 00:03:17.483]  Every city you control is collapsing into hell.
[00:03:17.483 --> 00:03:21.446]  Everyone is running from the Democrats and their mental illness.
[00:03:22.026 --> 00:03:25.849]  The Democrats are KKK!
[00:03:25.849 --> 00:03:28.471]  The Democrats are KKK!
[00:03:28.471 --> 00:03:31.153]  The Democrats are KKK!
[00:03:31.153 --> 00:03:33.594]  The Democrats are KKK!
[00:03:33.594 --> 00:03:36.156]  The Democrats are KKK!
[00:03:47.230 --> 00:03:49.831]  Down with the KKK!
[00:03:49.831 --> 00:03:56.994]  Down with the KKK and Hillary!
[00:04:18.158 --> 00:04:23.632]  Our very existence stands in the way of the globalists.
[00:04:23.632 --> 00:04:25.797]  Our very existence and our love of God.
[00:04:27.219 --> 00:04:33.543]  ...is the oxygen through which the universe and freedom thrives.
[00:04:33.543 --> 00:04:39.908]  Consciousness, my friends, the globalists are seeking to rob us of it, but we will not allow them to do that.
[00:04:39.908 --> 00:04:46.612]  We are the light in the dark of the night, and their artificial system is destined to fail, and is failing.
[00:04:46.612 --> 00:04:48.794]  When we come back on this live Friday transmission,
[00:04:49.534 --> 00:04:56.039]  Fiona Hill committed massive perjury in Congress, and we have her by his short hairs.
[00:04:56.039 --> 00:04:56.759]  Stay with us.
[00:04:56.759 --> 00:04:57.220]  We'll be back.
[00:05:01.397 --> 00:05:07.261]  Beto O'Rourke came out dozens of times and said, we're going to confiscate all your semi-automatic rifles.
[00:05:07.261 --> 00:05:13.906]  And he got all the other Democrats on the stage, nine others, to agree and said that he was a hero!
[00:05:13.906 --> 00:05:15.027]  Think about that.
[00:05:15.027 --> 00:05:18.669]  Now, those Democrats have taken all the guns in the cities they control.
[00:05:18.669 --> 00:05:27.775]  Their blue cities are literal crap holes covered with needles and with massive drug dealing and incredible levels of violent crime.
[00:05:27.775 --> 00:05:29.497]  They know what they're doing.
[00:05:30.217 --> 00:05:38.201]  And now the Supreme Court's come out and ruled that gun manufacturers can be sued into oblivion for what criminals do using their firearms.
[00:05:38.201 --> 00:05:53.648]  My goodness, ladies and gentlemen, this country's under such incredible attack, but more and more towns and cities are saying they're sanctuaries for the Second Amendment, and they're going to follow the original Bill of Rights and Constitution, and they're not going to help in the confiscation of guns.
[00:05:53.648 --> 00:05:56.530]  So you see, a lot of these cities ignore illegal aliens.
[00:05:56.530 --> 00:05:58.631]  Well, we could ignore all your unconstitutional laws.
[00:06:23.789 --> 00:06:30.854]  Ladies and gentlemen, it is Friday, November 22nd, 2019.
[00:06:30.854 --> 00:06:37.418]  Only 346 days left to the 2020 elections.
[00:06:37.418 --> 00:06:49.646]  No amount of beautiful Italian, Western, good, the bad, and the ugly music can even give it the epicness of where we are on this planet today.
[00:06:49.646 --> 00:06:51.928]  But it does a pretty good job of attempting it.
[00:06:53.473 --> 00:07:01.757]  But the majesty of reality is even greater than the best art humans have to offer.
[00:07:01.757 --> 00:07:06.619]  Ladies and gentlemen, this is quite a broadcast today.
[00:07:06.619 --> 00:07:17.443]  The illustrative pieces of information we have are like planets aligning.
[00:07:17.443 --> 00:07:23.046]  Fiona Hill, also known as Filbert Hill,
[00:07:26.380 --> 00:07:31.464]  And also known as the villain in the Shrek franchise.
[00:07:31.464 --> 00:07:38.610]  I'm having a little fun here on this Friday.
[00:07:38.610 --> 00:07:42.693]  For the media that's going to fact-check that, I'm not saying she's actually the character from Shrek.
[00:07:42.693 --> 00:07:43.874]  That's called a joke.
[00:07:43.874 --> 00:07:45.515]  They don't fact-check jokes.
[00:07:45.515 --> 00:07:50.679]  But everything else I'm going to cover from that point on, no, I don't believe that she's a tranny like Michelle Obama.
[00:07:54.358 --> 00:08:03.664]  No, I don't believe that Philbert Hill is a character from Shrek.
[00:08:03.664 --> 00:08:23.075]  But what she is, is a liar that perjured herself and her Joan of Arc haircut to the entire world yesterday while she was lying about me and you, the American people.
[00:08:23.075 --> 00:08:23.396]  Oh, and I...
[00:08:24.443 --> 00:08:27.684]  Forgot somebody.
[00:08:27.684 --> 00:08:39.750]  I forgot somebody from these arrogant, sniveling, bureaucrat class paid for and put in power by Soros and other globalists.
[00:08:39.750 --> 00:08:48.333]  She's lying about poor Roger Stone, who's done nothing to get Trump elected, nothing wrong, only good on that front, on that account.
