[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[00:31.000 --> 00:36.000]  It's a fitting song to come in with, a trooper, an Iron Maiden.
[00:38.000 --> 00:40.000]  You'll take my life, but I'll take yours too!
[00:41.000 --> 00:43.000]  Your fire musket battle will run you through.
[00:44.000 --> 00:49.000]  And when you're waiting for the next attack, you better stand, there's no turning back.
[00:49.000 --> 00:56.000]  The bugle sounds, the charge begins, but on this battlefield, no one wins.
[01:00.000 --> 01:08.000]  Certain death. Yes, it's certain death if they bring 5 million radical jihadis into Europe, 80% of them military age men.
[01:09.000 --> 01:13.000]  It's certain death to bring hundreds of thousands in, they've been playing down the numbers, it's in the hundreds of thousands.
[01:13.000 --> 01:20.000]  It's in the tens of thousands here in Austin, Texas, we've confirmed in the last year of quote Syrian refugees.
[01:21.000 --> 01:31.000]  That's radical jihadi invaders who went into Syria, got their butt kicked and they made a deal with Turkey to move into Europe with Merkel and the head of the EU Migrancy Program,
[01:32.000 --> 01:35.000]  who of course has been meeting at the Bilderberg meeting in the last week, Peter Sutherland.
[01:35.000 --> 01:43.000]  We have reached total absolute information overload today with the amount of information we're going to be breaking down.
[01:44.000 --> 01:56.000]  Obviously we've got 55 people dead now and more than 60 or so injured in the Orlando nightclub that was reportedly a gay nightclub.
[01:56.000 --> 02:04.000]  I have been harping on the fact that China executes gays, that 11 Muslim countries execute gays.
[02:05.000 --> 02:14.000]  And all I hear is carping and screaming and yelling from the LGBT so-called community, an offshoot of the Democratic Party,
[02:15.000 --> 02:22.000]  that that's a lie and that I am being homophobic or Islamophobic and that the poor little jihadis aren't targeting you.
[02:22.000 --> 02:28.000]  That is how totally over the top insane all of this has gotten.
[02:29.000 --> 02:33.000]  This morning I got up and ISIS had already officially claimed responsibility.
[02:34.000 --> 02:40.000]  This gentleman was openly claiming responsibility and he had been watched for two years.
[02:41.000 --> 02:47.000]  They knew he was about to do it but were ordered to stand down just like San Bernardino and it took until later in the afternoon,
[02:47.000 --> 02:54.000]  eight, nine hours after everybody got up and knew about this horror for the media to go, okay, it's Islamic terror.
[02:55.000 --> 03:03.000]  But Obama would say that he said it's an attack on us all because an attack on a gay nightclub is the heart of everything so it's an attack on us all.
[03:04.000 --> 03:07.000]  And my issue is I hate any group of people being attacked, period.
[03:07.000 --> 03:16.000]  But now we're going to hear the grandstanding on the LGBT training of the kids in school and America did this and this is part of the hate.
[03:17.000 --> 03:22.000]  This guy killed more homosexuals than every gay basher has done in the U.S. the last 50 plus years.
