[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[00:00:33.563 --> 00:00:43.802]  Oh, I'll pick you up If you come back to America Just hit me up
[00:00:46.809 --> 00:00:50.071]  Ladies and gentlemen, it is September 23rd, 2019.
[00:00:50.071 --> 00:01:02.800]  I'm your Alex Jones host and we are here attempting to cover the news and chronicle what's unfolding and what we're about to witness here.
[00:01:17.129 --> 00:01:22.436]  But the news we're going to be covering is really staggering.
[00:01:22.436 --> 00:01:29.685]  But it's not staggering when you realize that these people have been preying on us for a long time and have a plan.
[00:01:29.685 --> 00:01:30.266]  And that they are.
[00:01:31.730 --> 00:01:32.710]  Ready to carry it out.
[00:01:32.710 --> 00:01:35.051]  So we are here on this live Monday edition.
[00:01:35.051 --> 00:01:36.991]  Thank you so much for joining us.
[00:01:36.991 --> 00:01:45.133]  I'm going to air a Paul Harvey report that we put some images to that's from like the 1970s and 1980s.
[00:01:45.133 --> 00:01:46.853]  And then we are going to come back.
[00:01:46.853 --> 00:01:53.595]  Children as young as six are being given compulsory self-touching lessons by the pedophile government.
[00:01:53.595 --> 00:01:54.995]  That's all coming up at first this.
[00:01:58.115 --> 00:02:00.196]  Hello, Americans, I'm Paul Harvey.
[00:02:00.196 --> 00:02:02.678]  If I were the devil.
[00:02:02.678 --> 00:02:06.840]  If I were the prince of darkness, I'd want to engulf the whole world in darkness.
[00:02:06.840 --> 00:02:14.625]  And I'd have a third of its real estate and four-fifths of its population, but I wouldn't be happy until I had seized the ripest apple on the tree.
[00:02:14.625 --> 00:02:14.825]  Thee.
[00:02:16.329 --> 00:02:19.431]  So I'd set about however necessary to take over the United States.
[00:02:19.431 --> 00:02:23.274]  President Kennedy has been seriously wounded by this shooting.
[00:02:23.274 --> 00:02:24.716]  I'd subvert the churches first.
[00:02:24.716 --> 00:02:26.857]  I'd begin with a campaign of whispers.
[00:02:26.857 --> 00:02:30.540]  With the wisdom of a serpent, I would whisper to you as I whispered to Eve.
[00:02:30.540 --> 00:02:31.701]  Do as you please.
[00:02:31.701 --> 00:02:34.263]  To the young, I would whisper that the Bible is a myth.
[00:02:34.263 --> 00:02:38.146]  I would convince them that man created God instead of the other way around.
[00:02:38.146 --> 00:02:42.209]  I would confide that what's bad is good and what's good is square.
[00:02:42.209 --> 00:02:44.411]  And the old, I would teach to pray after me.
[00:02:45.351 --> 00:02:48.575]  Our father, which art in Washington.
[00:02:48.575 --> 00:02:49.796]  And then I'd get organized.
[00:02:49.796 --> 00:02:55.842]  I'd educate authors in how to make lurid literature exciting so that anything else would appear dull and uninteresting.
[00:02:55.842 --> 00:02:59.266]  I'd threaten TV with dirtier movies and vice versa.
[00:02:59.266 --> 00:03:01.028]  I'd peddle narcotics to whom I could.
[00:03:01.028 --> 00:03:04.331]  I'd sell alcohol to ladies and gentlemen of distinction.
[00:03:04.331 --> 00:03:06.173]  I'd tranquilize the rest with pills.
[00:03:07.835 --> 00:03:18.365]  If I were the devil, I'd soon have families at war with themselves, churches at war with themselves, and nations at war with themselves, until each in its turn was consumed.
[00:03:18.365 --> 00:03:23.751]  And with promises of higher ratings, I'd have mesmerizing media fanning the flames.
[00:03:24.151 --> 00:03:27.112]  The President of the United States is racist.
[00:03:27.112 --> 00:03:34.033]  If I were the devil, I would encourage schools to refine young intellects, but neglect the disciplined emotions just to let those run wild.
[00:03:34.033 --> 00:03:39.355]  Within a decade, I'd have prisons overflowing, I'd have judges promoting pornography.
[00:03:39.355 --> 00:03:45.116]  Soon I could evict God from the courthouse, then from the schoolhouse, and then from the houses of commoners.
[00:03:45.116 --> 00:03:48.217]  And in his own churches, I would substitute psychology for religion.
[00:03:50.231 --> 00:03:55.479]  I would lure priests and pastors into misusing boys and girls and church money.
[00:03:55.479 --> 00:04:02.790]  If I were the devil, I'd take from those who have and give to those who wanted until I had killed the incentive of the ambitious.
[00:04:04.484 --> 00:04:06.304]  I would caution against extremes.
[00:04:06.304 --> 00:04:07.285]  I'm here to warn people!
[00:04:07.285 --> 00:04:08.865]  You keep telling me to shut up!
[00:04:08.865 --> 00:04:09.945]  This isn't a game!
[00:04:09.945 --> 00:04:21.508]  In hard work, in patriotism, in moral conduct, I would convince the young that marriage is old-fashioned, that swinging is more fun, that what you see on TV is the way to be.
[00:04:21.508 --> 00:04:29.989]  And thus I could undress you in public, and I could lure you into bed with diseases for which there is no cure.
[00:04:29.989 --> 00:04:33.110]  In other words, if I were the devil, I'd just keep right on doing what he's doing.
[00:04:52.443 --> 00:04:54.957]  Now you know... the rest of the story.
[00:04:58.624 --> 00:05:02.986]  Banned.video is the answer to censorship.
[00:05:02.986 --> 00:05:18.514]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:05:18.514 --> 00:05:20.215]  We've launched it, ladies and gentlemen.
[00:05:20.215 --> 00:05:21.576]  It's now live.
[00:05:21.576 --> 00:05:23.517]  Banned.video.
[00:05:23.517 --> 00:05:27.739]  Banned.video isn't just going to be a home for Alex Jones or David
[00:05:27.779 --> 00:05:28.359]  We're good to go.
[00:05:57.799 --> 00:06:01.761]  Let's do it!
[00:06:37.103 --> 00:06:41.527]  Ladies and gentlemen, it is September 23rd, 2019 on this Monday edition.
[00:06:41.527 --> 00:06:43.730]  I'm your host, Alex Jones.
[00:06:43.730 --> 00:06:53.779]  We have Andrew Pollack, the father that lost one of his children at the tragic events last February 14th in Florida, where the police stood down
[00:06:54.620 --> 00:06:56.380]  And let the massacre take place.
[00:06:56.380 --> 00:07:01.302]  Well, he said that Bloomberg and the anti-gunners don't speak for him, Andrew Pollack.
[00:07:01.302 --> 00:07:07.223]  They have a lot of courage, joining us at the bottom of the hour.
[00:07:07.223 --> 00:07:15.785]  Now, I remember listening to Rush Limbaugh when I was just one year out of high school.
[00:07:15.785 --> 00:07:20.586]  And I remember listening to him when I was at work during the breaks.
[00:07:21.704 --> 00:07:27.106]  And I remember going and looking up the things he was talking about and finding out they were true and being amazed.
