[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:45.000]  The reason these broadcasts get more and more hardcore is because the news is getting crazier. Events on this planet are accelerating.
[00:45.000 --> 01:06.000]  The world government has openly been announced. The large six megabanks that control most of the planet's wealth and natural resources and populations through derivatives and fractional reserve banking fraud have maneuvered themselves into almost complete control over the globe.
[01:06.000 --> 01:17.000]  They are mopping up third world countries in Africa, Latin America, Eastern Europe and areas of Asia and of course the Middle East. They're mopping them up.
[01:17.000 --> 01:28.000]  The global government's stratagem to take over countries is fund rebels that then attack the government, whether that government's good, bad or indifferent.
[01:28.000 --> 01:47.000]  And then call it a humanitarian mission to send in special forces, arms, air bombardments. And then the goal is wreck the country and basically have no central government so that the West can come in with mercenaries and steal the entire resources of the nation.
[01:47.000 --> 01:59.000]  I have the New York Times here in Uganda last year going, oh, isn't it too bad that under UN rules, private mercenary groups went in and killed entire villages for their property.
[01:59.000 --> 02:18.000]  But it is for the earth. But do you see groups like Coney 2012 and Bill Gates and Angelina Jolie, the reanimated corpse of tyranny? Do you see them running around getting upset about that?
[02:18.000 --> 02:30.000]  No. They cloak their mass murder. They cloak their eugenics. They cloak their extermination worldwide in humanitarianism.
[02:30.000 --> 02:46.000]  And I already knew all this, but since it was pointed out to me five, six days ago, now it's like a hundred million views, this Coney 2012 documentary. And now it's collapsed and blown up in their face as it comes out that the president of Uganda has been involved, killing millions that he is back by the
[02:46.000 --> 03:00.000]  West that Joseph Coney hasn't been seen in five years and only had 500 fighters and isn't nobody, kind of like a Jesse James type. And then it all is a pretext funded by the State Department to attack Africa with Africa.
[03:00.000 --> 03:12.000]  And the Pentagon announcing this new jurisdiction where it's going to attack and drone and kill whoever it wants. And the Pentagon doesn't work for us. It works for the big megabanks, just like NATO does.
[03:12.000 --> 03:23.000]  And so Angelina Jolie has come out and said, arrest the head of Lord's resistance army. Maybe Joseph Coney's been dead for five years. Like some said, they've got him frozen.
[03:23.000 --> 03:31.000]  They're going to roll him out of some new bin Laden thing. I don't know. But it made me go back and revisit her. What a monster she is.
