[00:00:00.269 --> 00:00:01.710]  Okay, last time.
[00:00:01.710 --> 00:00:03.991]  This is cell phone radiation.
[00:00:03.991 --> 00:00:07.893]  This is your brain on cell phone and wireless radiation.
[00:00:07.893 --> 00:00:09.714]  Any questions?
[00:00:09.714 --> 00:00:16.297]  This message is brought to you by Infowars.com in the hopes that if you're gonna fry your brain and body with radiation, that's your business.
[00:00:16.297 --> 00:00:18.358]  And for God's sake, let's protect our children.
[00:00:21.946 --> 00:00:23.508]  Waging war on corruption.
[00:00:45.140 --> 00:00:49.724]  Crashing the Lies and Disinformation, I am your host Alex Jones.
[00:00:49.724 --> 00:00:54.048]  We're going to be live here for the next two hours as we are every Sunday 4 to 6 p.m.
[00:00:54.048 --> 00:00:54.908]  Central.
[00:00:54.908 --> 00:00:56.110]  Again, thank you for joining us.
[00:00:56.110 --> 00:01:04.136]  Okay, let's jump right into the giant field of information that we have to go over.
[00:01:04.136 --> 00:01:06.799]  Number one, as I've been telling you for two years,
[00:01:08.356 --> 00:01:21.861]  The Democratic Party plan announced by Hillary, just months before she lost to Donald Trump, was to demonize Infowars, misrepresent what we've said, because we're seen as the tip of the spear of Americana and its resurgence.
[00:01:21.861 --> 00:01:36.646]  Then use that demonization to label all other conservatives, libertarians, nationalists, Christians, you name it, and de-platform everyone from Facebook, Twitter, YouTube, you name it, which are about 80% of the worldwide web traffic.
[00:01:38.510 --> 00:01:49.082]  CNN announced on Thursday that they had met with other so-called media companies and other so-called journalists and professors of journalism, and we're asking Facebook why we weren't completely banned.
[00:01:49.082 --> 00:01:50.744]  And I'm going to go over all these quotes coming up.
[00:01:51.897 --> 00:02:00.279]  Facebook then said, look, we already restrict 80% of conservatives' posts.
[00:02:00.279 --> 00:02:02.879]  That's the number I told you previously, because we can actually see it on a graph.
[00:02:02.879 --> 00:02:05.040]  It's not just me, it's everybody.
[00:02:05.040 --> 00:02:12.941]  Diamonds and Silk, it's 97%, because they're so lovable, they're so funny, and they're not negative.
[00:02:12.941 --> 00:02:17.002]  They're even more effective than I am, so they're 97% banned.
[00:02:17.002 --> 00:02:20.123]  They had congressional hearings two months ago on it.
[00:02:21.494 --> 00:02:36.005]  So, you've got CNN, the kings of fake media, kicking all this off Thursday, covering it, and then you had the Washington Post, the New York Times, New Yorker Magazine, all of them weigh in and say, yes, totally ban
[00:02:37.771 --> 00:02:41.074]  Anyone that is a conspiracy theorist, that's anyone that says they're liars.
[00:02:41.074 --> 00:02:44.536]  You know, like we said, that they give them the debate questions at CNN to Hillary beforehand.
[00:02:44.536 --> 00:02:48.299]  Of course, it came out in WikiLeaks, but you can see she'd been given them beforehand.
[00:02:48.299 --> 00:02:52.062]  It was all studied and ready, and she instantly answered with a can-prepared statement.
[00:02:52.062 --> 00:02:53.363]  You can see when something's rigged.
[00:02:53.363 --> 00:02:55.404]  Obama didn't raise a fool.
[00:02:55.404 --> 00:02:57.626]  Just like I told you, some of her town halls were fake.
[00:02:57.626 --> 00:03:00.288]  I know 80 millimeter when I see it.
[00:03:00.288 --> 00:03:01.549]  I know fake when I see it.
[00:03:02.717 --> 00:03:06.658]  You know a Hollywood movie because of the production quality.
[00:03:06.658 --> 00:03:09.779]  It's so real it isn't real.
[00:03:09.779 --> 00:03:13.380]  Months later, it came out indeed it was totally fake with hired actors.
[00:03:13.380 --> 00:03:17.161]  So they're mad that we're covering this.
[00:03:17.161 --> 00:03:19.681]  So they misrepresent and say that I said nobody died at Parkland.
[00:03:19.681 --> 00:03:21.042]  That's what they list in these articles.
[00:03:21.042 --> 00:03:22.522]  That's fake news.
[00:03:22.522 --> 00:03:23.542]  No video of that.
[00:03:23.542 --> 00:03:25.343]  They say I say there's Martian colonies.
[00:03:25.343 --> 00:03:25.983]  No video of that.
[00:03:28.365 --> 00:03:31.067]  And then, they say, we've got to de-platform him.
[00:03:31.067 --> 00:03:32.088]  Well, Donald Trump Jr.
[00:03:32.088 --> 00:03:33.409]  tweeted out and said, really?
[00:03:33.409 --> 00:03:37.732]  CNN is supposedly the policeman that's going to run all this?
[00:03:37.732 --> 00:03:44.657]  Seriously, if someone is going to lead the charge against fake news, shouldn't they be a lot more credible than CNN?
[00:03:44.657 --> 00:03:46.198]  Then they said Donald Trump Jr.
[00:03:46.198 --> 00:03:47.659]  endorsed InfoWars.
[00:03:47.659 --> 00:03:49.861]  More deception by CNN.
[00:03:49.861 --> 00:03:54.984]  When all he did was say, you shouldn't be the arbiter and list what is news or what isn't news.
[00:03:54.984 --> 00:03:55.445]  Because again,
[00:03:56.886 --> 00:04:01.490]  Even Facebook said, look, one person's fake news is somebody else's news.
[00:04:01.490 --> 00:04:02.791]  The media's in a war.
[00:04:02.791 --> 00:04:04.132]  The liberals put out fake news.
[00:04:04.132 --> 00:04:05.853]  Conservatives put out fake news.
[00:04:05.853 --> 00:04:11.517]  But then they added, but don't worry, InfoWars posts are dialed back 80%.
[00:04:11.517 --> 00:04:15.320]  They went on to say, really, actually, it's more than that.
[00:04:15.320 --> 00:04:17.962]  Only if you go to the page do you see it.
[00:04:17.962 --> 00:04:19.283]  We don't let people share it.
[00:04:19.283 --> 00:04:22.826]  And if they do, we penalize them, which is social engineering.
[00:04:24.062 --> 00:04:31.053]  So, the censorship's here, and the smarter corrupt tech giants like Google and Facebook are in the news saying, shut up!
[00:04:32.059 --> 00:04:33.919]  This is racketeering we're involved in.
[00:04:33.919 --> 00:04:38.741]  We are displacing and quieting an entire section of a country.
[00:04:38.741 --> 00:04:40.721]  And we're using Alex Jones as the case point.
[00:04:40.721 --> 00:04:43.602]  He's already been shut down on our platforms, you idiots.
[00:04:43.602 --> 00:04:44.482]  Actually, say it.
[00:04:44.482 --> 00:04:48.303]  You're going to make him a martyr and get Trump to do antitrust.
[00:04:48.303 --> 00:04:49.843]  Shut up, CNN.
[00:04:49.843 --> 00:04:51.424]  Shut up, Washington Post.
[00:04:51.424 --> 00:04:52.864]  Shut up, CNET.
[00:04:52.864 --> 00:04:55.805]  You foaming at the mouth, anti-free speech so-called journalists.
[00:04:55.805 --> 00:04:57.245]  You're going to screw up our takeover.
[00:04:59.096 --> 00:05:03.057]  Living in volcano may sound more dramatic than it really is.
[00:05:03.057 --> 00:05:06.318]  The real drama can be found here in Leilani Estates.
[00:05:06.318 --> 00:05:12.600]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:05:12.600 --> 00:05:15.381]  Volcanic ash may contain heavy metal particles.
[00:05:16.121 --> 00:05:19.944]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:19.944 --> 00:05:26.410]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:26.410 --> 00:05:31.374]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:32.136 --> 00:05:36.037]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:36.037 --> 00:05:43.239]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:43.239 --> 00:05:47.941]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:47.941 --> 00:05:54.143]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:54.143 --> 00:05:58.124]  But more importantly, a good water filtration system will purify it.
[00:06:03.163 --> 00:06:09.748]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.748 --> 00:06:21.276]  If you are receiving this transmission, you are the resistance.
[00:06:21.276 --> 00:06:29.501]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:38.072 --> 00:06:44.275]  It was Hunter S. Thompson who invented Gonzo Journalist, where you make the story about yourself.
[00:06:44.275 --> 00:06:49.839]  I mean, others have done it, but he coined the term Gonzo Journalism, where you go and create the story yourself.
[00:06:49.839 --> 00:06:51.579]  That is not what InfoWars is doing.
[00:06:51.579 --> 00:07:01.125]  I have a raft of incredible, world-shaking news, extremely exciting, extremely informative, extremely important.
[00:07:01.125 --> 00:07:03.406]  And I'll get to all of it.
[00:07:03.406 --> 00:07:06.728]  But if this was happening to anybody else, it would be my top story.
[00:07:08.792 --> 00:07:28.079]  In fact, I am, quite frankly, pinching myself, thinking maybe this is virtual reality, like Total Recall, and I'm just playing some video game where, you know, I'm the hero fighting the evil eugenicist globalist who are trying to censor everybody and poisoning the water with fluoride, but then it's all real and it's really happening.
[00:07:28.079 --> 00:07:30.200]  I have to pinch myself when
[00:07:32.307 --> 00:07:49.596]  I spent two hours this morning doing different searches on Google, Alex Jones, CNN, InfoWars CNN, InfoWars Congress, InfoWars platform banning, InfoWars censored, and each time I'd click it, it'd be 4,000 articles, 2,000 articles, 400 articles.
[00:07:49.596 --> 00:07:57.381]  There are thousands and thousands and thousands and thousands and thousands and thousands and thousands and thousands and thousands.
[00:07:58.354 --> 00:08:05.799]  Of articles just in the last week saying, ban InfoWars and take it off the air.
[00:08:05.799 --> 00:08:08.321]  Ban it on Facebook, YouTube, Twitter.
[00:08:08.321 --> 00:08:10.162]  Shoo it out of existence.
[00:08:10.162 --> 00:08:12.384]  Shut it down.
[00:08:12.384 --> 00:08:15.746]  But that's not why this is important.
[00:08:15.746 --> 00:08:18.968]  This is a PR ad campaign to end the First Amendment.
