[00:00.000 --> 00:17.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:17.000 --> 00:20.000]  The biggest problem we have is we have a very dishonest media.
[00:20.000 --> 00:25.000]  But these are among the most dishonest people you'll ever, ever meet.
[00:25.000 --> 00:30.000]  But we are going to punch through the media. We have to.
[00:30.000 --> 00:36.000]  Do not allow anyone to tell you that it cannot be done.
[00:36.000 --> 00:41.000]  No challenge can match the heart and fight and spirit of America.
[00:41.000 --> 00:47.000]  We will not fail. Our country will thrive and prosper again.
[00:47.000 --> 00:57.000]  That whether we are black or brown or white, we all bleed the same red blood of patriots.
[00:57.000 --> 01:01.000]  Americanism, not globalism, will be our credo.
[01:01.000 --> 01:06.000]  The prize I want is victory for the world. Victory for the world.
[01:06.000 --> 01:17.000]  It is Friday, June 29th, 2018. I'm your host, Owen Troyer, filling in for Alex today.
[01:17.000 --> 01:23.000]  We will be hearing from Alex in the next segment as well as later on in today's broadcast.
[01:23.000 --> 01:26.000]  There is all kinds of news to get through.
[01:26.000 --> 01:33.000]  The left keeps pushing farther and farther when it comes to trying to incite violence.
[01:33.000 --> 01:41.000]  Former President Barack Hussein Obama made a rare public appearance and gave a speech yesterday.
[01:41.000 --> 01:46.000]  I've got some pull quotes from that you're honestly not even going to believe.
[01:46.000 --> 01:56.000]  In shocking fashion after a shooting yesterday at the Capitol Gazette, I guess I shouldn't be so shocked,
[01:56.000 --> 02:01.000]  left-wingers are actually blaming this on conservatives.
[02:01.000 --> 02:16.000]  Now, there's origins to this that go back to a text from a certain author and broadcaster
[02:16.000 --> 02:18.000]  that they're trying to link to this.
[02:18.000 --> 02:29.000]  And then they're using that tiny little origin that's not even legitimate to expand and blame all conservatives.
[02:29.000 --> 02:38.000]  And I didn't believe that it would go that far, at least now, but it actually has.
[02:38.000 --> 02:48.000]  And if you go on Twitter, you'll actually see people blaming Trump and conservatives for this shooting.
[02:48.000 --> 02:53.000]  See? There it is right there. I don't know who these people are. These are verified accounts.
[02:53.000 --> 03:00.000]  And it's one thing when I see just a bunch of no-name small accounts do this because those could be bots,
[03:00.000 --> 03:06.000]  those could be fake accounts. But when you have verified accounts, well, now you're wondering who are these people
[03:06.000 --> 03:09.000]  and why would they actually say that?
[03:09.000 --> 03:18.000]  Even when you have the evidence that the shooter was a psycho,
[03:18.000 --> 03:25.000]  why is it every time now there's a warning beforehand?
[03:25.000 --> 03:33.000]  Again, this guy stalked and made threats to his girlfriend.
[03:33.000 --> 03:40.000]  I mean, I guess that goatee alone should raise red flags.
[03:40.000 --> 03:47.000]  And he posted threats to the Capitol Gazette on social media.
[03:47.000 --> 03:56.000]  Okay, so he has a Vandetta. He's obviously mentally unstable, probably on some pharmaceutical drugs
[03:56.000 --> 04:02.000]  and goes and shoots up this place.
[04:02.000 --> 04:08.000]  And then they blame conservatives and Trump.
[04:08.000 --> 04:12.000]  But you know what's funny? I didn't even realize this till just now.
[04:12.000 --> 04:19.000]  Obama's speech yesterday actually ties into this. It all ties in together.
[04:19.000 --> 04:26.000]  Even though this shooting is just probably an isolated incident where this guy had a Vandetta,
[04:26.000 --> 04:32.000]  clearly mentally unstable, probably on big pharmaceutical drugs,
[04:32.000 --> 04:39.000]  to see how they respond to that and then where they go, notice they're not even really going after the gun this time.
[04:39.000 --> 04:43.000]  They're using it to go after Trump.
[04:43.000 --> 04:49.000]  It's like going after the gun has become old, old hat to them, so now they go after Trump.
[04:49.000 --> 04:51.000]  That's all they have now.
[04:51.000 --> 04:56.000]  There's other news, other points, and Alex Jones joins us from the other side.
[04:56.000 --> 05:10.000]  Don't go anywhere. This is the Alex Jones Show.
[05:27.000 --> 05:33.000]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[05:33.000 --> 05:37.000]  Next, we tested the water from our Alexa pure gravity filter.
[05:37.000 --> 05:44.000]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[05:44.000 --> 05:49.000]  As it turns out, the filter on the Alexa pure raises the pH of the water.
[05:49.000 --> 05:55.000]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[05:55.000 --> 06:00.000]  But more importantly, a good water filtration system will purify it.
[06:55.000 --> 07:15.000]  So this is President Trump walking on the White House grounds being harassed by the media.
[07:15.000 --> 07:19.000]  You wouldn't believe that they would sink this low, but they go lower every day.
[07:19.000 --> 07:29.000]  So we have another deranged individual who had a score to settle with a Gazette newspaper over a defamation suit he brought six, seven years before and lost.
[07:29.000 --> 07:34.000]  Going in with a shotgun and shooting and killing five people.
[07:34.000 --> 07:39.000]  And so now all gun owners are guilty and President Trump is guilty.
[07:39.000 --> 07:44.000]  And because he's simply walking across the White House lawn, he's running away from questions.
[07:44.000 --> 07:51.000]  All how they spend things be like if you were walking in the front door of your house and your neighbor, you all across the street, why are you running?
[07:51.000 --> 07:57.000]  It's it's just a stupid Perry Mason type tactic that's used to make it have the illusion.
[07:57.000 --> 08:03.000]  The president's done something wrong and they do this over over again separately CNN, MSNBC.
[08:03.000 --> 08:13.000]  They're all blaming the public being angry at the media for their lying and their behavior to conservatives and to the president creating a climate that allowed this to happen.
[08:13.000 --> 08:18.000]  When this had nothing to do with this was this guy's own private beef that started with some woman.
[08:18.000 --> 08:23.000]  He was reportedly stalking that expanded into this long term feud with the paper.
[08:23.000 --> 08:26.000]  But now they're projecting onto conservatives.
[08:26.000 --> 08:39.000]  While simultaneously CNN has big articles about how dare Sean Hannity mentioned this deranged guy and say maybe it's part of the larger climate violence in this country that the left's calling for.
[08:39.000 --> 08:46.000]  Meanwhile, what do we see? We see Michael Moore saying we to put our bodies on the line.
[08:46.000 --> 08:50.000]  We've got Hillary Clinton making similar statements.
[08:50.000 --> 08:54.000]  The articles are all up on info wars dot com and drugs report dot com.
