[00:00.000 --> 00:07.000]  When I grow up, I want to be your rock star!
[00:07.000 --> 00:09.000]  Rock star!
[00:37.000 --> 00:49.000]  It's Sunday, September 15th, and this year has flown by.
[00:49.000 --> 00:51.000]  And this is the Alex Jones Show.
[00:51.000 --> 00:53.000]  Filling in for Alex today is Owen Shroyer,
[00:53.000 --> 00:56.000]  but you will be hearing from Alex in the next two segments,
[00:56.000 --> 01:00.000]  as well as live, Skyping into the show.
[01:00.000 --> 01:08.000]  Many people may be new to Infowars and Infowars.com and the Alex Jones Show.
[01:08.000 --> 01:14.000]  And what may have landed you here was our coverage of the Las Vegas Massacre.
[01:14.000 --> 01:18.000]  And much like what landed me here about five years ago,
[01:18.000 --> 01:22.000]  was the fact that something you saw in the news media,
[01:22.000 --> 01:26.000]  or something you saw during an investigation of a crime,
[01:26.000 --> 01:31.000]  didn't smell right, didn't feel right, and you just didn't feel like you were getting the truth.
[01:31.000 --> 01:35.000]  And so you searched for the truth and then you ended up here.
[01:35.000 --> 01:41.000]  And then you see what we've done politically,
[01:41.000 --> 01:45.000]  and then you want to stay here and be a part of something that's actually changing the world.
[01:45.000 --> 01:55.000]  So for me, the Las Vegas Massacre is just another example of the establishment not getting away with it.
[01:55.000 --> 02:00.000]  They're not getting away with whatever's going on in Hollywood anymore.
[02:00.000 --> 02:05.000]  Look at Weinstein. Look at who else is collapsing. It's not just him.
[02:05.000 --> 02:08.000]  Look at what's going on with NFL ratings down.
[02:08.000 --> 02:13.000]  Don't be surprised if tomorrow you see the same stories of NFL ratings down again today.
[02:13.000 --> 02:19.000]  Look at Hillary Clinton, the candidate that they tried to shove down our throats,
[02:19.000 --> 02:29.000]  tried to brainwash America into just accepting Hillary Clinton before she even got elected.
[02:29.000 --> 02:32.000]  We completely rebuked that.
[02:32.000 --> 02:38.000]  And no one is believing the official narrative of the Las Vegas shooting.
[02:38.000 --> 02:44.000]  And so we've got more updates from Alex Jones on the other side of this upcoming break here
[02:44.000 --> 02:51.000]  from all of his sources, the story that he reported first, that they're trying to cover up,
[02:51.000 --> 02:59.000]  and all of the eyewitness testimonies that just completely debunk what we're hearing from the official narrative.
[02:59.000 --> 03:04.000]  And one point that Alex Jones is going to make when we come back from break here
[03:04.000 --> 03:11.000]  is you will notice, radio listeners, you can watch us at infowars.com.
[03:11.000 --> 03:17.000]  You will notice the distinct body language difference, the distinct tone of the voice difference
[03:17.000 --> 03:25.000]  in Sheriff Lombardo from when this began and his press conference last Friday.
[03:25.000 --> 03:31.000]  So you're going to hear from Alex Jones on the other side of all the updates on the Vegas cover-up.
[03:31.000 --> 03:36.000]  I don't think we're going to get anything more from the FBI and this official investigation.
[03:36.000 --> 03:42.000]  They'll probably release some commission, a la 9-11 commission, Warren commission,
[03:42.000 --> 03:47.000]  and the official story will be that Stephen Paddock did this all by himself.
[03:47.000 --> 03:50.000]  That's what they're going to go with. That's what they're going to bank on.
[03:50.000 --> 03:52.000]  And it doesn't matter that nobody's buying it.
[03:52.000 --> 03:55.000]  It doesn't matter that we already know about Operation Northwoods.
[03:55.000 --> 03:59.000]  It doesn't matter that we know about the Gulf of Tonkin.
[03:59.000 --> 04:03.000]  It doesn't matter that we know about the underwear bomber, that we know about all of this,
[04:03.000 --> 04:10.000]  that we have the FBI and the CIA sources that even come on this show and tell you what they do and how they do it.
[04:10.000 --> 04:14.000]  But they aren't getting away with the Vegas Massacre.
[04:14.000 --> 04:16.000]  So we'll have all the updates on that.
[04:16.000 --> 04:18.000]  Probably take your phone calls.
[04:18.000 --> 04:23.000]  Crazy story. Apple diversity chief apologizes for saying white people can be diverse.
[04:23.000 --> 04:25.000]  We'll give you an update on that.
[04:25.000 --> 04:29.000]  The Chicago wild, excuse me, California wildfires are still ongoing.
[04:29.000 --> 04:32.000]  Death toll at 40 now. That's terrible.
[04:32.000 --> 04:35.000]  Bannon predicts Trump will win a blowout in 2020.
[04:35.000 --> 04:38.000]  Yeah, the Democrats are dead as far as I can tell.
[04:38.000 --> 04:42.000]  And then Trump is dismantling Obamacare right now.
[04:42.000 --> 04:45.000]  And of course, the left is crying about that.
