[00:00.000 --> 00:11.000]  292 days left until the 2020 election this November.
[00:11.000 --> 00:16.000]  It's Wednesday, January 15th, 2020, and we're alive.
[00:16.000 --> 00:19.000]  We're human beings that have a destiny.
[00:19.000 --> 00:25.000]  If we take our destinies in our hands and don't let others govern our destinies.
[00:25.000 --> 00:33.000]  I was thinking about how Friday and Sunday in the last few days we broke those videos
[00:33.000 --> 00:41.000]  at InfoWars and Band-Aid video that showed the UN's top scientists admitting vaccines are killing people
[00:41.000 --> 00:48.000]  and they've been covering it up and that their own doctors think vaccines are bad.
[00:48.000 --> 00:55.000]  And then all those other top scientists for 20 hours agreeing.
[00:55.000 --> 01:02.000]  We posted the video and now it's about 600,000 people watched it on Band-Aid video.
[01:02.000 --> 01:11.000]  But the real story is that Google and Twitter and Facebook are blocking people
[01:11.000 --> 01:16.000]  trying to even link to the raw UN video itself on the UN site.
[01:16.000 --> 01:19.000]  They're signed on to pure evil.
[01:19.000 --> 01:22.000]  But we already knew that, didn't we?
[01:22.000 --> 01:31.000]  We already knew that Google and Apple and all of them are moving to China
[01:31.000 --> 01:38.000]  and have endorsed the most evil authoritarian regime the planet has ever seen.
[01:38.000 --> 01:42.000]  And that that's a benchmark for what they're shooting for.
[01:42.000 --> 01:49.000]  As the UN openly adopts the Chinese Communist Global Social Credit Score officially two weeks ago
[01:49.000 --> 02:01.000]  as a planetary control system, tax and control operation of humanity is waking up
[02:01.000 --> 02:10.000]  and their attempts to suppress the truth I believe will fail because time and time again throughout history
[02:10.000 --> 02:16.000]  evil has looked like it's going to win right up to the last moment and that's finally
[02:16.000 --> 02:23.000]  when the people awaken out of their slumbers to the challenge yet again.
[02:23.000 --> 02:28.000]  And I think about our ancestors and all they've gone through to bring us to this point
[02:28.000 --> 02:33.000]  and the great human saga, the march to the stars and beyond
[02:33.000 --> 02:42.000]  and deep in my heart I know in the end the technocrats will fail but many billions will die in the process.
[02:42.000 --> 02:48.000]  And on the other side we'll look back and ask how did we ever let evil get this far?
[02:48.000 --> 02:55.000]  And we'll have to look in the mirror and realize it was because of us all these bad things happened
[02:55.000 --> 02:59.000]  because good men have to stand down to let evil triumph.
[02:59.000 --> 03:04.000]  But it will be because of the actions we take now that we rectify that
[03:04.000 --> 03:08.000]  and one day can stand before the creator of the universe
[03:08.000 --> 03:18.000]  and hopefully measure up enough to go to the next level.
[03:18.000 --> 03:25.000]  Yes, reality is way more epic than anyone could try to put into words
[03:25.000 --> 03:34.000]  and here we are on the precipice of choosing the direction of our civilization forever.
[03:34.000 --> 03:41.000]  I have to say yet again that in full wars is 100% been the tip of the spear
[03:41.000 --> 03:47.000]  and again I don't say that to say oh look we're the tip of the spear aren't we great?
[03:47.000 --> 03:51.000]  It's actually a great responsibility.
[03:51.000 --> 04:00.000]  In fact it was Paul Watson about four years ago that began to really expose the in cell movement as being the mass shooters.
[04:00.000 --> 04:04.000]  Others on the internet had pointed it out and then Paul magnified it, in full wars magnified it,
[04:04.000 --> 04:06.000]  drug linked to our stories.
[04:06.000 --> 04:15.000]  And now the FBI and the Texas State Police have come out and said actually almost every mass shooter has been a in cell
[04:15.000 --> 04:24.000]  involuntarily celibate into the occult driven by an ideology of hatred for humanity and depopulation
[04:24.000 --> 04:27.000]  and of course Satanism.
[04:27.000 --> 04:31.000]  Now it isn't that in full wars had some magical crystal ball.
[04:31.000 --> 04:36.000]  It was that we were tracking who people were and of course law enforcement knew this as well
[04:36.000 --> 04:42.000]  but the ADL was still in control and was telling us it was all Christians that were the enemy and gun owners.
[04:42.000 --> 04:47.000]  Well now all that's been thrown to the side and law enforcement's openly publishing the truth.
[04:47.000 --> 04:54.000]  And the truth is it's Antifa leftist in cell needle dicks out of the problem.
[04:54.000 --> 05:15.000]  You deserve a deep restful sleep with knockout by info wars life. Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[05:15.000 --> 05:24.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness
[05:24.000 --> 05:36.000]  but with the rapid speed of life we need to be able to keep up the pace. Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[05:36.000 --> 05:38.000]  Wake up refreshed and take on the day.
[05:38.000 --> 05:46.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[05:46.000 --> 05:50.000]  Get the sleep you deserve and experience the power of knockout.
[05:50.000 --> 06:10.000]  Head on over to info wars life dot com and say goodbye to fatigue. That's info wars life dot com.
[06:10.000 --> 06:24.000]  Big brother mainstream media government cover ups. You want to stop tyranny? Well, so does he live from the info wars dot com studios. It's Alex Jones.
[06:24.000 --> 06:40.000]  Five nuclear arms states must work together to neutralize the threat of global war says Vladimir Putin. Bearing an annual state of the nation address. It took place just hours ago.
[06:40.000 --> 06:55.000]  We're going to be playing part of that speech coming up and reading some of the Russian and English translations. That's what's going on on the planet Earth. Remember, there's not just the United States.
[06:55.000 --> 07:14.000]  But an entire planet struggling against corporate tyranny that is establishing systems of communist control and divide and conquer over populations.
[07:14.000 --> 07:26.000]  Well, the governor of Virginia has done exactly what we said he would do. First, he declared an emergency.
[07:26.000 --> 07:29.000]  Inside the capital.
[07:29.000 --> 07:36.000]  And said, you can't have guns there when there's going to be a large pro second amendment rally.
[07:36.000 --> 07:57.000]  And then he said, now I declare it on the capital, the capital grounds. And I predict he's going to declare a bigger emergency. And we've got some of those newscasts coming up for you here in just a moment.
[07:57.000 --> 08:08.000]  Despite massive protest. Virginia Democratic gun control bills go full steam ahead.
[08:08.000 --> 08:12.000]  Pass first hurdle.
[08:12.000 --> 08:17.000]  Remember those headlines from info wars and natural news a few months ago. Here's one from December.
[08:17.000 --> 08:23.000]  Virginia governor plans to use roadblocks and UN troops to seize guns.
[08:23.000 --> 08:27.000]  They're talking about using UN and using troops.
[08:27.000 --> 08:35.000]  And every time we go, that's crazy. That's dangerous. They go, oh, we don't mean that.
[08:35.000 --> 08:40.000]  So they're just getting you in the habit of hearing that term emergency.
[08:40.000 --> 08:44.000]  And then the emergency begins to expand.
[08:44.000 --> 08:47.000]  You're like, why would they want to pick a fight with gun owners?
[08:47.000 --> 09:01.000]  They're going to be so incendiary. Well, that's the whole point. And then we learned from the Bernie Sanders campaign operative that they're going to burn down Milwaukee at the DNC.
[09:01.000 --> 09:17.000]  We're in full wars will be where I will be if Sanders doesn't get the nomination. And then if Trump wins, they're going to burn it there and the fires will spread from that summer of rage across the nation. There will be an overthrow of the government.
[09:17.000 --> 09:33.000]  The force will be under communist control and they will then arrest white males and put them in reeducation camps. And of course, some will have to be killed and the police will have to be killed until they learn to submit.
[09:33.000 --> 09:39.000]  Turns out this individual has been arrested for all sorts of things and lives in his mother's basement.
