whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20180614_Thu_Alex.wav' (230268343 samples, 14391.8 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:14.720]   - Infowars.com is tomorrow's news.
[00:00:14.720 --> 00:00:19.960]   Today, you're listening to The Alex Jones Show.
[00:00:19.960 --> 00:00:26.900]   - Well, ladies and gentlemen, it is The Alex Jones Show.
[00:00:26.900 --> 00:00:31.360]   Alex Jones will be joining us here in just a moment.
[00:00:31.360 --> 00:00:34.180]   It is Thursday, June 14th, 2018.
[00:00:34.180 --> 00:00:36.460]   It is President Trump's birthday,
[00:00:36.460 --> 00:00:40.040]   and it is the 34-hour broadcast spectacular
[00:00:40.040 --> 00:00:42.160]   here at infowars.com/show.
[00:00:42.160 --> 00:00:45.160]   We are expecting the release of the IG report
[00:00:45.160 --> 00:00:48.280]   shortly as well, but before we get to that,
[00:00:48.280 --> 00:00:50.400]   in case you didn't think that the Democrats
[00:00:50.400 --> 00:00:54.340]   have lost their mind, here's a little more evidence for you.
[00:00:56.080 --> 00:00:58.240]   - In just a few years, he'll be in school,
[00:00:58.240 --> 00:01:01.440]   and Donald Trump wants to give his teacher a gun?
[00:01:01.440 --> 00:01:04.820]   - More students have been killed in school shootings
[00:01:04.820 --> 00:01:08.540]   in 2018 than US troops in combat operations.
[00:01:08.540 --> 00:01:11.980]   We need common sense gun control, but that's not enough.
[00:01:11.980 --> 00:01:15.620]   There are 310 million guns in the US
[00:01:15.620 --> 00:01:17.620]   and millions of assault-style weapons.
[00:01:17.620 --> 00:01:20.620]   - I'm Levi Tilleman.
[00:01:20.620 --> 00:01:23.780]   Washington needs more doers and innovators.
[00:01:23.780 --> 00:01:26.360]   That's why I'm running for US Congress.
[00:01:26.360 --> 00:01:29.920]   I'm calling on Congress to stop talking past each other
[00:01:29.920 --> 00:01:31.960]   and try something new.
[00:01:31.960 --> 00:01:33.760]   Empower schools and teachers-
[00:01:33.760 --> 00:01:35.520]   - So far, not too bad.
[00:01:35.520 --> 00:01:36.680]   - With non-lethal self-defense tools
[00:01:36.680 --> 00:01:39.160]   like this can of pepper spray.
