[00:00.000 --> 00:20.000]  Music
[00:20.000 --> 00:23.000]  Moving off turn four for the final time
[00:23.000 --> 00:25.000]  Blading to the outside
[00:25.000 --> 00:26.000]  to the inside
[00:26.000 --> 00:28.000]  Here comes hamlin' up the outside
[00:28.000 --> 00:43.940]  In a shower of sparks on his roof, Ryan Newman comes across the line fourth and comes to
[00:43.940 --> 00:55.880]  rest, scoring unofficial between Hamlin and Blaney as far as who crossed the finish line
[00:55.880 --> 01:08.740]  first.
[01:08.740 --> 01:14.480]  Newman got turned, went up in the air as he came down, was hit by another car and launched
[01:14.480 --> 01:34.320]  Skyward coming down on his roof. The AMR safety team is there quickly to attend Ryan Newman.
[01:34.320 --> 01:47.320]  A fist pump from Denny Hamlin. The man in the arena, it's not the critic who counts,
[01:47.320 --> 01:51.480]  it's not the man who points out all the strongman stumbles or where the doer of deeds could
[01:51.480 --> 01:55.120]  have done them better. The credit belongs to the man who's actually in the arena, whose
[01:55.120 --> 01:59.800]  face is marred by dust and sweat and blood, who strives valiantly, who urrs, who comes
[01:59.800 --> 02:04.000]  short again and again because there is no effort without error and shortcoming, but
[02:04.000 --> 02:08.080]  who does actually strive to do the deeds, who knows the great enthusiasm, the great
[02:08.080 --> 02:12.800]  devotions, who spends himself in a worthy cause, who at least knows in the end the triumph
[02:12.800 --> 02:17.880]  of high achievement and who at worst, if he fails, at least fails while daring greatly
[02:17.880 --> 02:22.720]  so that his place shall never be with those cold and timid souls who know neither victory
[02:22.720 --> 02:29.920]  nor defeat. I wanted to start with that today because predictably after Ryan Newman still
[02:29.920 --> 02:37.440]  fighting for his life after that 190-mile-an-hour crash when he was in the lead, epically coming
[02:37.440 --> 02:41.880]  in fourth on fire across the finish line after rolling repeatedly and shooting him in the
[02:41.880 --> 02:47.440]  air like a rocket, and the left celebrated and said, he likes Trump. He dared shake Trump's
[02:47.440 --> 02:54.320]  hand and say he likes him. He deserves it. It's an omen. No, these are modern gladiators
[02:54.320 --> 03:00.000]  who choose to get in the arena, completely the opposite of the timid souls who could
[03:00.000 --> 03:07.400]  never do one-one-hundredth of what Ryan Newman did. So if he dies, doesn't matter. He's up
[03:07.400 --> 03:14.120]  there as a champion, never amongst the timid cowardly, thumb-sucking slaves that support
[03:14.120 --> 03:19.800]  the Democratic Party, a truly disgusting group of miscreant individuals. Again, I am your
[03:19.800 --> 03:26.160]  host, Alex Jones. Thank you so much for joining us on this live February 18th, Tuesday global
[03:26.160 --> 03:32.400]  transmission. I'm going to be here in studio for the next four hours. Mike Adams is in
[03:32.400 --> 03:36.880]  the fourth hour. Dr. Sherry Tenpenny, completely vindicated by the UN admitting that vaccines
[03:36.880 --> 03:41.040]  are causing death and disease and destruction as they've been covering it up. She's going
[03:41.040 --> 03:45.440]  to be joining us in the third hour. We're going to have open phones in the first and
[03:45.440 --> 03:54.080]  second hour, probably into the third hour here today and so much more. So start your
[03:54.080 --> 04:02.240]  engines, ladies and gentlemen, because this is going to be one hell of a transmission
[04:02.240 --> 04:10.000]  today. It is just incredible. The Roger Stone news, the economy news, the Virginia gun grab
[04:10.000 --> 04:16.960]  news, the Boy Scouts of America news, the coronavirus news is spectacularly out of control.
[04:16.960 --> 04:21.720]  And it's all important because knowing is half the battle. It's good to understand what's
[04:21.720 --> 04:26.080]  happening, not hiding from it. We're not here to scare you. We're here to empower you because
[04:26.080 --> 04:31.560]  whether you believe here a man and woman in the arena or not, you really are in the arena.
[04:31.560 --> 04:36.560]  Life is being born to the arena and you can pretend to be a spectator all day, but you're
[04:36.560 --> 04:43.400]  not. You are a man and woman in the arena. I am your host, Alex Jones on this live global
[04:43.400 --> 04:47.400]  Tuesday transmission. So please remember as men and women in the arena, whether you live
[04:47.400 --> 04:53.440]  in Russia or Japan or Mexico or the U.S. or Venezuela or South Africa or Libya, spreading
[04:53.440 --> 05:01.320]  the word about this broadcast is a revolutionary act. Take action across the Western world
[05:01.320 --> 05:08.480]  from high school to college sports to even the Olympics. Men, biological men are winning
[05:08.480 --> 05:15.040]  almost all of the sporting events. This is men invading women's spaces and bullying them
[05:15.040 --> 05:20.200]  and taking their rights away, all in the name of the liberalism and openness. And then every
[05:20.200 --> 05:26.240]  day I have stacks of news articles just like today. UK team find under house arrest for
[05:26.240 --> 05:32.760]  asking trans police officers gender and it hurt their feelings. UK mother spared jail
[05:32.760 --> 05:38.080]  for misgendering trans woman ordered to pay thousand pound fine because it could have
[05:38.080 --> 05:44.920]  caused anxiety in the new royalty. That's the thought police. If a leftist has their
[05:44.920 --> 05:50.400]  feelings hurt for any reason, you get fined and you go to jail. This is tyranny. These
[05:50.400 --> 05:55.400]  people are bullies and it's sick and it's evil and it's part of a scientific anti human
[05:55.400 --> 05:59.360]  takeover. Resist it. Speak out against it.
[05:59.360 --> 06:16.280]  He aligns himself with the truth and it's time for you to choose a side. You're listening
[06:16.280 --> 06:45.120]  to Alex Jones. Ladies and gentlemen, we are live. We are broadcasting worldwide on this
[06:45.120 --> 06:55.360]  Tuesday broadcast. I am your host, Alex Jones. Okay, let's go ahead and plow into the news
[06:55.360 --> 07:04.800]  and information that we're going to be breaking down here today. Massive new coronavirus developments.
[07:04.800 --> 07:14.560]  The left celebrating the deadly crash of Ryan Newman at the Daytona 500 and those that say
[07:14.560 --> 07:25.080]  it's wrong to celebrate him fighting for his life in 190 mile an hour crash. Twitter is
[07:25.080 --> 07:31.080]  banning or restricting them. I'm not kidding. Also, they're banning photos of Trump with
[07:31.080 --> 07:39.800]  racers at the event shaking hands. Nothing positive of the president is allowed. Continuing,
[07:39.800 --> 07:46.020]  it's the bottom of the hour. Caitlyn Bennett's first response to attack at Ohio University.
[07:46.020 --> 07:51.240]  She went there was interviewing people peacefully about president's day. A mob of 400 surrounded
[07:51.240 --> 07:57.640]  her, attacked her, attacked her vehicle and the police did nothing. Leftist newspapers
[07:57.640 --> 08:03.880]  are celebrating it as a good thing. Just type in Caitlyn Bennett, click news. You'll see
[08:03.880 --> 08:09.320]  the headlines about how, man, this is how you deal with it. You physically attack people
