[00:00.000 --> 00:05.880]  Kevin Martin here with infowars.com and we are here in beautiful downtown
[00:05.880 --> 00:11.440]  Austin, Texas and we're here to see what people think about Donald Trump and his
[00:11.440 --> 00:16.600]  travel ban. Let's go. What do I think of his travel ban? Yeah, immigrants.
[00:16.600 --> 00:21.920]  It's the worst. It's the worst? And why do you say it's the worst? It's discrimination.
[00:21.920 --> 00:26.440]  Did discrimination against him in particular? The human race. What do you
[00:26.440 --> 00:32.040]  think about Donald Trump's travel ban? What immigrants? What do you think? He's
[00:32.040 --> 00:37.360]  already president. I like it. So you like it, huh? Yeah. I would wholeheartedly
[00:37.360 --> 00:43.440]  agree with you. Why do you like it? Well, I dispute it. It's protecting the
[00:43.440 --> 00:47.800]  American people, right? I wholeheartedly believe. No, I'm Kevin. I'm with
[00:47.800 --> 00:51.200]  infowars and we're just asking people what they think about Donald Trump's
[00:51.200 --> 00:55.240]  travel ban of immigrants. I think we should help people that don't have it as
[00:55.240 --> 01:01.200]  us. So I think it's not right to ban them. Yeah. Because everyone's just human.
[01:01.200 --> 01:05.120]  Like everyone has the same qualities that everyone has. We have, we should each
[01:05.120 --> 01:08.520]  have the same opportunities and it sucks when we're limited to those
[01:08.520 --> 01:14.000]  opportunities and we limit these people to not necessarily getting a chance to
[01:14.000 --> 01:18.800]  kind of just live and live the American dream that we're supposedly trying to
[01:18.800 --> 01:22.280]  fulfill. And I know that's just, and that's not, and I'm saying that from my
[01:22.280 --> 01:26.800]  stance because I came from a school that it felt just like the same kind of
[01:26.800 --> 01:29.840]  thing. Like we were limited to the opportunities and now I'm over here at
[01:29.840 --> 01:34.360]  UT Austin and it's, it's so great. So that should, and that's so unfair for like
[01:34.360 --> 01:39.000]  knowing that some people are gonna be limited to like not being able to see
[01:39.000 --> 01:42.800]  these opportunities and just, he shouldn't be doing that. A lot of people in
[01:42.800 --> 01:48.320]  Austin are liberal, very, they were for Hillary. So like I'm kind of scared of my
[01:48.320 --> 01:52.360]  views but I actually support Donald Trump and that we need to take care of our
[01:52.360 --> 01:55.880]  people. The American people first, right? Before helping others. With all this stuff
