[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[00:30.000 --> 00:47.000]  ["Pomp and Circumstance"]
[00:47.000 --> 00:55.000]  Ladies and gentlemen, towns and cities are now quarantined across northern Italy and across South Korea
[00:55.000 --> 00:59.000]  as the world discovers the shocking truth.
[00:59.000 --> 01:05.000]  The coronavirus is killing a lot of people, including healthy people, including young people,
[01:05.000 --> 01:10.000]  and when old folks get it, there is an extremely high death rate.
[01:10.000 --> 01:15.000]  Stock markets around the world are plunging right now.
[01:15.000 --> 01:19.000]  As the true nature of it begins to come out and as the cover-up becomes clear,
[01:19.000 --> 01:24.000]  Dow drops 800 points as coronavirus cases outside of China surge.
[01:24.000 --> 01:28.000]  That's CNBC. You can see the CNBC numbers there on the markets.
[01:28.000 --> 01:38.000]  The S&P is down 102, the NASDAQ down 344, the Dow Jones Industrial Average now down 924,
[01:38.000 --> 01:50.000]  the FTSE down 247, the Nikai 92 plus, the HSI down 487, Shanghai down 8.44.
[01:50.000 --> 01:57.000]  They're propping it up. The VIX down 6.49, and the DAX down 544.
[01:57.000 --> 02:06.000]  So you could say a long overdue correction, but the reason it's happening is obvious and incontrovertible.
[02:06.000 --> 02:12.000]  Government's covered up the true nature of the virus. It's now admitted that it's man-made.
[02:12.000 --> 02:18.000]  It's now admitted that the prestigious Indian Institute a month ago that came out and said,
[02:18.000 --> 02:21.000]  we've scanned and it's totally man-made. You can see the insertion points.
[02:21.000 --> 02:24.000]  It's a commie road. It's a bunch of different families of viruses.
[02:24.000 --> 02:28.000]  No way this existed in nature. And it's got the stitches on it.
[02:28.000 --> 02:34.000]  Literal injection points, like Frankenstein does, where the arms and legs are sewn on.
[02:34.000 --> 02:38.000]  There are stitches across the cranium. Somebody else's brain has been put in.
[02:38.000 --> 02:43.000]  I mean, that's a silly analogy, but that's what it is.
[02:43.000 --> 02:47.000]  And now that it's been covered up, and now that that cover-up has been exposed,
[02:47.000 --> 02:50.000]  this is going to get totally insane.
[02:50.000 --> 02:59.000]  Yes, Harvey Weinstein has been convicted. Yes, Owen Schreuer and his security team got assaulted by a mob of drooling zombies.
[02:59.000 --> 03:03.000]  I mean, you talk about escapees from a lunatic asylum.
[03:03.000 --> 03:12.000]  I've seen footage inside real lunatic asylums and these people act more insane and more violent than they do.
[03:12.000 --> 03:21.000]  And you're like, oh, that's just a few of them. No. Almost all of them were incontinent.
[03:21.000 --> 03:26.000]  A lot of them had piss running down their legs. It was a nightmare yesterday in Austin.
[03:26.000 --> 03:29.000]  But we're going to get to that later because this is all just too important.
[03:29.000 --> 03:34.000]  By the way, mainstream media has been wanting a global collapse.
[03:34.000 --> 03:38.000]  And it looks like this is the perfect plan for Xi Jinping to crack down on the riots he had,
[03:38.000 --> 03:44.000]  not just in Taiwan, but in the mainland, and as a way to export this towards the West
[03:44.000 --> 03:50.000]  and give him a face-saving cover for the Chinese economy that lost the war with the United States.
[03:50.000 --> 03:54.000]  So now this is the blowback. We have forecast that.
[03:54.000 --> 03:57.000]  And that's what all the smart money is on right now.
[03:57.000 --> 04:09.000]  And of course, has been absolutely the cutting edge, the tip of the spear, and has been the most accurate forecasting operation, period, with the best guest,
[04:09.000 --> 04:16.000]  the author of the U.S. Weapons Treaty and Law, top experts, top engineers, top scientists, top journalists.
[04:16.000 --> 04:21.000]  And we have just honed in on exactly where it came from.
[04:21.000 --> 04:26.000]  Who did it now? Dr. Francis Boyle and others have laid it all out.
[04:26.000 --> 04:30.000]  So this is just an incredible time to be alive.
[04:30.000 --> 04:39.000]  And there's a whole other subject. You know, they're selling out of food in South Korea, in Italy and other areas.
[04:39.000 --> 04:46.000]  And now I just got word, so I was 30 seconds late getting on air from our big national food supplier.
[04:46.000 --> 04:50.000]  I warned everybody it wasn't a gimmick. I told you it had gone up to 14 days.
[04:50.000 --> 04:54.000]  Now it's three weeks to delivery and everybody else is sold out.
[04:54.000 --> 04:56.000]  We'll be right back. Stay with us.
[05:25.000 --> 05:32.000]  You name it. They are intimidating and arresting people all over the world who simply misgender someone.
[05:32.000 --> 05:40.000]  So the ultimate crime will be even asking what someone is if you can't even tell what they are.
[05:40.000 --> 05:43.000]  This is the ultimate Kafkaesque mind control.
[05:43.000 --> 05:47.000]  And there's several big articles up on infowars.com that break this down.
[05:47.000 --> 05:58.000]  UK teen fine at her house arrest for asking trans police officers, gender, UK mother, spare jail for misgendering trans woman, order to pay 1,000 pound fine.
[06:18.000 --> 06:30.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:30.000 --> 06:42.000]  Ladies and gentlemen, we are broadcasting worldwide.
[06:42.000 --> 06:54.000]  The stock market is down almost 1,000 points on the Dow Jones industrial average right now on the coronavirus explosion news.
[06:54.000 --> 07:04.000]  So all the different mainstream media outlets that have been hoping that the coronavirus kills the global market to hurt populism and hurt President Trump.
[07:04.000 --> 07:13.000]  Well, it looks like you're going to get your wish. Remember Bill Maher last year twice said we need a stock market collapse.
[07:13.000 --> 07:17.000]  We need a quote crash was what he said a crash.
[07:17.000 --> 07:24.000]  Not just a plunge like we're seeing but a crash that means going down more than half.
[07:24.000 --> 07:31.000]  We see a crash to teach these people not to support Trump and to bring America to heal.
[07:31.000 --> 07:36.000]  Talk about an elitist scumbag. Absolutely incredible.
[07:36.000 --> 07:42.000]  And now MSNBC hopes a global financial crisis will help Democrats win in 2020.
[07:42.000 --> 07:53.000]  Here's an article up on info wars.com Saturday and here's just one of the host licking her lips hoping for this.
[07:53.000 --> 08:05.000]  So if the stock market were to tumble this year, if we don't get near the 3% GDP growth that this administration has been talking about for years, these are all things that Dems can run on.
[08:05.000 --> 08:14.000]  They go on for another 10 minutes talking about it. Talk about cold blooded talk about tone deaf. If you're a Democrat watching that boy, I hope the economy crashes.
