[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[00:00:05.958 --> 00:00:11.072]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:17.743 --> 00:00:29.871]  You had Strzok and Page who were in charge of launching this investigation and they were saying things like, we must stop this president, we need an insurance policy against this president.
[00:00:29.871 --> 00:00:38.756]  That, in my view, when you have people that are in the highest echelons of the law enforcement of this nation saying things like that, that sounds an awful lot like a coup.
[00:00:38.996 --> 00:00:40.357]  And it could well be treason.
[00:00:40.357 --> 00:00:41.859]  And I think that we need to know more.
[00:00:41.859 --> 00:00:44.161]  We need to know what was Jim Comey's role in all of this.
[00:00:44.161 --> 00:00:45.643]  These people reported to him.
[00:00:45.643 --> 00:00:47.384]  Andy McCabe reported to him.
[00:00:47.384 --> 00:00:48.746]  What was Comey's role in that?
[00:00:48.746 --> 00:00:52.890]  And that is what the Attorney General is going to be focused on.
[00:00:52.890 --> 00:00:56.834]  Sir, the Constitution says treason is punishable by death.
[00:00:56.834 --> 00:00:59.176]  You've accused your adversaries of treason.
[00:00:59.176 --> 00:01:01.859]  Who specifically are you accusing of treason?
[00:01:02.099 --> 00:01:10.045]  Well, I think a number of people, and I think what you look is that they have unsuccessfully tried to take down the wrong person.
[00:01:10.045 --> 00:01:24.415]  If you look at Comey, if you look at McCabe, if you look at probably people higher than that, if you look at Strzok, they want an insurance policy so that should she for any reason lose, remember, $100 million to one,
[00:01:25.316 --> 00:01:27.918]  Maybe he said 100 million to nothing.
[00:01:27.918 --> 00:01:33.641]  But should she lose, we'll have an insurance policy and we'll get this guy out of office.
[00:01:33.641 --> 00:01:36.583]  That's what they said and that's what they meant.
[00:01:36.583 --> 00:01:37.643]  That's treason.
[00:01:37.643 --> 00:01:38.244]  That's treason.
[00:01:46.059 --> 00:01:55.465]  Ladies and gentlemen, thank you so much for joining us on this live Monday, 27th, 2019 broadcast.
[00:01:55.465 --> 00:01:58.127]  We were going to run a rebroadcast today.
[00:01:58.127 --> 00:02:00.549]  Owen Schroyer was going to host tomorrow.
