[00:00:15.230 --> 00:00:16.891]  This perfect storm.
[00:00:16.891 --> 00:00:20.034]  The debate is over around climate change.
[00:00:20.034 --> 00:00:23.017]  Just come to the state of California.
[00:00:23.017 --> 00:00:24.638]  Observe it with your own eyes.
[00:00:24.638 --> 00:00:25.899]  It's not an intellectual debate.
[00:00:25.899 --> 00:00:27.921]  It's not even debatable.
[00:00:27.921 --> 00:00:31.084]  The debate is over around climate change.
[00:00:32.236 --> 00:00:38.323]  California's rogue governor says the fires are due to climate change.
[00:00:38.323 --> 00:00:44.970]  But anyone with a modicum of awareness knows that this is an outrageous lie.
[00:00:44.970 --> 00:00:48.974]  We know exactly what causes the California wildfire.
[00:00:48.974 --> 00:00:53.278]  It is the result of two factors, dry seasons and people.
[00:00:54.139 --> 00:01:03.425]  Official state records have only been kept since the 1950s, and 2020 has been the most destructive season on record.
[00:01:03.425 --> 00:01:09.849]  But this isn't a new phenomenon, and the fires of the past were more destructive than the modern era.
[00:01:11.030 --> 00:01:25.326]  Through studies of tree rings and other natural evidence, researchers have documented multiple droughts in California during the past thousand years, including one that began in the year 850, which lasted two and a half centuries.
[00:01:26.427 --> 00:01:37.474]  Before European settlers arrived in California, indigenous peoples used controlled burns to manage the dry season and to increase and improve their harvest.
[00:01:37.474 --> 00:01:44.598]  It is estimated they would burn 4.4 million acres of forest each year, and that is twice as much as 2020.
[00:01:46.239 --> 00:01:52.225]  Studies have shown that 97% of all forest fires are caused by humans.
[00:01:52.225 --> 00:01:57.411]  Smoking, campfires, and other accidents have always been a problem.
[00:01:57.411 --> 00:02:04.137]  Experts blame the recent wildfires on fire suppression and an overabundance of wood fuel.
[00:02:04.137 --> 00:02:09.302]  One of the reasons why the indigenous people burned so much forest was to keep this under control.
[00:02:10.743 --> 00:02:14.946]  Aside from human accidents, there is also arson.
[00:02:14.946 --> 00:02:18.849]  And we have seen plenty of arson in 2020.
[00:02:18.849 --> 00:02:20.410]  It's been sort of the theme.
[00:02:20.410 --> 00:02:27.235]  If this country doesn't give us what we want, then we will burn down this system and replace it.
[00:02:27.235 --> 00:02:32.519]  Several people have been arrested for starting fires along the entire West Coast.
[00:02:32.519 --> 00:02:35.140]  Homeowners are catching arsonists on their property.
[00:02:36.301 --> 00:02:49.788]  There are reports of people throwing Molotov cocktails out of moving vehicles on the freeway.
[00:02:49.788 --> 00:02:54.890]  And there are videos of arsonists setting people's homes on fire.
[00:02:54.890 --> 00:03:02.094]  We know for certain that at least one of the arrested arsonists is directly involved with the BLM Antifa movement.
[00:03:03.354 --> 00:03:09.497]  And the rest certainly seem to fit the bill.
[00:03:09.497 --> 00:03:11.217]  Local news is reporting on it.
[00:03:11.217 --> 00:03:14.559]  A man has been arrested, accused of starting this fire.
[00:03:14.559 --> 00:03:19.321]  One of two men accused of intentionally setting fire to fields along freeways.
[00:03:19.321 --> 00:03:24.303]  But the FBI and the mainstream media are in full denial.
[00:03:24.303 --> 00:03:32.326]  A Clackamas County Sheriff's Deputy was placed on administrative leave after warning locals about coordinated arson attacks.
[00:03:32.486 --> 00:03:36.393]  What I'm worried about is that there's people stashing stuff, right?
[00:03:36.393 --> 00:03:39.157]  It means that they're gonna go in preparation.
[00:03:39.157 --> 00:03:43.705]  And I don't want to sound like some doomsdayer, but it's getting serious.
[00:03:44.355 --> 00:03:48.398]  And the Democrat Party is telling you it is all climate change.
[00:03:48.398 --> 00:03:50.199]  Mother Earth is angry.
[00:03:50.199 --> 00:04:00.966]  She's telling us, whether she's telling us with hurricanes on the Gulf Coast, fires in the West, whatever it is, that the climate crisis is real and has an impact.
[00:04:00.966 --> 00:04:07.711]  And telling you that the fires will soon come to your town if you don't vote for climate change.
[00:04:07.711 --> 00:04:09.112]  What we're experiencing right here
[00:04:10.046 --> 00:04:16.616]  Which is a pretty nasty threat, considering how many cities across America have burned by the hands of radical leftists over the summer.
[00:04:27.552 --> 00:04:47.365]  The 2006 film Apocalypto beautifully illustrated how the ancient Mayans' advanced knowledge of astronomy could have been used to frighten the superstitious masses into offering their own to be sacrificed on the altar of false idols who had the power to blacken out the sun.
[00:04:48.786 --> 00:04:51.588]  And there is nothing new under the sun.
[00:04:51.588 --> 00:05:00.654]  People today will throw away their children's birthright because of ignorance, faith in false idols.
[00:05:00.654 --> 00:05:02.975]  I know I say it all the time, but I mean it from the bottom of my heart.
[00:05:02.975 --> 00:05:12.261]  I want to thank you, the listeners and viewers of this broadcast and all the stations and all the affiliates and sponsors and my family and the crew and just everybody out there.
[00:05:13.460 --> 00:05:19.002]  The listeners and viewers, as I just said, this is such an epic struggle and we've all been proven dead on.
[00:05:19.002 --> 00:05:21.483]  We've been proven we're right because we're being led by God.
