[00:00:00.009 --> 00:00:01.311]  The Alex Jones Show.
[00:00:17.150 --> 00:00:17.791]  Big Brother.
[00:00:18.452 --> 00:00:19.493]  Mainstream media.
[00:00:20.234 --> 00:00:21.336]  Government cover-ups.
[00:00:21.997 --> 00:00:22.798]  You want answers?
[00:00:23.579 --> 00:00:24.480]  Well, so does he.
[00:00:25.121 --> 00:00:28.806]  He's Alex Jones on the GCN Radio Network.
[00:00:29.327 --> 00:00:33.372]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.241 --> 00:00:37.303]  It's Thursday, 7th day of January 2016.
[00:00:38.083 --> 00:00:53.152]  If the Speaker of the House will not move immediately to begin impeachment proceedings against Barack Hussein Obama, then we must move to impeach the Speaker of the House because he's aiding and abetting the enemy of this constitutional republic.
[00:00:53.613 --> 00:00:55.514]  Huge broadcast lined up for you today.
[00:00:55.534 --> 00:00:58.836]  This is the Zeitgeist of Impeachment!
[00:01:00.217 --> 00:01:03.579]  Until we have a Congress that's in line with the majority of Americans,
[00:01:05.185 --> 00:01:11.589]  There are actions within my legal authority that we can take to help reduce gun violence and save more lives.
[00:01:12.589 --> 00:01:18.012]  Roughly one year from now, Obama's stranglehold over the executive office of the U.S.
[00:01:18.113 --> 00:01:19.453]  government will end.
[00:01:19.914 --> 00:01:23.035]  Impeaching Obama now seems to many to be futile.
[00:01:23.476 --> 00:01:25.877]  Is it not time for impeachment hearings against Obama?
[00:01:26.337 --> 00:01:30.300]  The best thing that we have going with Obama is he's got a year left, okay?
[00:01:30.380 --> 00:01:34.282]  Because, you know, by the time you do the hearings and everything, I don't... So don't make him a martyr.
[00:01:35.223 --> 00:01:37.305]  In a way you'll make him a martyr, but I don't even say that.
[00:01:37.605 --> 00:01:45.532]  But the problem with the Republicans is they'll try and fix it, they'll try, instead of get rid of it and we can come up with a phenomenal plan.
[00:01:45.652 --> 00:01:49.436]  But when impeaching a president that has toyed with the Constitution,
[00:01:49.696 --> 00:01:59.661]  With nothing to lose in the final days of his term, like a pyromaniac playing with gasoline in matches, send a stern message to future presidents.
[00:02:00.081 --> 00:02:15.309]  As a result of Watergate, the warning shot America fired after the comparatively minimal damage Richard Nixon did to the reputation of the White House seems to have been long forgotten, similar to the way the American people have all but given up on the U.S.
[00:02:15.349 --> 00:02:15.789]  Congress.
[00:02:16.189 --> 00:02:25.660]  Now Congressional Republicans are promising to repeal Obamacare and defund Planned Parenthood for the sake of the overwhelming demands of their constituents.
[00:02:25.980 --> 00:02:33.609]  Of course, the bill will be sent to Obama's desk where it will be vetoed, but the bill can't be amended by Democrats due
[00:02:33.609 --> 00:02:34.049]  We're good to go.
[00:02:59.065 --> 00:03:10.678]  While 318 million plus Americans sit and wait for Congress to get their snouts out of the corporate trough, wouldn't impeaching Obama send a clear message to the sycophantic takeover of Congress?
[00:03:10.819 --> 00:03:13.502]  That we are coming for you next?
[00:03:14.002 --> 00:03:19.669]  Obama's staged gun grabbing is finally fueling long overdue impeachment talks.
[00:03:19.949 --> 00:03:26.671]  Now the Republican National Committee is to consider a resolution drafted for the impeachment of President Barack Obama.
[00:03:26.891 --> 00:03:38.595]  The resolution, which seems to have been drafted by the North American Law Center, is to be weighed up at a January 13th meeting of the RNC, reports Brandon Hall of West Michigan Politics Blog.
[00:03:38.895 --> 00:03:43.497]  The document is titled, Articles of Impeachment of Barack Hussein Obama.
[00:03:43.837 --> 00:03:59.228]  Article 2 of the resolution lists 19 examples of Obama's malfeasance, misconduct, and abuse of the Oval Office, including the IRS targeting of conservative organizations and bypassing Congress with the use of executive action on key issues.
[00:03:59.548 --> 00:04:12.256]  Article 3 of the resolution states that Obama has been aiding and abetting known enemies of the United States, citing the Muslim Brotherhood, ISIS, Al Qaeda, Hamas, and the Taliban, among others.
[00:04:12.637 --> 00:04:22.283]  RNC committeeman Dave Agema told the Daily Wire in an interview that he will introduce the resolution, which consists of 48 criminal charges in total.
[00:04:22.603 --> 00:04:28.387]  Agema said, the way it works is one House of Representatives member puts in impeachment articles for the House,
[00:04:28.707 --> 00:04:28.967]  I think so.
[00:04:45.277 --> 00:04:45.757]  Truly is.
[00:04:46.337 --> 00:04:58.582]  And if impeachment rumblings barely put a bump in Obama's totalitarian path, legally all we have left is to send in the sergeant at arms in the Senate to slap the handcuffs onto President Obama.
[00:04:59.002 --> 00:05:04.104]  It's interesting how the Senate has now made that information unavailable to the general populace.
[00:05:04.464 --> 00:05:06.505]  John Bowne for InfoWars.com.
[00:05:10.939 --> 00:05:15.664]  By now you've heard of the sexual assaults that took place in Cologne, Germany on New Year's Eve.
[00:05:15.884 --> 00:05:24.513]  Well now, hundreds of New Year's Eve assaults have been reported to police in every major city, including the German capital of Berlin, Hamburg, Stuttgart and Düsseldorf.
[00:05:24.754 --> 00:05:32.422]  The events were downplayed by German news media until scores of women came forward to report rapes and sexual abuse, forcing coverage.
[00:05:32.782 --> 00:05:37.423]  German ministers claim that there was no evidence asylum seekers were involved in the violence.
[00:05:37.844 --> 00:05:39.884]  But that cover-up is beginning to unravel.
[00:05:40.124 --> 00:05:46.366]  A police official said 14 of the 15 sex attackers he apprehended were newly arrived Syrian refugees.
[00:05:46.686 --> 00:05:52.108]  And a leaked police report claims that one of those involved in the attacks told officers, I am Syrian.
[00:05:52.348 --> 00:05:53.748]  You have to treat me kindly.
[00:05:53.989 --> 00:05:55.349]  Mrs. Merkel invited me.
[00:05:55.689 --> 00:06:02.714]  The mayor of Cologne is under fire for suggesting women protect themselves from would-be rapists by keeping them at arm's length.
[00:06:03.054 --> 00:06:07.136]  No advice was offered to the migrants, however, for how to not rape women.
[00:06:07.377 --> 00:06:09.318]  Read more at InfoWars.com.
[00:06:10.990 --> 00:06:17.815]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[00:06:17.895 --> 00:06:20.597]  We've always offered five months free.
[00:06:20.777 --> 00:06:26.321]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[00:06:26.681 --> 00:06:29.882]  PrisonPlanet.tv began 15 years ago.
[00:06:30.122 --> 00:06:33.103]  It's grown into InfoWars, Nightly News, and so much more.
[00:06:33.403 --> 00:06:42.145]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[00:06:42.365 --> 00:06:53.088]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[00:06:53.348 --> 00:07:00.771]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.tv.
[00:07:00.911 --> 00:07:02.972]  Get 20 memberships at half price.
[00:07:02.992 --> 00:07:05.013]  Be the Paul Revere in your community.
[00:07:05.113 --> 00:07:08.655]  That's 6 months free when you sign up for a year at PrisonPlanet.tv.
[00:07:11.002 --> 00:07:13.165]  It has happened.
[00:07:13.185 --> 00:07:15.829]  2015 has passed into history, into lore.
[00:07:16.229 --> 00:07:19.053]  But now, 2016 has been born.
[00:07:19.554 --> 00:07:23.339]  And the decision lies in your hands to forge the destiny!
[00:07:23.359 --> 00:07:25.522]  Whoa, whoa, whoa!
[00:07:25.622 --> 00:07:25.842]  That's a-
[00:07:25.862 --> 00:07:38.552]  A little too epic, that Hollywood action-adventure-science-fiction voice I'm using, but quite frankly, that's how I feel like I should be talking about what happens when your body actually gets the real, natural nutrients it needs.
[00:07:38.793 --> 00:07:45.238]  And that's why we're offering the biggest discount ever on three of our best-selling products that turbocharge and cleanse the body.
[00:07:45.518 --> 00:07:53.885]  It's Survival Shield X2 Nascent Iodine, the all-in-one cleansing formula Deep Cleanse, and Secret 12 Methylcobalamin Vitamin B12 for the lowest price ever.
[00:07:54.005 --> 00:07:58.186]  Read the five-star reviews at Infowarslife.com and take action in the new year.
[00:07:58.306 --> 00:08:03.868]  Receive 15% off on checkout at Infowarslife.com when you use the promo code 2016.
[00:08:04.028 --> 00:08:04.388]  And see?
[00:08:04.488 --> 00:08:05.228]  I just did it again.
[00:08:05.248 --> 00:08:06.809]  I can't help but get excited.
[00:08:06.869 --> 00:08:07.529]  Get healthy!
[00:08:07.709 --> 00:08:08.529]  Fight the globalists!
[00:08:08.749 --> 00:08:09.389]  Win-win!
[00:08:09.589 --> 00:08:10.109]  Yeah!
[00:08:25.437 --> 00:08:29.420]  Leading a frontal assault on the lies of the New World Order.
[00:08:30.040 --> 00:08:34.003]  It's Alex Jones on the GCN Radio Network.
[00:08:40.467 --> 00:08:50.934]  Ladies and gentlemen, I don't think we've ever in all my years had this much news to cover and break down.
[00:08:51.775 --> 00:08:53.456]  There is just so much
[00:08:54.895 --> 00:08:57.236]  To get to so much to break down.
[00:08:59.657 --> 00:09:00.577]  It is head spinning.
[00:09:01.638 --> 00:09:18.824]  A lot of it is really negative news, but overall the world's response to it is very positive in that governments and major corporations are really backpedaling from so many of their their agendas.
[00:09:22.421 --> 00:09:30.565]  I'm going to do my best to try to break down just some of what is going to be coming up today.
[00:09:33.446 --> 00:09:44.712]  The mass Muslim raping of women in Europe and engaging in sex crimes here in the United States is staggering.
[00:09:45.752 --> 00:09:47.053]  And the response to it
[00:09:52.009 --> 00:09:56.231]  is even more revealing.
[00:10:00.772 --> 00:10:07.734]  Major feminist groups have come out and said that the mass raping is the fault of German men and have actually attacked Germany.
[00:10:08.535 --> 00:10:17.558]  Major liberal leaders in the Green Party and the Social Democrats, it's in my stack, have come out and said that people
[00:10:18.940 --> 00:10:23.521]  against the invaders are, quote, as bad as rapists.
[00:10:25.121 --> 00:10:30.122]  Because it is the religion of the left to bring down the West.
[00:10:30.582 --> 00:10:38.344]  Because they're captained by their spiritual and financial leader, George Soros.
[00:10:39.904 --> 00:10:43.725]  And we don't just pick George Soros out because he's a good James Bond villain.
[00:10:45.501 --> 00:10:53.405]  Even the new James Bond movie has the main villain group behind Spectre being the Quantum Group.
[00:10:57.086 --> 00:10:59.648]  Look at this DrugsReport.com headline.
[00:10:59.948 --> 00:11:01.628]  If you're a radio listener, you can go there and see it.
[00:11:01.668 --> 00:11:03.970]  If not, we can just punch it up on screen for TV viewers.
[00:11:04.370 --> 00:11:05.010]  Soros!
[00:11:05.570 --> 00:11:07.771]  It's 2008 all over again.
[00:11:08.251 --> 00:11:09.952]  Markets at the beginning of a crisis.
[00:11:10.072 --> 00:11:11.253]  Trillions vanish.
[00:11:14.881 --> 00:11:17.262]  And who's involved, as usual, deeply in all of it?
[00:11:17.963 --> 00:11:18.623]  George Soros.
[00:11:18.683 --> 00:11:27.188]  It's like he's the devil and a black poof of smoke takes place whenever something horrible is happening and he's there waving his trident.
[00:11:30.189 --> 00:11:33.651]  He's more evil than any James Bond villain I could ever imagine.
[00:11:33.711 --> 00:11:35.793]  I mean, he's the real thing.
