[00:00:00.170 --> 00:00:02.066]  The Alex Jones Show.
[00:00:14.892 --> 00:00:15.533]  Big Brother.
[00:00:16.213 --> 00:00:17.234]  Mainstream media.
[00:00:17.975 --> 00:00:19.055]  Government cover-ups.
[00:00:19.736 --> 00:00:20.537]  You want answers?
[00:00:21.317 --> 00:00:22.218]  Well, so does he.
[00:00:22.858 --> 00:00:26.481]  He's Alex Jones on the GCN Radio Network.
[00:00:27.062 --> 00:00:31.125]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.736 --> 00:00:42.963]  Well, I've got to be honest with folks, we've broken another record here.
[00:00:43.624 --> 00:00:44.927]  We seem to be doing it every week.
[00:00:45.227 --> 00:00:49.556]  There's never been this much insane, over-the-top news.
[00:00:50.956 --> 00:00:59.903]  You've got the Oregon situation with one dead, another wounded, the media lying and saying it was a shootout last night and today, then admitting it wasn't.
[00:01:01.304 --> 00:01:16.316]  You've got huge global developments with top generals and world leaders saying we're the closest to nuclear war we've ever been, with the doomsday clock with top experts and scientists conferring, saying it's the most dangerous it's ever been.
[00:01:17.357 --> 00:01:21.020]  We've got devastating attacks on free speech in the Western world.
[00:01:21.820 --> 00:01:26.564]  We have got unbelievable rollouts of paramilitary force against the American people.
[00:01:27.044 --> 00:01:30.526]  We have the lowest approval rating ever for Congress and government in general.
[00:01:31.607 --> 00:01:35.750]  We have all sorts of new bizarre diseases popping up that appear to be weaponized.
[00:01:36.470 --> 00:01:38.392]  We've got proxy wars heating up.
[00:01:39.172 --> 00:01:43.695]  We have got just unbelievable information to cover today.
[00:01:44.116 --> 00:01:45.797]  You've got Bernie Sanders.
[00:01:47.659 --> 00:01:57.349]  Being invited by Obama to the White House, showing that they may actually go with him instead of bringing Biden in to bring down Hillary, and that the indictment of Hillary could be imminent.
[00:01:57.849 --> 00:02:02.894]  Tom DeLay, the former Republican whip, who's been through the ringer.
[00:02:04.055 --> 00:02:05.756]  And falsely charged with a bunch of garbage.
[00:02:05.836 --> 00:02:06.676]  Obviously defeated it.
[00:02:07.316 --> 00:02:08.436]  I'm not saying he was a good guy.
[00:02:08.496 --> 00:02:09.937]  He was just falsely charged with stuff.
[00:02:10.357 --> 00:02:11.477]  He wasn't going along with the agenda.
[00:02:11.737 --> 00:02:17.559]  He says she is going to be indicted or the FBI is going to go public and he wouldn't say that if that wasn't the case.
[00:02:18.379 --> 00:02:25.681]  All hell is about to break loose because the Clintons will run a false flag or they will pull out all the stops.
[00:02:25.881 --> 00:02:26.601]  I mean, they will.
[00:02:26.922 --> 00:02:28.202]  They will not go quietly.
[00:02:29.910 --> 00:02:41.694]  And so the fact that they're being moved towards the airlock and about to be thrown out into space, you know, like Sigourney Weaver does to the alien, this is hardcore.
[00:02:42.554 --> 00:02:45.055]  This is circus maximus.
[00:02:45.675 --> 00:02:48.556]  And I'll be honest with you, this has never happened to me.
[00:02:48.616 --> 00:02:50.656]  I woke up this morning and my jaw is locked.
[00:02:50.776 --> 00:02:52.257]  I can't even put my back teeth together.
[00:02:53.427 --> 00:02:57.151]  That's how much I was clenching my teeth last night in my dreams, worrying about all this.
[00:02:57.271 --> 00:02:58.172]  I mean, I go to sleep.
[00:02:58.232 --> 00:02:59.833]  I just worry about this now all night long.
[00:03:01.235 --> 00:03:09.223]  And that's because my gut, my gut, not just intellectually, knows we are in deep trouble.
[00:03:10.524 --> 00:03:13.247]  And we need to admit we're in deep trouble to get out of the deep trouble.
[00:03:13.487 --> 00:03:15.189]  And I want to say something to the feds and people.
[00:03:16.528 --> 00:03:26.196]  I know that most of the people in the federal government that are in the muscle end of things are conservatives or libertarians, and that your bosses are socialists and communists and drug dealers and scum.
[00:03:26.916 --> 00:03:36.604]  I know that you were naive getting into it, most of you are come from families, and you're part of a white hat crew that used to be the majority that's now probably only about 45%.
[00:03:37.565 --> 00:03:41.889]  I know they want to start a civil war that wipes you out, and that wipes the patriots out.
[00:03:42.189 --> 00:03:44.711]  I've done everything I can to try to stop this.
[00:03:46.806 --> 00:03:48.126]  And I'm telling the police that too.
[00:03:48.707 --> 00:03:54.788]  I've told the militias and everybody, don't act like idiots and don't let people manipulate you into stupid stuff and don't do stupid things.
[00:03:54.848 --> 00:04:01.750]  And I'm going to tell the police and the military and the feds, this isn't going to be a boss hog takeover.
[00:04:03.611 --> 00:04:04.771]  They're going to destroy the country.
[00:04:05.951 --> 00:04:08.552]  The globalists have got really bad stuff in store for everybody.
[00:04:08.912 --> 00:04:15.994]  So even if you're a sociopath, and I'm not saying you're all sociopaths or mercenaries, I'm saying some of you are,
[00:04:17.432 --> 00:04:20.836]  You really need to get a historical perspective and not be stupid.
[00:04:21.197 --> 00:04:34.772]  Hitler's general staff in 1943 and 1944 tried to take him out not because they were angels and not because they didn't have blood on their hands, many of them, but because they knew where it was taking Germany.
[00:04:35.782 --> 00:04:38.985]  And by 1943, there were only 3 or 4 million dead German troops.
[00:04:39.005 --> 00:04:39.866]  That sounds like a lot.
[00:04:39.986 --> 00:04:40.387]  It wasn't.
[00:04:40.987 --> 00:04:43.470]  At the end, it was 21 million Germans dead.
[00:04:44.031 --> 00:04:47.254]  That was about 30% of the German population.
[00:04:48.555 --> 00:04:51.719]  I'm telling you, just like I said I have a bad feeling about the Bundys yesterday,
[00:04:52.987 --> 00:04:54.409]  Yeah, folks, I'm psychic.
[00:04:54.449 --> 00:04:55.530]  I mean, it's a fact, okay?
[00:04:55.630 --> 00:04:56.791]  I mean, I don't control it.
[00:04:56.851 --> 00:04:57.472]  Nobody can.
[00:04:57.932 --> 00:04:59.153]  But, I mean, I knew something.
[00:04:59.173 --> 00:04:59.634]  I could just feel it.
[00:04:59.654 --> 00:05:01.075]  I said, something bad's about to happen.
[00:05:01.095 --> 00:05:01.636]  You notice it did.
[00:05:02.257 --> 00:05:04.619]  And I didn't have to have some contact tell me that.
[00:05:04.939 --> 00:05:07.262]  I'm telling you, we're all in deep trouble.
[00:05:09.206 --> 00:05:12.849]  You hear a lot about the cashless society, but Europeans aren't buying it.
[00:05:13.089 --> 00:05:21.795]  According to the European Central Bank, a record 1 trillion euros of banknotes were in circulation in 2015, almost double the value 10 years ago.
[00:05:22.115 --> 00:05:24.637]  Paper money in circulation rose 6.5% last year, the most since 2008.
[00:05:28.023 --> 00:05:32.744]  In 2008, people were worried about financial turbulence and crashing markets then with good reason.
[00:05:32.944 --> 00:05:37.305]  And this year has begun with the worst two-week start on record for financial markets.
[00:05:37.625 --> 00:05:47.508]  But in 2015, we now have negative interest rates on bank accounts and the risk of flat-out confiscation of accounts by government, what they call haircuts.
[00:05:50.249 --> 00:05:51.910]  And then there's privacy.
[00:05:52.010 --> 00:05:52.530]  Cashless?
[00:05:52.830 --> 00:05:53.911]  No thanks.
[00:05:54.111 --> 00:05:54.951]  Negative interest rates?
[00:05:55.332 --> 00:05:56.452]  Risk of confiscation?
[00:05:56.932 --> 00:05:58.013]  Economic uncertainty?
[00:05:58.613 --> 00:05:59.534]  I'll take it in cash.
[00:06:00.454 --> 00:06:04.876]  Paper notes may not be real money, but they sure beat negative interest and haircuts.
[00:06:05.617 --> 00:06:07.498]  For Prison Planet TV, I'm David Knight.
[00:06:08.721 --> 00:06:11.683]  A clean, toxic-free body is the foundation of true health.
[00:06:11.923 --> 00:06:14.085]  Deep Cleanse by InfoWarsLife.com.
[00:06:14.265 --> 00:06:20.989]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:06:21.289 --> 00:06:26.453]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[00:06:26.613 --> 00:06:35.599]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:06:36.019 --> 00:06:44.644]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:06:44.884 --> 00:06:51.809]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[00:06:51.989 --> 00:06:57.372]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:06:57.652 --> 00:07:03.125]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[00:07:03.265 --> 00:07:05.229]  That's Infowarslife.com or call 888-253-3139.
[00:07:08.724 --> 00:07:12.425]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[00:07:12.705 --> 00:07:18.827]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[00:07:19.008 --> 00:07:25.990]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:07:26.290 --> 00:07:35.073]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:07:35.393 --> 00:07:41.317]  Secret 12 is a binary of nutrimedical-grade, bioavailable coenzyme forms of B12.
[00:07:41.557 --> 00:07:46.060]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:07:46.400 --> 00:07:49.743]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:07:50.003 --> 00:07:51.604]  No needles, no injections.
[00:07:51.884 --> 00:07:53.425]  Don't take my word for it.
[00:07:53.525 --> 00:07:54.566]  Try it for yourself.
[00:07:54.726 --> 00:07:56.287]  Discover the secret, Secret 12.
[00:07:57.048 --> 00:08:02.211]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:08:05.313 --> 00:08:06.713]  All Wars Life Secret 12.
[00:08:07.054 --> 00:08:18.817]  Some heads are gonna roll.
[00:08:19.318 --> 00:08:23.439]  Defending the Republic from enemies foreign and domestic.
[00:08:24.159 --> 00:08:25.520]  It's Alex Jones.
[00:08:38.208 --> 00:09:02.619]  Welcome ladies and gentlemen, thank you so much for joining us on this key 27th day of January 2016 Wednesday edition will be here for the next four hours Broadcasting worldwide.
[00:09:03.159 --> 00:09:04.100]  We have the original
[00:09:06.297 --> 00:09:11.960]  Benghazi whistleblower who retired about six months after Benghazi.
[00:09:12.821 --> 00:09:17.224]  He is of course a famous whistleblower from Iran-Contra.
[00:09:18.584 --> 00:09:19.825]  Robert Tosh Plumlee.
[00:09:21.366 --> 00:09:29.651]  He was on the quote White Hat side of the Central Intelligence Agency and famously flew weapons to Fidel Castro when he worked for Eisenhower.
[00:09:30.392 --> 00:09:35.775]  So he's been in covert operations since 1958 and he retired three years ago.
[00:09:37.014 --> 00:09:40.955]  He blew the entire operation of Benghazi wide open more than anyone else.
[00:09:42.467 --> 00:09:49.789]  And we received very serious death threats, he received threats, and the Justice Department came after him, but then backed off.
[00:09:49.829 --> 00:09:51.449]  He said, fine, go ahead and indict me.
[00:09:52.169 --> 00:10:00.291]  He'll be joining us at the bottom of the next hour with an update, because the new 13 Hours has come out, and of course covers the stand down and the rest of it.
[00:10:00.611 --> 00:10:10.533]  But everything he talked about, how she was using the export powers to secretly transfer weapons out of the State Department to different third world dictators that were paying her off,
[00:10:11.513 --> 00:10:12.573]  That was first here.
[00:10:13.173 --> 00:10:14.294]  By the way, we're not bragging.
[00:10:14.314 --> 00:10:15.954]  That's like sticking your head in a lion's mouth.
[00:10:16.394 --> 00:10:17.295]  It's a dangerous trick.
[00:10:19.155 --> 00:10:21.656]  And again, nobody else had the cojones to have him on.
[00:10:21.696 --> 00:10:25.157]  We did it because we don't have... You know, it's not about being macho, folks.
[00:10:25.177 --> 00:10:26.217]  It's about doing our job here.
[00:10:26.577 --> 00:10:28.578]  But I just want you to know this is a very serious broadcast.
[00:10:29.858 --> 00:10:33.559]  We used to have some humor on the show, and it's fun, and I still want to do it.
[00:10:34.439 --> 00:10:40.141]  I want to make fun of Bernie Sanders and stuff, but at a certain point, you know, it's just stuff's too hardcore.
[00:10:42.250 --> 00:10:43.071]  He's popping in.
[00:10:43.091 --> 00:10:46.293]  We're going to look at how they plan to steal the election from Trump.
[00:10:46.633 --> 00:10:59.523]  Huge article on InfoWars.com with top Bilderberg group member, Ed Davos, actually says the super elites, that's what they call themselves, the super class, that's what the Kissinger group calls them.
[00:10:59.543 --> 00:11:10.492]  I remember when the head of the Kissinger group told me, right in front of John Harmon, he said on the phone during a break, he said, look, just join us, Alex.
[00:11:11.687 --> 00:11:13.568]  Just join us, you're part of the superclass.
[00:11:14.068 --> 00:11:18.851]  Harman heard it, and I started laughing at the guy, and he said, I'm just gonna get off here.
[00:11:18.891 --> 00:11:23.073]  I thought if I was nice to you, you'd... And these people are just sick.
[00:11:23.153 --> 00:11:29.557]  Imagine how everybody else just, oh, you run trillions, you're being nice to me, let me get on my knees before you.
[00:11:30.137 --> 00:11:35.920]  Well, they say they're going after Trump, and that is the number one certification that he is good.
[00:11:36.720 --> 00:11:37.641]  And they don't like it.
[00:11:39.855 --> 00:11:46.511]  And even if he's not perfect, they know that they don't run him and that he actually wants to run things and that scares the daylights out of them.
[00:11:47.847 --> 00:11:52.190]  And they also obviously have Trump's phones tapped, his email tapped, and everything else.
[00:11:52.571 --> 00:11:59.936]  And I don't want to really give the media something to go into hissy fits about, but they already pretty much have.
[00:11:59.956 --> 00:12:04.680]  We've heard him tweeting out InfoWars links and saying he likes InfoWars and I'm a nice guy and stuff like that.
[00:12:05.300 --> 00:12:09.964]  Trump's getting a crash course, just like Vladimir Putin is, from this show.
[00:12:10.444 --> 00:12:10.965]  Just a fact.
[00:12:12.329 --> 00:12:16.153]  You see us influencing major TV shows, you know, Drudge is a daily listener.
[00:12:16.874 --> 00:12:24.341]  We have to admit that InfoWars has the ear of the intelligentsia and of the cultural elite, and of the bad guys as well.
[00:12:25.743 --> 00:12:32.710]  But they're coming after Trump because he's learning about the globalists of the New World Order, and he's pretty freaked out about it, quite frankly.
[00:12:33.851 --> 00:12:34.652]  And they now know.
[00:12:38.052 --> 00:12:41.855]  That's why they went after Rand Paul and said, how dare you be an Alex Jones guy?
[00:12:41.895 --> 00:12:43.036]  How dare you be part of it?
