[00:00:18.666 --> 00:00:20.368]  Welcome to the InfoWars Nightly News.
[00:00:20.468 --> 00:00:21.129]  I'm David Knight.
[00:00:21.169 --> 00:00:22.070]  It's Wednesday, June 28, 2017.
[00:00:22.150 --> 00:00:23.112]  Here are our top stories.
[00:00:23.132 --> 00:00:23.412]  Tonight!
[00:00:30.126 --> 00:00:50.842]  A major scandal rocks the FBI as acting director Andrew McCabe, a central player in the Russian election conspiracy case, is now the focus of three separate federal inquiries ranging from sexual discrimination to improper political activity.
[00:00:51.602 --> 00:01:05.232]  Meanwhile, new secret memos reveal that it was the FBI who intentionally sabotaged Trump's national security advisor and war hero, General Michael Flynn.
[00:01:05.812 --> 00:01:13.497]  Plus, an FBI agent has just been indicted for allegedly lying about the Lavoie-Finnegan shooting.
[00:01:13.778 --> 00:01:19.802]  All that, plus a close look at the total destruction of the fake news network.
[00:01:21.263 --> 00:01:24.494]  That's up next on the Info Wars Nightly News.
[00:01:30.595 --> 00:01:33.936]  The globalist social engineers are not just targeting us with propaganda.
[00:01:34.056 --> 00:01:36.317]  They are manipulating our genetics.
[00:01:36.497 --> 00:01:44.880]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:01:45.120 --> 00:01:48.461]  The key is to be aware of this attack and to fight back against it.
[00:01:48.621 --> 00:01:58.945]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:01:59.265 --> 00:02:00.206]  We're good to go.
[00:02:16.921 --> 00:02:23.103]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:02:23.403 --> 00:02:30.326]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:02:30.578 --> 00:02:34.379]  Check out these amazing deals at InfoWarsStore.com.
[00:02:34.839 --> 00:02:43.502]  25% off BioTrue Selenium, a powerful antioxidant and back-in-stock super blue fluoride-free toothpaste.
[00:02:43.682 --> 00:02:45.583]  Now 33% off.
[00:02:45.723 --> 00:02:54.505]  And while you're there, check out the Total Oral Care Pack, which combines our organic mouthwash with the amazing super blue toothpaste.
[00:02:54.725 --> 00:02:56.666]  Now 37% off.
[00:02:56.926 --> 00:03:00.087]  All available right now at InfoWarsStore.com.
[00:03:11.271 --> 00:03:12.933]  There's a Greek metaphor for corruption.
[00:03:13.294 --> 00:03:15.296]  They say the fish rots from the head down.
[00:03:15.497 --> 00:03:17.580]  Well, that's clearly what's going on at the FBI right now.
[00:03:18.200 --> 00:03:26.211]  James Comey, of course, has left, and his number two guy, Andrew McCabe, who's now the acting director of the FBI, is facing three separate inquiries.
[00:03:26.912 --> 00:03:28.773]  This is the state of the FBI.
[00:03:28.953 --> 00:03:41.700]  Now there's a great job that's being done in terms of research by John Solomon and Sarah Carter at Circa looking at these individual cases and of course it also goes back, as we pointed out yesterday, to Michael Flynn and the Russian investigation.
[00:03:41.720 --> 00:03:46.883]  Let's take a look at what these three separate inquiries are and the behavior of Andrew McCabe.
[00:03:47.583 --> 00:03:51.546]  First one, of course, that we talked about yesterday and we'll mention again is Robin Gritz.
[00:03:51.566 --> 00:03:54.388]  She's a decorated counter-terrorism agent.
[00:03:54.408 --> 00:04:01.994]  She had filed a sexual discrimination lawsuit against Andrew McCabe and then also about retaliation.
[00:04:02.194 --> 00:04:07.678]  Because once she filed that lawsuit, he began investigating her personally, trying to find dirt on her.
[00:04:07.698 --> 00:04:13.163]  So a sexual discrimination and retaliation complaint that names McCabe and other top FBI officials.
[00:04:13.763 --> 00:04:26.651]  She also filed a complaint against McCabe with the Maine federal whistleblower agency in April, alleging social media photos that she found show that he campaigned for his wife's Virginia State Senate race in violation of the Hatch Act.
[00:04:27.251 --> 00:04:28.592]  The Hatch Act goes back to the 1930s.
[00:04:28.712 --> 00:04:33.115]  It prohibits people and agencies like the FBI and also, coincidentally,
