[00:00:17.682 --> 00:00:18.102]  We did it!
[00:00:19.263 --> 00:00:21.084]  It's Friday.
[00:00:22.925 --> 00:00:30.409]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[00:00:31.430 --> 00:00:35.312]  If you are receiving this transmission, you are the resistance.
[00:00:35.772 --> 00:00:39.595]  We now take you live to the Central Texas Command Center.
[00:00:39.955 --> 00:00:41.616]  It's Alex Jones.
[00:00:42.236 --> 00:00:42.376]  It's 11-11.
[00:00:43.977 --> 00:00:51.484]  Friday, November 11, 2016, I am recharged, refocused, and I can see the enemy's battle plan.
[00:00:52.005 --> 00:01:02.795]  Prepare, because I will lay out the clearest, most accurate analysis of the globalist counter-strike and how we defeat them for good, straight ahead, but first...
[00:01:03.778 --> 00:01:13.834]  So when you stand and deliver that State of the Union address, in no part of your mind or brain can you imagine Donald Trump standing up one day and delivering a State of the Union address?
[00:01:13.854 --> 00:01:15.717]  Well, I can imagine it.
[00:01:18.312 --> 00:01:19.513]  In a Saturday night skit.
[00:01:20.074 --> 00:01:22.435]  I continue to believe Mr. Trump will not be President.
[00:01:22.636 --> 00:01:25.358]  He will never be President of the United States.
[00:01:25.758 --> 00:01:29.080]  Donald Trump will never be elected President of the United States.
[00:01:29.141 --> 00:01:34.805]  Donald Trump is not going to become President of the United States.
[00:01:35.145 --> 00:01:37.867]  Donald Trump is not going to be President of the United States.
[00:01:38.408 --> 00:01:41.390]  I'm respectful of the fact that the people have not voted.
[00:01:43.248 --> 00:01:45.209]  He's not going to be President of the United States.
[00:01:45.510 --> 00:01:47.651]  Donald Trump is not going to be President of the United States.
[00:01:47.891 --> 00:01:48.532]  Let's be clear.
[00:01:48.932 --> 00:01:50.433]  Donald Trump will lose the election.
[00:01:50.453 --> 00:01:52.434]  I have one thing to say, one thing only.
[00:01:53.115 --> 00:01:55.977]  And that is that this race is over.
[00:01:55.997 --> 00:01:58.839]  I think Donald Trump will be the nominee and will lose badly.
[00:01:59.179 --> 00:02:02.580]  No one's gonna be happier than President Obama when Trump loses.
[00:02:03.160 --> 00:02:03.501]  No one.
[00:02:03.581 --> 00:02:04.281]  Except for me.
[00:02:04.561 --> 00:02:06.882]  I think that Donald Trump's campaign is over.
[00:02:06.922 --> 00:02:07.942]  Like it's a zombie, right?
[00:02:08.002 --> 00:02:09.283]  Like it's a walking dead.
[00:02:09.343 --> 00:02:11.063]  It's not... There's nowhere for him to go.
[00:02:11.103 --> 00:02:16.085]  And the fact that most people think Donald Trump is going to lose probably means Donald Trump is going to lose.
[00:02:16.105 --> 00:02:21.407]  When the inevitable happens, which is a very substantial landslide victory on November 8th.
[00:02:21.787 --> 00:02:24.688]  And we need, when this race is over, to talk about why that was.
[00:02:24.708 --> 00:02:26.869]  I personally think this race is over.
[00:02:26.989 --> 00:02:28.109]  To me, this race is over.
[00:02:28.289 --> 00:02:33.871]  Politico's latest survey of political insiders agrees, quote, Clinton will crush Trump in November.
[00:02:33.891 --> 00:02:36.552]  Well, that's real Donald Trump.
[00:02:37.753 --> 00:02:40.174]  At least I will go down as a president.
[00:02:40.194 --> 00:02:40.314]  No.
[00:02:41.934 --> 00:02:45.315]  You were never a real president.
[00:02:45.355 --> 00:02:47.296]  You were a globalist operative installed.
[00:02:47.436 --> 00:02:49.697]  This is the return of the republic.
[00:02:50.814 --> 00:02:54.397]  We have a beachhead now in Washington that's been captured by the globalists.
[00:02:55.138 --> 00:03:01.024]  And if President-elect Trump acts like a true American, he will be able to drain that swamp.
[00:03:01.064 --> 00:03:01.965]  But understand something.
[00:03:03.306 --> 00:03:13.116]  The crocodiles, the sharks, the grendels that live in that swamp are not going to let him do it without trying to take him and us out with him.
[00:03:14.137 --> 00:03:14.817]  He cannot.
[00:03:15.683 --> 00:03:16.544]  Make deals with them.
[00:03:17.104 --> 00:03:20.047]  He must prosecute Hillary and the other top criminals.
[00:03:20.407 --> 00:03:23.229]  He must remove Paul Ryan, who's been caught in the WikiLeaks with Hillary.
[00:03:23.690 --> 00:03:25.892]  He's done if Trump moves against him.
[00:03:26.372 --> 00:03:32.497]  Trump, in his first six months to a year, has the Arthurian sword he's pulled from a stone.
[00:03:32.517 --> 00:03:34.119]  I'm going to say this again.
[00:03:34.139 --> 00:03:37.802]  To pull the sword is half the battle.
[00:03:38.803 --> 00:03:40.144]  The second half is using it.
[00:03:42.981 --> 00:03:43.801]  He's the president.
[00:03:43.841 --> 00:03:45.942]  We've been occupied by foreign outside powers.
[00:03:46.022 --> 00:03:50.445]  It is not authoritarianism to say that if he has to encamp the U.S.
[00:03:50.525 --> 00:03:56.988]  military in Washington to arrest these people and bring them before juries or kick the foreign operatives out, he has to do it.
[00:03:57.228 --> 00:03:59.169]  We are under espionage attack.
[00:03:59.449 --> 00:04:01.010]  Russia kicked the Soros group out.
[00:04:01.410 --> 00:04:02.931]  Soros must be arrested.
[00:04:04.491 --> 00:04:05.692]  And the people are behind Trump.
[00:04:06.738 --> 00:04:13.022]  Now Trump's playing nice with him right now because he's not in power yet and he's in the maximum danger of the next 70 days.
[00:04:14.223 --> 00:04:15.644]  Maximal danger.
[00:04:15.804 --> 00:04:20.106]  He is a major vector target right now.
[00:04:20.466 --> 00:04:21.207]  Attack vector.
[00:04:22.708 --> 00:04:25.109]  They are coming at him from every side.
[00:04:27.791 --> 00:04:33.635]  And I'm here to tell you, the best sign I saw was him not telling the mainstream media when he was leaving Washington.
[00:04:34.482 --> 00:04:37.628]  Or where he was going or when he was leaving New York and just totally ignoring them.
[00:04:38.630 --> 00:04:40.673]  That's a good sign because that's not media.
[00:04:40.874 --> 00:04:46.243]  That's globalist, occupied enemy forces of disinformation and America hate.
[00:04:47.452 --> 00:04:58.937]  That are absolutely discredited and hated, and he needs to support the new independent media, which is gonna continue expanding regardless, and point out it's real, and totally ignore them, and draw a demarcation line.
[00:04:59.577 --> 00:05:04.239]  Because, you see the evidence, they're only intensifying their attacks right now.
[00:05:05.799 --> 00:05:07.180]  Thank God they're so arrogant.
[00:05:11.109 --> 00:05:15.990]  Three days after the election of Donald Trump, and the reality of a Trump presidency is starting to hit home.
[00:05:16.250 --> 00:05:21.411]  For some people, this is such a devastating notion that they need to call an ambulance or even want to die.
[00:05:21.651 --> 00:05:25.252]  Well, we Trump voters care about our fellow Americans, and we're pained by this.
[00:05:25.552 --> 00:05:27.132]  So let's help the Trump protesters.
[00:05:27.432 --> 00:05:29.833]  Let's try to help them recover from their devastation.
[00:05:30.053 --> 00:05:35.134]  If you see a Trump protester or a group of them, give them a diaper, hand them a binky, cover them in a blankie.
[00:05:35.274 --> 00:05:37.394]  After all, this is what you do for crying babies.
[00:05:37.714 --> 00:05:40.995]  Many of these people look like they need a hug, so give them a box of Huggies.
