[00:00:00.000 --> 00:00:10.820]  [Outro]
[00:00:10.831 --> 00:00:14.392]  There is an ongoing deep state coup against our nation.
[00:00:15.012 --> 00:00:17.313]  It is Monday, the 8th of August, 2022.
[00:00:18.153 --> 00:00:29.775]  We're 91 days out from the midterms, where every poll shows a total political realignment and the destruction of the criminal Democratic Party that's carrying out the great reset against America.
[00:00:30.275 --> 00:00:38.173]   Now, there was a SWAT team raid hours ago against the real presidents A president can't take classified information.
[00:00:38.193 --> 00:00:39.494]  That's part of the National Archives.
[00:00:39.514 --> 00:00:40.694]  That's part of what a president can do.
[00:00:40.714 --> 00:00:41.454]  So this is a very dangerous moment.
[00:00:41.653 --> 00:00:48.693]   He's running again for the 2024 election, only 91 days out from the midterms.
[00:00:48.693 --> 00:00:52.453]   They have SWAT teamed him, claiming he took classified information.
[00:00:52.453 --> 00:00:55.012]  A president can't take classified information.
[00:00:55.012 --> 00:00:56.373]  That's part of the National Archives.
[00:00:56.373 --> 00:00:58.172]  That's part of what a president can do.
[00:00:58.172 --> 00:01:01.352]  So this is a very dangerous moment.
[00:01:01.352 --> 00:01:03.793]  Everyone is turning against the deep state.
[00:01:03.793 --> 00:01:05.813]  Everyone is waking up at record levels.
[00:01:05.813 --> 00:01:08.054]  And we've known this was coming.
[00:01:08.102 --> 00:01:13.905]  I said today on the radio, what are they going to do when they're losing all political power and the world's waking up to them?
[00:01:14.165 --> 00:01:19.688]  And the answer is they're going to try to arrest President Trump, the real president of the United States.
[00:01:19.748 --> 00:01:20.828]  Say what you want about Trump.
[00:01:21.089 --> 00:01:22.089]  He loves America.
[00:01:22.409 --> 00:01:23.910]  He cares about our sovereignty.
[00:01:24.230 --> 00:01:28.232]  And the globalists hate his guts because he actually tried to be the president.
[00:01:28.272 --> 00:01:37.436]   But more than ever now, because he's under attack, I am backing President Trump because this is not a sunshine patriot time.
[00:01:37.917 --> 00:01:40.338]  This is a time for winter soldiers.
[00:01:40.438 --> 00:01:43.120]  So, unprecedented emergency news alert.
[00:01:43.640 --> 00:01:46.502]  We are putting this up on InfoWars.com and Band.Video.
[00:01:46.922 --> 00:01:48.983]  This is just absolutely insane.
[00:01:49.043 --> 00:01:56.147]  And to get even crazier, ABC News, the Daily Mail and others are reporting Trump was raided because of my phone.
[00:01:57.028 --> 00:01:59.971]  That was supposedly leaked to lawyers in the Sandy Hook show trial.
[00:02:00.331 --> 00:02:01.593]  They didn't get my phone.
[00:02:02.053 --> 00:02:02.774]  It's not true.
[00:02:02.834 --> 00:02:05.897]  It's some text messages from 2019, early 2000.
[00:02:07.298 --> 00:02:08.179]  Totally made up.
[00:02:08.319 --> 00:02:13.224]  So, this is their pretext after the Russia hoax, after the Ukraine hoax.
